Q,scenario_count,K1_final_certificate_count,PGRB_final_certificate_count,both_certified_count,K1_faster_count,PGRB_faster_count,K1_only_count,PGRB_only_count,shifted_exact_time_ratio_K1_over_PGRB,shifted_exact_work_ratio_K1_over_PGRB,mean_K1_relative_gap,mean_PGRB_relative_gap
20,15,11,10,10,2,8,1,0,3.6037886556221,0.45533349974503096,0.13916447185767866,0.14280320467293037
30,35,23,21,21,5,16,2,0,2.5269041441612576,0.4476214974141565,0.06250489611086807,0.10286102164929718
