horizon_seconds,method,scenario_count_in_panel,entered_by_horizon_count,strict_certificate_count,certificate_fraction_of_panel,capped_unsolved_rows_not_assigned_solve_time
3600,k1_am_sf,50,50,34,0.68,True
3600,pgrb,50,50,30,0.6,True
10800,k1_am_sf,50,50,34,0.68,True
10800,pgrb,50,50,31,0.62,True
16200,k1_am_sf,50,50,34,0.68,True
16200,pgrb,50,50,31,0.62,True
21600,k1_am_sf,50,50,34,0.68,True
21600,pgrb,50,50,31,0.62,True
