scenario_id,scenario_sha256,expected_gurobi_model_fingerprint,canonical_model_sha256,objective_fingerprint_sha256,num_vars,num_rows,num_nonzeros,native_domain_audit_passed,one_original_compact_model,strengthened,gini_decomposition,tailored_cuts,custom_branching,HGA_or_imported_routes,expected_fingerprint_frozen_before_solve,scope_status
cb443_V20_compact_r2_balanced_M02_Q30_T03600,53b18cd640afaa46d592b1b0742551f57f3b75891dcdf4fc0414ea31dc9b5c01,1096648783,af55d8d942f1297e29296e508257a78032e4d452377f851d389ed668009f8746,1ecedd243d92b96189c7a7b7e9498dd8f506ff49aca00f56c5e7b276255f913d,1551,3629,16310.0,True,True,False,False,False,False,False,True,PASS
cb443_V20_compact_r2_balanced_M02_Q30_T18000,56ee07d937a781fb5d9358084467d7d9977a1dffdc1b3d7462492fef31a38a6d,-1618576406,fe297d4cd87b20fe6e9f131c76d94107970c12a7ccf7c58e6eb9bda64a48695f,1ecedd243d92b96189c7a7b7e9498dd8f506ff49aca00f56c5e7b276255f913d,1551,3629,16310.0,True,True,False,False,False,False,False,True,PASS
cb443_V20_regional_r1_surplus_M02_Q30_T03600,46a2c7e792338fd87a11233ba346c6a8f595454258ba140ddf917521c5a000a2,-892374139,ac902b88d437182a4e24dbcf568d26457fa7448920edb02d4abdca3afc7fd647,83364c6309a261ca4350eabfbd3220fdd6e3285afb400797c85c5f7f5680885b,1549,3626,16301.0,True,True,False,False,False,False,False,True,PASS
cb443_V20_regional_r1_surplus_M02_Q30_T18000,6f6e4aedbd63a4a2af2dda7fe64dca2d4a67a37c79c465ba72620d71594e5c7f,1632132095,35e23882692378fc4c4ef8002e1ca8bf57781794b501babab14000eba7032017,83364c6309a261ca4350eabfbd3220fdd6e3285afb400797c85c5f7f5680885b,1549,3626,16301.0,True,True,False,False,False,False,False,True,PASS
cb443_V30_compact_r1_shortage_M03_Q30_T03600,ca00135150eea1211b1fb8be679d21257457f7fbd1d10a86a8c9ac4e5cf18719,-132177409,0e60ec6c26abbfdf6d18ce34ac33f0210581adaaa35a62fc962574400c271354,430d42bf64f4d2e9352ee68b3782401063d176d959f91c072982318d395e2d07,4198,10561,50379.0,True,True,False,False,False,False,False,True,PASS
cb443_V30_compact_r1_shortage_M03_Q30_T18000,9611a23125848e9e17f92ffd79cfea4696271a1c01ae29892c55b83935ebd16b,974605734,f3623b3c9991f707fa9739f498e0f01e379edfda287a135e0f5b62a57bb35941,430d42bf64f4d2e9352ee68b3782401063d176d959f91c072982318d395e2d07,4198,10561,50379.0,True,True,False,False,False,False,False,True,PASS
cb443_V30_regional_r1_balanced_M03_Q30_T03600,6a7cb95024f5a09581d4d956d2963117dc9c042c2ab0dd1b38f26d0e7127fdc2,394887790,481df9a1d99b056633eef72496a179d4233a3271c3536cfb787090ca26a29ef8,2b9cfdae4229664d1054ca880c5435af3a5378d7144ffed8ab4a83420375e664,4210,10579,50433.0,True,True,False,False,False,False,False,True,PASS
cb443_V30_regional_r1_balanced_M03_Q30_T18000,0e617e555eaa81df5759d57566320787c9df87e6eb814b2ef318fe52416d0de0,-543257444,be0cf40a465649b20dfc915c625142ade06f2bbdbc185227b4e8bb97a7aa2c74,2b9cfdae4229664d1054ca880c5435af3a5378d7144ffed8ab4a83420375e664,4210,10579,50433.0,True,True,False,False,False,False,False,True,PASS
cb443_V50_compact_r1_surplus_M04_Q30_T03600,1bf3f9de2de889f06305feb5f83ce5e535cf2613119e1fb54021e5a3b700938e,-1670953382,dc7e4eeb5145ed524b92bdfdb324a0593cbac154fb4826f438987473f3e3c9a5,61e5927f587705972964598a26e6eaac3f6248b2c43c16ed84d7ac06989be178,13330,35573,176743.0,True,True,False,False,False,False,False,True,PASS
cb443_V50_compact_r1_surplus_M04_Q30_T18000,7892c961c4d484b4a50217e94fc4f27436c2f9ee82e5f7aa1669e7c113f4787c,190873192,b06a2c4ee97160869a1427267385e3d13030ccf261c1f3fae59292434a6ef077,61e5927f587705972964598a26e6eaac3f6248b2c43c16ed84d7ac06989be178,13330,35573,176743.0,True,True,False,False,False,False,False,True,PASS
cb443_V50_regional_r1_shortage_M04_Q30_T03600,6e7e5ecea7e6f79870bd8d67f6889fae20bcc3be98d0f3de42a040edbe91f47c,-579451465,578b15cacfe9f2dbdc22f7b4602124ed37eac2a4b92b6f98f62514c4e98a7206,295e6ad4f44c9b88c8cd5932b76d1bf03843dc952f1750d1bfb74a42be413d04,13360,35618,176870.0,True,True,False,False,False,False,False,True,PASS
cb443_V50_regional_r1_shortage_M04_Q30_T18000,0262e2315fe97d74cdb7a22997c23e68b7a3e72b8922da4338b0f3260ad7bd38,-373258443,4cd7967ea4d65804e6ab7ae8913033454ba495766ff9eb03529bd935f6e0bace,295e6ad4f44c9b88c8cd5932b76d1bf03843dc952f1750d1bfb74a42be413d04,13360,35618,176870.0,True,True,False,False,False,False,False,True,PASS
