M,scenario_count,K1_final_certificate_count,PGRB_final_certificate_count,both_certified_count,K1_faster_count,PGRB_faster_count,K1_only_count,PGRB_only_count,shifted_exact_time_ratio_K1_over_PGRB,shifted_exact_work_ratio_K1_over_PGRB,mean_K1_relative_gap,mean_PGRB_relative_gap
1,14,14,14,14,2,12,0,0,3.3371422842129586,0.8775580410031848,1.0998840572344977e-15,2.4327200220968873e-16
2,13,13,12,12,5,7,1,0,1.9230481536879045,0.4476908213756976,1.943885299678713e-09,0.014575988751987227
3,10,4,3,3,0,3,1,0,3.9676335255204602,0.10729014379281163,0.07507528073950025,0.11802593254315333
4,7,2,1,1,0,1,1,0,10.157151668579937,0.030400300127762132,0.21074074011510313,0.28992309491309515
5,3,1,1,1,0,1,0,0,3.0511434245802804,0.045737049490352184,0.15325535894206213,0.23375201715711533
7,3,0,0,0,0,0,0,0,,,0.5298114504827091,0.547239644249658
