V,scenario_count,K1_final_certificate_count,PGRB_final_certificate_count,both_certified_count,K1_faster_count,PGRB_faster_count,K1_only_count,PGRB_only_count,shifted_exact_time_ratio_K1_over_PGRB,shifted_exact_work_ratio_K1_over_PGRB,mean_K1_relative_gap,mean_PGRB_relative_gap
12,10,10,10,10,4,6,0,0,3.0304979584862908,0.7133674470479672,6.148941639927858e-11,3.2081895046908967e-16
20,10,9,8,8,3,5,1,0,2.4278604869477998,0.26989906998635993,0.01947344548036225,0.048934358751707464
30,10,3,2,2,0,2,1,0,3.3137049425782674,0.036494187502442876,0.10157844540731946,0.15816596431616375
50,10,2,1,1,0,1,1,0,10.157151668579937,0.030400300127762132,0.3064619532253849,0.3671180597140641
8,10,10,10,10,0,10,0,0,2.5571887644756974,0.9252000415524366,1.7866350078487688e-16,1.0940535648299042e-16
