fleet_density_V_over_M,scenario_count,K1_final_certificate_count,PGRB_final_certificate_count,both_certified_count,K1_faster_count,PGRB_faster_count,K1_only_count,PGRB_only_count,shifted_exact_time_ratio_K1_over_PGRB,shifted_exact_work_ratio_K1_over_PGRB,mean_K1_relative_gap,mean_PGRB_relative_gap
10.0,14,9,7,7,3,4,2,0,2.201133915837273,0.21213526731875762,0.03971560013590262,0.07642081753329463
12.0,7,7,7,7,2,5,0,0,4.5739635415962505,0.8257960359701301,1.987026049879006e-15,3.939878999548581e-16
12.5,7,2,1,1,0,1,1,0,10.157151668579937,0.030400300127762132,0.21074074011510313,0.28992309491309515
4.0,3,3,3,3,0,3,0,0,2.8673247097779337,0.9082415464773692,9.91468519062819e-17,1.4872027785942283e-16
6.0,6,4,4,4,2,2,0,0,1.4770269605063413,0.2778579744587578,0.07662767957351112,0.11687600857855773
6.666666666666667,3,2,2,2,0,2,0,0,4.165957190792771,0.20594446027265353,0.06491147671599805,0.09995191124708051
7.142857142857143,3,0,0,0,0,0,0,0,,,0.5298114504827091,0.547239644249658
8.0,7,7,7,7,0,7,0,0,2.4347633127822412,0.9325645580565648,2.12742064589989e-16,9.25561044645194e-17
