scenario_id,method,run_stage,run_cap_seconds,checkpoint_seconds,checkpoint_source,strict_certificate,valid_lower_bound,verified_upper_bound,absolute_gap,relative_gap,scaled_gap,work,nodes
cb443_V08_compact_r2_shortage_M01_Q30_T01800,k1_am_sf,screen_3600,3600,300,completed_run_carry_forward,True,0.6158836280552407,0.6158836280552391,0.0,0.0,0.0,1.7945664445159282,2133
cb443_V08_compact_r2_shortage_M01_Q30_T01800,k1_am_sf,screen_3600,3600,1200,completed_run_carry_forward,True,0.6158836280552407,0.6158836280552391,0.0,0.0,0.0,1.7945664445159282,2133
cb443_V08_compact_r2_shortage_M01_Q30_T01800,k1_am_sf,screen_3600,3600,3600,completed_run_carry_forward,True,0.6158836280552407,0.6158836280552391,0.0,0.0,0.0,1.7945664445159282,2133
cb443_V08_compact_r2_shortage_M01_Q30_T01800,pgrb,screen_3600,3600,300,completed_run_carry_forward,True,0.6158836280552391,0.6158836280552391,0.0,0.0,0.0,2.5212446235721315,1854
cb443_V08_compact_r2_shortage_M01_Q30_T01800,pgrb,screen_3600,3600,1200,completed_run_carry_forward,True,0.6158836280552391,0.6158836280552391,0.0,0.0,0.0,2.5212446235721315,1854
cb443_V08_compact_r2_shortage_M01_Q30_T01800,pgrb,screen_3600,3600,3600,completed_run_carry_forward,True,0.6158836280552391,0.6158836280552391,0.0,0.0,0.0,2.5212446235721315,1854
cb443_V08_compact_r2_balanced_M02_Q20_T03600,k1_am_sf,screen_3600,3600,300,completed_run_carry_forward,True,0.0,0.0,0.0,0.0,0.0,0,0
cb443_V08_compact_r2_balanced_M02_Q20_T03600,k1_am_sf,screen_3600,3600,1200,completed_run_carry_forward,True,0.0,0.0,0.0,0.0,0.0,0,0
cb443_V08_compact_r2_balanced_M02_Q20_T03600,k1_am_sf,screen_3600,3600,3600,completed_run_carry_forward,True,0.0,0.0,0.0,0.0,0.0,0,0
cb443_V08_compact_r2_balanced_M02_Q20_T03600,pgrb,screen_3600,3600,300,completed_run_carry_forward,True,0.0,0.0,0.0,0.0,0.0,0.066374492751732,1
cb443_V08_compact_r2_balanced_M02_Q20_T03600,pgrb,screen_3600,3600,1200,completed_run_carry_forward,True,0.0,0.0,0.0,0.0,0.0,0.066374492751732,1
cb443_V08_compact_r2_balanced_M02_Q20_T03600,pgrb,screen_3600,3600,3600,completed_run_carry_forward,True,0.0,0.0,0.0,0.0,0.0,0.066374492751732,1
cb443_V08_compact_r1_surplus_M01_Q20_T10800,k1_am_sf,screen_3600,3600,300,completed_run_carry_forward,True,0.0,0.0,0.0,0.0,0.0,0,0
cb443_V08_compact_r1_surplus_M01_Q20_T10800,k1_am_sf,screen_3600,3600,1200,completed_run_carry_forward,True,0.0,0.0,0.0,0.0,0.0,0,0
cb443_V08_compact_r1_surplus_M01_Q20_T10800,k1_am_sf,screen_3600,3600,3600,completed_run_carry_forward,True,0.0,0.0,0.0,0.0,0.0,0,0
cb443_V08_compact_r1_surplus_M01_Q20_T10800,pgrb,screen_3600,3600,300,completed_run_carry_forward,True,0.0,0.0,0.0,0.0,0.0,0.02289566272346699,1
cb443_V08_compact_r1_surplus_M01_Q20_T10800,pgrb,screen_3600,3600,1200,completed_run_carry_forward,True,0.0,0.0,0.0,0.0,0.0,0.02289566272346699,1
cb443_V08_compact_r1_surplus_M01_Q20_T10800,pgrb,screen_3600,3600,3600,completed_run_carry_forward,True,0.0,0.0,0.0,0.0,0.0,0.02289566272346699,1
cb443_V08_regional_r2_shortage_M02_Q20_T18000,k1_am_sf,screen_3600,3600,300,completed_run_carry_forward,True,0.0933146979521674,0.09331469795216743,2.7755575615628914e-17,2.974405557188457e-16,2.7755575615628914e-17,0.40993923165813806,15
cb443_V08_regional_r2_shortage_M02_Q20_T18000,k1_am_sf,screen_3600,3600,1200,completed_run_carry_forward,True,0.0933146979521674,0.09331469795216743,2.7755575615628914e-17,2.974405557188457e-16,2.7755575615628914e-17,0.40993923165813806,15
cb443_V08_regional_r2_shortage_M02_Q20_T18000,k1_am_sf,screen_3600,3600,3600,completed_run_carry_forward,True,0.0933146979521674,0.09331469795216743,2.7755575615628914e-17,2.974405557188457e-16,2.7755575615628914e-17,0.40993923165813806,15
cb443_V08_regional_r2_shortage_M02_Q20_T18000,pgrb,screen_3600,3600,300,completed_run_carry_forward,True,0.09331469795216739,0.09331469795216743,4.163336342344337e-17,4.461608335782685e-16,4.163336342344337e-17,0.46763277213107685,300
cb443_V08_regional_r2_shortage_M02_Q20_T18000,pgrb,screen_3600,3600,1200,completed_run_carry_forward,True,0.09331469795216739,0.09331469795216743,4.163336342344337e-17,4.461608335782685e-16,4.163336342344337e-17,0.46763277213107685,300
cb443_V08_regional_r2_shortage_M02_Q20_T18000,pgrb,screen_3600,3600,3600,completed_run_carry_forward,True,0.09331469795216739,0.09331469795216743,4.163336342344337e-17,4.461608335782685e-16,4.163336342344337e-17,0.46763277213107685,300
cb443_V08_regional_r1_balanced_M01_Q30_T01800,k1_am_sf,screen_3600,3600,300,completed_run_carry_forward,True,0.32901978737802284,0.32901978737802284,0.0,0.0,0.0,0.5766814285470513,175
cb443_V08_regional_r1_balanced_M01_Q30_T01800,k1_am_sf,screen_3600,3600,1200,completed_run_carry_forward,True,0.32901978737802284,0.32901978737802284,0.0,0.0,0.0,0.5766814285470513,175
cb443_V08_regional_r1_balanced_M01_Q30_T01800,k1_am_sf,screen_3600,3600,3600,completed_run_carry_forward,True,0.32901978737802284,0.32901978737802284,0.0,0.0,0.0,0.5766814285470513,175
cb443_V08_regional_r1_balanced_M01_Q30_T01800,pgrb,screen_3600,3600,300,completed_run_carry_forward,True,0.3290197873780229,0.32901978737802284,0.0,0.0,0.0,0.6835033418122858,857
