scenario_id,method,screen_certificate,long_3600_checkpoint_certificate,absolute_LB_difference,absolute_UB_difference,absolute_relative_gap_difference,material_repeatability_difference,classification
cb443_V20_regional_r2_shortage_M03_Q30_T03600,k1_am_sf,False,False,4.2690741645867725e-05,,,True,MATERIAL_DIFFERENCE
cb443_V20_regional_r2_shortage_M03_Q30_T03600,pgrb,False,False,1.1892130662383149e-05,0.0,2.303217828025783e-05,True,MATERIAL_DIFFERENCE
cb443_V30_compact_r2_shortage_M05_Q20_T18000,k1_am_sf,False,False,1.5716514081831612e-06,0.0,4.518000123139576e-06,False,PASS
cb443_V30_compact_r2_shortage_M05_Q20_T18000,pgrb,False,False,0.0,0.0,0.0,False,PASS
cb443_V30_compact_r2_balanced_M03_Q30_T01800,k1_am_sf,False,False,2.439649654517595e-07,0.0,2.9962215503109846e-07,False,PASS
cb443_V30_compact_r2_balanced_M03_Q30_T01800,pgrb,False,False,1.1197986134581228e-05,0.0,1.3623286663821954e-05,True,MATERIAL_DIFFERENCE
cb443_V30_compact_r2_surplus_M05_Q30_T03600,k1_am_sf,False,False,0.0,,,False,PASS
cb443_V30_compact_r2_surplus_M05_Q30_T03600,pgrb,False,False,1.2602876668516005e-05,,,True,MATERIAL_DIFFERENCE
cb443_V30_regional_r2_shortage_M03_Q30_T10800,k1_am_sf,False,False,1.799810485286768e-06,0.0,7.065213067758425e-06,False,PASS
cb443_V30_regional_r2_shortage_M03_Q30_T10800,pgrb,False,False,7.023565480379634e-06,0.0,2.757122875985535e-05,False,PASS
cb443_V30_regional_r2_surplus_M03_Q20_T01800,pgrb,False,False,0.00010247071068691938,0.0,8.517648465684868e-05,True,MATERIAL_DIFFERENCE
cb443_V50_compact_r1_shortage_M04_Q30_T01800,k1_am_sf,False,False,0.0,,,False,PASS
cb443_V50_compact_r1_shortage_M04_Q30_T01800,pgrb,False,False,0.0,,,False,PASS
cb443_V50_compact_r2_balanced_M07_Q20_T03600,k1_am_sf,False,False,0.0,0.0,0.0,False,PASS
cb443_V50_compact_r2_balanced_M07_Q20_T03600,pgrb,False,False,0.0,,,False,PASS
cb443_V50_compact_r2_surplus_M04_Q20_T10800,k1_am_sf,False,False,0.0,0.0,0.0,False,PASS
cb443_V50_compact_r2_surplus_M04_Q20_T10800,pgrb,False,False,0.0,,,False,PASS
cb443_V50_regional_r2_shortage_M07_Q20_T18000,k1_am_sf,False,False,0.0,0.0,0.0,False,PASS
cb443_V50_regional_r2_shortage_M07_Q20_T18000,pgrb,False,False,0.0,,,False,PASS
cb443_V50_regional_r1_balanced_M04_Q30_T01800,pgrb,False,False,0.0,,,False,PASS
cb443_V50_regional_r2_surplus_M07_Q30_T03600,k1_am_sf,False,False,0.0006368444604237244,0.0,0.0007047057112254951,True,MATERIAL_DIFFERENCE
cb443_V50_regional_r2_surplus_M07_Q30_T03600,pgrb,False,False,0.0,,,False,PASS
cb443_V20_regional_r1_surplus_M02_Q30_T03600,pgrb,False,False,6.682411228342566e-05,0.0,0.00010093449057450854,True,MATERIAL_DIFFERENCE
cb443_V30_compact_r1_shortage_M03_Q30_T03600,k1_am_sf,False,False,0.0,0.0,0.0,False,PASS
cb443_V30_compact_r1_shortage_M03_Q30_T03600,pgrb,False,False,1.5931405199565152e-05,,,True,MATERIAL_DIFFERENCE
cb443_V30_compact_r1_shortage_M03_Q30_T18000,k1_am_sf,False,False,1.7655851122067023e-05,0.0,0.00011239813593014181,True,MATERIAL_DIFFERENCE
cb443_V30_compact_r1_shortage_M03_Q30_T18000,pgrb,False,False,1.1286163726836884e-05,0.0,7.177613411794154e-05,True,MATERIAL_DIFFERENCE
cb443_V30_regional_r1_balanced_M03_Q30_T03600,k1_am_sf,False,False,0.0,,,False,PASS
cb443_V30_regional_r1_balanced_M03_Q30_T03600,pgrb,False,False,8.981049741407787e-05,,,True,MATERIAL_DIFFERENCE
cb443_V50_compact_r1_surplus_M04_Q30_T03600,k1_am_sf,False,False,6.505034445325464e-05,0.0,5.2753481389666845e-05,True,MATERIAL_DIFFERENCE
cb443_V50_compact_r1_surplus_M04_Q30_T03600,pgrb,False,False,0.0,,,False,PASS
cb443_V50_regional_r1_shortage_M04_Q30_T03600,k1_am_sf,False,False,0.0,0.0,0.0,False,PASS
cb443_V50_regional_r1_shortage_M04_Q30_T03600,pgrb,False,False,0.0,,,False,PASS
cb443_V50_regional_r1_shortage_M04_Q30_T18000,k1_am_sf,False,False,0.0,0.0,0.0,False,PASS
cb443_V50_regional_r1_shortage_M04_Q30_T18000,pgrb,False,False,0.0,,,False,PASS
