completion_sequence_number,completion_timestamp_utc,scenario_id,dataset_family,V,geographic_regime,inventory_regime,replicate,M,Q,T,method,method_label,run_stage,process_cap_seconds,actual_wall_time_seconds,gurobi_work,native_status,strict_certificate,verified_incumbent_available,objective,G,P,valid_lower_bound,verified_upper_bound,absolute_gap,relative_gap,scaled_gap,nodes,simplex_iterations,split_count,interval_count,route_witness_status,expected_model_fingerprint,actual_model_fingerprint,fingerprint_match,completion_marker_path,result_path,run_identity_sha256,result_sha256,next_action,notes
136,2026-09-07T16:10:23.813712+00:00,cb443_V30_compact_r2_balanced_M03_Q30_T01800,citibike443-regional-v1,30,compact,balanced,2,3,30,1800,k1_am_sf,K1-AM-SF,extension_16200,16200,16198.4144635,37227.01640980687,round31_c6_external_gini_tree_time_limit,False,True,0.8142420757383567,0.17061966447961555,4.290816075058275,0.7768418959472694,0.8142420757383567,0.03740017979108734,0.045932506935572895,0.03740017979108734,371006,88289532,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r2_balanced_M03_Q30_T01800/k1_am_sf/extension_16200/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r2_balanced_M03_Q30_T01800/k1_am_sf/extension_16200/result.json,50273d32d2ac9db2fcbb5043a2f145a710531087a20f52859037a11823cca7a6,f689f3ad1ab0eba1f085a2bcc95093a459a627b33e340225f0fe5d51b67977c0,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
137,2026-09-07T20:40:29.734547+00:00,cb443_V30_regional_r2_surplus_M03_Q20_T01800,citibike443-regional-v1,30,regional,surplus,2,3,20,1800,pgrb,P-GRB,extension_16200,16200,16199.016203,30440.1908986898,TIME_LIMIT,False,True,1.2030399129495564,0.2634766943501412,6.263754790662769,1.140500373276912,1.2030399129495564,0.06253953967264447,0.05198459253052792,0.05198459253052792,552450,63327951,,,verified_native_incumbent,-626445216,-626445216,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_regional_r2_surplus_M03_Q20_T01800/pgrb/extension_16200/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_regional_r2_surplus_M03_Q20_T01800/pgrb/extension_16200/result.json,ed6c88117741bd95bc8575743ebe8c9a2069abea6e40096ee6d1b98b5783fb70,de456701c18ee973c581b5cf58d1fc547713491c2f67942b30389ec499ce78d6,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
138,2026-09-08T01:10:33.644451+00:00,cb443_V50_compact_r1_shortage_M04_Q30_T01800,citibike443-regional-v1,50,compact,shortage,1,4,30,1800,k1_am_sf,K1-AM-SF,extension_16200,16200,16198.1394612,40028.45058467741,round31_c6_external_gini_tree_time_limit,False,True,1.6832897879107886,0.3479163843443552,8.902489357109557,1.5817682416331158,1.6832897879107886,0.10152154627767285,0.06031138964115982,0.06031138964115982,24227,24491544,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_compact_r1_shortage_M04_Q30_T01800/k1_am_sf/extension_16200/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_compact_r1_shortage_M04_Q30_T01800/k1_am_sf/extension_16200/result.json,435440da71b7fb463097de34ef560eb14719272f5c806bf410e279edf034d5a1,f9520bad91934fd510acf759b799a47f42e25fbeca4659a84871becd43f8cf56,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
140,2026-09-08T10:10:43.437294+00:00,cb443_V50_regional_r2_shortage_M07_Q20_T18000,citibike443-regional-v1,50,regional,shortage,2,7,20,18000,k1_am_sf,K1-AM-SF,extension_16200,16200,16199.8770453,38780.51167417263,round31_c6_external_gini_tree_time_limit,False,True,0.3266681003584966,0.03696468119307871,1.9313561277694524,0.30806659627065863,0.3266681003584966,0.01860150408783795,0.05694312994572789,0.01860150408783795,11144,17014561,2,3,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_regional_r2_shortage_M07_Q20_T18000/k1_am_sf/extension_16200/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_regional_r2_shortage_M07_Q20_T18000/k1_am_sf/extension_16200/result.json,a20b3be94594b34488f12640ce87b04d5f167565897caafac09ed70029c689b8,d622cc4f12b2f8bb062b9e2697b9d4f62095c8a2af801d6b1449d31fb30a7bce,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
139,2026-09-08T05:40:38.762696+00:00,cb443_V50_regional_r2_shortage_M07_Q20_T18000,citibike443-regional-v1,50,regional,shortage,2,7,20,18000,pgrb,P-GRB,extension_16200,16200,16198.3188123,38504.33572745051,TIME_LIMIT,False,True,0.32904888131462506,0.043500565191997735,1.9036554408175155,0.3083888485966158,0.32904888131462506,0.020660032718009258,0.06278712340691672,0.020660032718009258,17585,24281800,,,verified_native_incumbent,2133008454,2133008454,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_regional_r2_shortage_M07_Q20_T18000/pgrb/extension_16200/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_regional_r2_shortage_M07_Q20_T18000/pgrb/extension_16200/result.json,f47567821d9fb88213e8dac53fa7d64d56ad86ba527e9b4d7b08f37c439c5b1c,1cd2231a53c38b172010f54a8d1fa7f0c27a864494bf5a79c6087b924e74fc78,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
141,2026-09-08T14:40:47.652350+00:00,cb443_V50_regional_r1_shortage_M04_Q30_T18000,citibike443-regional-v1,50,regional,shortage,1,4,30,18000,k1_am_sf,K1-AM-SF,extension_16200,16200,16198.1258824,40762.43660929459,round31_c6_external_gini_tree_time_limit,False,True,0.21564407531579494,0.03872267378877319,1.179476010180145,0.20090837560638283,0.21564407531579494,0.014735699709412103,0.06833343178027382,0.014735699709412103,8363,23793642,2,3,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_regional_r1_shortage_M04_Q30_T18000/k1_am_sf/extension_16200/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_regional_r1_shortage_M04_Q30_T18000/k1_am_sf/extension_16200/result.json,9aa28ad3a74299008eef852fd7ead159666f9c143da0f63664520bab4dd32f2a,82c6b5d37d25e78a37e680544b4e7648d86082f8ec0dbf741734f388e4a58420,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
142,2026-09-08T19:10:52.242065+00:00,cb443_V50_regional_r1_shortage_M04_Q30_T18000,citibike443-regional-v1,50,regional,shortage,1,4,30,18000,pgrb,P-GRB,extension_16200,16200,16198.2463848,33535.274428414414,TIME_LIMIT,False,True,0.21812485668361808,0.039991341222723235,1.187556769739299,0.19985611716014498,0.21812485668361808,0.018268739523473104,0.08375358866124655,0.018268739523473104,41433,23457344,,,verified_native_incumbent,-373258443,-373258443,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_regional_r1_shortage_M04_Q30_T18000/pgrb/extension_16200/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_regional_r1_shortage_M04_Q30_T18000/pgrb/extension_16200/result.json,b129059d6e4e18c918bb2d688ae51a519b3e11c5df6e7986978254fcf4aebe37,381c3829ff2356fc5a869750f9ccd7bab8ba128e8dde14971ef000233bef5fad,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
