inventory_regime,scenario_count,K1_final_certificate_count,PGRB_final_certificate_count,both_certified_count,K1_faster_count,PGRB_faster_count,K1_only_count,PGRB_only_count,shifted_exact_time_ratio_K1_over_PGRB,shifted_exact_work_ratio_K1_over_PGRB,mean_K1_relative_gap,mean_PGRB_relative_gap
balanced,16,13,11,11,1,10,2,0,3.4078160593748414,0.322650001541331,0.07575004318633714,0.11628693732937401
shortage,18,9,9,9,3,6,0,0,2.0214989224786533,0.8542034122867438,0.05211672038651219,0.07401411768460014
surplus,16,12,11,11,3,8,1,0,3.1056372732701703,0.37171613797658104,0.13281479898793427,0.15933366951416064
