scenario_id,screen_k1_certificate,screen_pgrb_certificate,screen_k1_relative_gap,screen_pgrb_relative_gap,screen_k1_wall_seconds,screen_pgrb_wall_seconds,extend_k1_to_10800,extend_pgrb_to_10800,next_action,decision_reason,decision_frozen_after_both_screen_arms
cb443_V08_compact_r2_shortage_M01_Q30_T01800,True,True,0.0,0.0,2.5734734,2.1303556,False,False,pair_complete,both_certified_stop,True
cb443_V08_compact_r2_balanced_M02_Q20_T03600,True,True,0.0,0.0,1.5892056,0.088998,False,False,pair_complete,both_certified_stop,True
cb443_V08_compact_r1_surplus_M01_Q20_T10800,True,True,0.0,0.0,4.0510296,0.0539732,False,False,pair_complete,both_certified_stop,True
cb443_V08_regional_r2_shortage_M02_Q20_T18000,True,True,2.974405557188457e-16,4.461608335782685e-16,8.3479038,0.4852828,False,False,pair_complete,both_certified_stop,True
cb443_V08_regional_r1_balanced_M01_Q30_T01800,True,True,0.0,0.0,1.0823251,0.6757143,False,False,pair_complete,both_certified_stop,True
cb443_V08_regional_r2_surplus_M02_Q30_T03600,True,True,0.0,0.0,3.2591488,1.7035644,False,False,pair_complete,both_certified_stop,True
cb443_V12_compact_r2_shortage_M02_Q30_T03600,True,True,6.148799546276333e-10,0.0,376.606236,1011.8286632,False,False,pair_complete,both_certified_stop,True
cb443_V12_compact_r1_balanced_M01_Q20_T10800,True,True,0.0,0.0,13.2753025,0.0917746,False,False,pair_complete,both_certified_stop,True
cb443_V12_compact_r1_surplus_M02_Q20_T18000,True,True,0.0,0.0,9.4069332,0.0869982,False,False,pair_complete,both_certified_stop,True
cb443_V12_regional_r1_shortage_M01_Q20_T01800,True,True,0.0,2.035716019658125e-15,2.4762802,3.4590425,False,False,pair_complete,both_certified_stop,True
cb443_V12_regional_r2_balanced_M02_Q30_T03600,True,True,3.001828033379272e-16,4.5027420500689075e-16,21.1793404,49.7521769,False,False,pair_complete,both_certified_stop,True
cb443_V12_regional_r1_surplus_M01_Q30_T10800,True,True,3.1990680516688973e-15,5.924200095683143e-16,42.1510714,5.3673415,False,False,pair_complete,both_certified_stop,True
cb443_V20_compact_r2_shortage_M02_Q20_T10800,True,True,7.354845554611723e-10,0.0,578.9015901,671.4326074,False,False,pair_complete,both_certified_stop,True
cb443_V20_compact_r1_balanced_M03_Q30_T18000,True,True,0.0,0.0,21.0049361,2.6707635,False,False,pair_complete,both_certified_stop,True
cb443_V20_compact_r1_surplus_M02_Q30_T01800,True,True,1.2316313267467948e-08,0.0,530.5649599,2693.0138439,False,False,pair_complete,both_certified_stop,True
cb443_V20_regional_r2_shortage_M03_Q30_T03600,False,False,0.23305053343659055,0.3317632169653748,3598.073932,3599.359053,True,True,both_extensions_required,neither_certified_extend_both,True
cb443_V20_regional_r2_balanced_M02_Q20_T10800,True,True,0.0,0.0,38.8193911,4.7457914,False,False,pair_complete,both_certified_stop,True
cb443_V20_regional_r2_surplus_M03_Q20_T18000,True,True,0.0,2.0569808410101897e-10,29.6037981,9.5708383,False,False,pair_complete,both_certified_stop,True
cb443_V30_compact_r2_shortage_M05_Q20_T18000,False,False,0.03835485007250742,0.03728894538596663,3598.1138531,3598.0980653,True,True,both_extensions_required,neither_certified_extend_both,True
cb443_V30_compact_r2_balanced_M03_Q30_T01800,False,False,0.09233271331614713,0.20981286568045787,3598.0940329,3598.1921334,True,True,both_extensions_required,neither_certified_extend_both,True
cb443_V30_compact_r2_surplus_M05_Q30_T03600,False,False,0.5112163134504083,0.6975270436665592,3598.0734216,3598.1514983,True,True,both_extensions_required,neither_certified_extend_both,True
cb443_V30_regional_r2_shortage_M03_Q30_T10800,False,False,0.05531965357460483,0.05592359803407341,3598.1351349,3598.1389998,True,True,both_extensions_required,neither_certified_extend_both,True
cb443_V30_regional_r2_balanced_M05_Q20_T18000,True,True,0.0,0.0,39.0566173,12.1283954,False,False,pair_complete,both_certified_stop,True
cb443_V30_regional_r2_surplus_M03_Q20_T01800,True,False,7.057892522955477e-09,0.07871961560896636,955.4381171,3598.2004982,False,True,P-GRB_extension_required,single_certified_extend_noncertified,True
cb443_V50_compact_r1_shortage_M04_Q30_T01800,False,False,0.07308165958518695,0.1743826632956231,3598.1030189,3598.152812,True,True,both_extensions_required,neither_certified_extend_both,True
cb443_V50_compact_r2_balanced_M07_Q20_T03600,False,False,0.9999943202156126,0.9999988370668408,3598.1507283,3598.0661363,True,True,both_extensions_required,neither_certified_extend_both,True
cb443_V50_compact_r2_surplus_M04_Q20_T10800,False,False,1.0,1.0,3598.117513,3598.1153522,True,True,both_extensions_required,neither_certified_extend_both,True
cb443_V50_regional_r2_shortage_M07_Q20_T18000,False,False,0.06199194088983675,0.08938994762749533,3598.2090639,3598.1789218,True,True,both_extensions_required,neither_certified_extend_both,True
cb443_V50_regional_r1_balanced_M04_Q30_T01800,True,False,1.8686707138588212e-08,0.23559908561393061,2788.8363446,3598.2159864,False,True,P-GRB_extension_required,single_certified_extend_noncertified,True
cb443_V50_regional_r2_surplus_M07_Q30_T03600,False,False,0.5324969012867867,0.6178515546782735,3598.1240335,3598.0919113,True,True,both_extensions_required,neither_certified_extend_both,True
cb443_V08_compact_r1_shortage_M01_Q30_T03600,True,True,0.0,2.0398324906006086e-16,7.8944829,3.9373434,False,False,pair_complete,both_certified_stop,True
cb443_V08_compact_r1_shortage_M01_Q30_T18000,True,True,0.0,4.4390948219157485e-16,8.0417805,0.5310521,False,False,pair_complete,both_certified_stop,True
cb443_V08_regional_r2_balanced_M01_Q30_T03600,True,True,1.489194452129923e-15,0.0,2.6543021,0.9772893,False,False,pair_complete,both_certified_stop,True
cb443_V08_regional_r2_balanced_M01_Q30_T18000,True,True,0.0,0.0,2.9961499,0.053091,False,False,pair_complete,both_certified_stop,True
cb443_V12_compact_r2_surplus_M01_Q30_T03600,True,True,0.0,1.2977927045756718e-16,27.4022075,39.6444087,False,False,pair_complete,both_certified_stop,True
cb443_V12_compact_r2_surplus_M01_Q30_T18000,True,True,0.0,0.0,31.4934773,0.1019045,False,False,pair_complete,both_certified_stop,True
cb443_V12_regional_r2_shortage_M01_Q30_T03600,True,True,4.001422640102483e-15,0.0,7.6129715,4.0547409,False,False,pair_complete,both_certified_stop,True
cb443_V12_regional_r2_shortage_M01_Q30_T18000,True,True,6.708691657381662e-15,0.0,38.7017197,1.2992013,False,False,pair_complete,both_certified_stop,True
cb443_V20_compact_r2_balanced_M02_Q30_T03600,True,False,6.841903753075834e-16,0.18948765417805666,1044.4795227,3598.3368332,False,False,no_extension_due_to_large_remaining_gap,single_certified_censored_large_gap_stop,True
cb443_V20_compact_r2_balanced_M02_Q30_T18000,True,True,0.0,0.0,24.2257452,0.8927225,False,False,pair_complete,both_certified_stop,True
cb443_V20_regional_r1_surplus_M02_Q30_T03600,True,False,1.1603829836452782e-08,0.05408431542567059,1115.1372345,3598.417021,False,True,P-GRB_extension_required,single_certified_extend_noncertified,True
