replicate,scenario_count,K1_final_certificate_count,PGRB_final_certificate_count,both_certified_count,K1_faster_count,PGRB_faster_count,K1_only_count,PGRB_only_count,shifted_exact_time_ratio_K1_over_PGRB,shifted_exact_work_ratio_K1_over_PGRB,mean_K1_relative_gap,mean_PGRB_relative_gap
1,22,15,14,14,3,11,1,0,3.1127895784879573,0.3580762813190785,0.043513081763669144,0.07373454249383403
2,28,19,17,17,4,13,2,0,2.622392416693656,0.543380432616833,0.11849466581945862,0.14714371046267888
