scenario_id,method,package_available,package_path,certificate_label,file_count,solution_sha256_manifest,route_post_optimization
cb443_V08_compact_r2_shortage_M01_Q30_T01800,k1_am_sf,True,results/gf_citibike443_k1_vs_pgrb_round58/solutions/cb443_V08_compact_r2_shortage_M01_Q30_T01800/k1_am_sf,certified_optimal_witness,6,results/gf_citibike443_k1_vs_pgrb_round58/solutions/cb443_V08_compact_r2_shortage_M01_Q30_T01800/k1_am_sf/solution_sha256.txt,False
cb443_V08_compact_r2_shortage_M01_Q30_T01800,pgrb,True,results/gf_citibike443_k1_vs_pgrb_round58/solutions/cb443_V08_compact_r2_shortage_M01_Q30_T01800/pgrb,certified_optimal_witness,6,results/gf_citibike443_k1_vs_pgrb_round58/solutions/cb443_V08_compact_r2_shortage_M01_Q30_T01800/pgrb/solution_sha256.txt,False
cb443_V08_compact_r2_balanced_M02_Q20_T03600,k1_am_sf,True,results/gf_citibike443_k1_vs_pgrb_round58/solutions/cb443_V08_compact_r2_balanced_M02_Q20_T03600/k1_am_sf,certified_optimal_witness,6,results/gf_citibike443_k1_vs_pgrb_round58/solutions/cb443_V08_compact_r2_balanced_M02_Q20_T03600/k1_am_sf/solution_sha256.txt,False
cb443_V08_compact_r2_balanced_M02_Q20_T03600,pgrb,True,results/gf_citibike443_k1_vs_pgrb_round58/solutions/cb443_V08_compact_r2_balanced_M02_Q20_T03600/pgrb,certified_optimal_witness,6,results/gf_citibike443_k1_vs_pgrb_round58/solutions/cb443_V08_compact_r2_balanced_M02_Q20_T03600/pgrb/solution_sha256.txt,False
cb443_V08_compact_r1_surplus_M01_Q20_T10800,k1_am_sf,True,results/gf_citibike443_k1_vs_pgrb_round58/solutions/cb443_V08_compact_r1_surplus_M01_Q20_T10800/k1_am_sf,certified_optimal_witness,6,results/gf_citibike443_k1_vs_pgrb_round58/solutions/cb443_V08_compact_r1_surplus_M01_Q20_T10800/k1_am_sf/solution_sha256.txt,False
cb443_V08_compact_r1_surplus_M01_Q20_T10800,pgrb,True,results/gf_citibike443_k1_vs_pgrb_round58/solutions/cb443_V08_compact_r1_surplus_M01_Q20_T10800/pgrb,certified_optimal_witness,6,results/gf_citibike443_k1_vs_pgrb_round58/solutions/cb443_V08_compact_r1_surplus_M01_Q20_T10800/pgrb/solution_sha256.txt,False
cb443_V08_regional_r2_shortage_M02_Q20_T18000,k1_am_sf,True,results/gf_citibike443_k1_vs_pgrb_round58/solutions/cb443_V08_regional_r2_shortage_M02_Q20_T18000/k1_am_sf,certified_optimal_witness,6,results/gf_citibike443_k1_vs_pgrb_round58/solutions/cb443_V08_regional_r2_shortage_M02_Q20_T18000/k1_am_sf/solution_sha256.txt,False
cb443_V08_regional_r2_shortage_M02_Q20_T18000,pgrb,True,results/gf_citibike443_k1_vs_pgrb_round58/solutions/cb443_V08_regional_r2_shortage_M02_Q20_T18000/pgrb,certified_optimal_witness,6,results/gf_citibike443_k1_vs_pgrb_round58/solutions/cb443_V08_regional_r2_shortage_M02_Q20_T18000/pgrb/solution_sha256.txt,False
cb443_V08_regional_r1_balanced_M01_Q30_T01800,k1_am_sf,True,results/gf_citibike443_k1_vs_pgrb_round58/solutions/cb443_V08_regional_r1_balanced_M01_Q30_T01800/k1_am_sf,certified_optimal_witness,6,results/gf_citibike443_k1_vs_pgrb_round58/solutions/cb443_V08_regional_r1_balanced_M01_Q30_T01800/k1_am_sf/solution_sha256.txt,False
cb443_V08_regional_r1_balanced_M01_Q30_T01800,pgrb,True,results/gf_citibike443_k1_vs_pgrb_round58/solutions/cb443_V08_regional_r1_balanced_M01_Q30_T01800/pgrb,certified_optimal_witness,6,results/gf_citibike443_k1_vs_pgrb_round58/solutions/cb443_V08_regional_r1_balanced_M01_Q30_T01800/pgrb/solution_sha256.txt,False
cb443_V08_regional_r2_surplus_M02_Q30_T03600,k1_am_sf,True,results/gf_citibike443_k1_vs_pgrb_round58/solutions/cb443_V08_regional_r2_surplus_M02_Q30_T03600/k1_am_sf,certified_optimal_witness,6,results/gf_citibike443_k1_vs_pgrb_round58/solutions/cb443_V08_regional_r2_surplus_M02_Q30_T03600/k1_am_sf/solution_sha256.txt,False
