scenario_id,method,attempt_count,entered_caps_seconds,official_cap_seconds,official_algorithm_wall_time,official_algorithm_work,total_experimental_compute_time,total_experimental_compute_work,screen_time_not_added_to_fresh_long_run
cb443_V08_compact_r2_shortage_M01_Q30_T01800,k1_am_sf,1,3600,3600,2.5734734,1.7945664445159282,2.5734734,1.7945664445159282,True
cb443_V08_compact_r2_shortage_M01_Q30_T01800,pgrb,1,3600,3600,2.1303556,2.5212446235721315,2.1303556,2.5212446235721315,True
cb443_V08_compact_r2_balanced_M02_Q20_T03600,k1_am_sf,1,3600,3600,1.5892056,0,1.5892056,0.0,True
cb443_V08_compact_r2_balanced_M02_Q20_T03600,pgrb,1,3600,3600,0.088998,0.066374492751732,0.088998,0.066374492751732,True
cb443_V08_compact_r1_surplus_M01_Q20_T10800,k1_am_sf,1,3600,3600,4.0510296,0,4.0510296,0.0,True
cb443_V08_compact_r1_surplus_M01_Q20_T10800,pgrb,1,3600,3600,0.0539732,0.02289566272346699,0.0539732,0.02289566272346699,True
cb443_V08_regional_r2_shortage_M02_Q20_T18000,k1_am_sf,1,3600,3600,8.3479038,0.40993923165813806,8.3479038,0.40993923165813806,True
cb443_V08_regional_r2_shortage_M02_Q20_T18000,pgrb,1,3600,3600,0.4852828,0.46763277213107685,0.4852828,0.46763277213107685,True
cb443_V08_regional_r1_balanced_M01_Q30_T01800,k1_am_sf,1,3600,3600,1.0823251,0.5766814285470513,1.0823251,0.5766814285470513,True
cb443_V08_regional_r1_balanced_M01_Q30_T01800,pgrb,1,3600,3600,0.6757143,0.6835033418122858,0.6757143,0.6835033418122858,True
cb443_V08_regional_r2_surplus_M02_Q30_T03600,k1_am_sf,1,3600,3600,3.2591488,1.558120363057519,3.2591488,1.558120363057519,True
cb443_V08_regional_r2_surplus_M02_Q30_T03600,pgrb,1,3600,3600,1.7035644,2.0760268883951065,1.7035644,2.0760268883951065,True
cb443_V12_compact_r2_shortage_M02_Q30_T03600,k1_am_sf,1,3600,3600,376.606236,677.2014595196605,376.606236,677.2014595196605,True
cb443_V12_compact_r2_shortage_M02_Q30_T03600,pgrb,1,3600,3600,1011.8286632,1839.011091279654,1011.8286632,1839.011091279654,True
cb443_V12_compact_r1_balanced_M01_Q20_T10800,k1_am_sf,1,3600,3600,13.2753025,0,13.2753025,0.0,True
cb443_V12_compact_r1_balanced_M01_Q20_T10800,pgrb,1,3600,3600,0.0917746,0.08384281195982445,0.0917746,0.08384281195982445,True
cb443_V12_compact_r1_surplus_M02_Q20_T18000,k1_am_sf,1,3600,3600,9.4069332,0,9.4069332,0.0,True
cb443_V12_compact_r1_surplus_M02_Q20_T18000,pgrb,1,3600,3600,0.0869982,0.07079204405313029,0.0869982,0.07079204405313029,True
cb443_V12_regional_r1_shortage_M01_Q20_T01800,k1_am_sf,1,3600,3600,2.4762802,2.336684899427285,2.4762802,2.336684899427285,True
cb443_V12_regional_r1_shortage_M01_Q20_T01800,pgrb,1,3600,3600,3.4590425,4.877942826471059,3.4590425,4.877942826471059,True
cb443_V12_regional_r2_balanced_M02_Q30_T03600,k1_am_sf,1,3600,3600,21.1793404,30.758576263883747,21.1793404,30.758576263883747,True
cb443_V12_regional_r2_balanced_M02_Q30_T03600,pgrb,1,3600,3600,49.7521769,82.88240065199452,49.7521769,82.88240065199452,True
cb443_V12_regional_r1_surplus_M01_Q30_T10800,k1_am_sf,1,3600,3600,42.1510714,2.9610532339153504,42.1510714,2.9610532339153504,True
cb443_V12_regional_r1_surplus_M01_Q30_T10800,pgrb,1,3600,3600,5.3673415,7.433061678966169,5.3673415,7.433061678966169,True
cb443_V20_compact_r2_shortage_M02_Q20_T10800,k1_am_sf,1,3600,3600,578.9015901,1057.8433874559194,578.9015901,1057.8433874559194,True
cb443_V20_compact_r2_shortage_M02_Q20_T10800,pgrb,1,3600,3600,671.4326074,1276.836086697072,671.4326074,1276.836086697072,True
cb443_V20_compact_r1_balanced_M03_Q30_T18000,k1_am_sf,1,3600,3600,21.0049361,0,21.0049361,0.0,True
cb443_V20_compact_r1_balanced_M03_Q30_T18000,pgrb,1,3600,3600,2.6707635,3.7850593797256726,2.6707635,3.7850593797256726,True
cb443_V20_compact_r1_surplus_M02_Q30_T01800,k1_am_sf,1,3600,3600,530.5649599,1069.6367492655427,530.5649599,1069.6367492655427,True
cb443_V20_compact_r1_surplus_M02_Q30_T01800,pgrb,1,3600,3600,2693.0138439,5194.25218894543,2693.0138439,5194.25218894543,True
cb443_V20_regional_r2_shortage_M03_Q30_T03600,k1_am_sf,2,3600;10800,10800,10798.207318,24423.137525754795,14396.28125,32542.426633654868,True
cb443_V20_regional_r2_shortage_M03_Q30_T03600,pgrb,2,3600;10800,10800,10798.8702498,21945.855133081306,14398.2293028,29365.65761451465,True
cb443_V20_regional_r2_balanced_M02_Q20_T10800,k1_am_sf,1,3600,3600,38.8193911,0,38.8193911,0.0,True
cb443_V20_regional_r2_balanced_M02_Q20_T10800,pgrb,1,3600,3600,4.7457914,7.649212373462048,4.7457914,7.649212373462048,True
cb443_V20_regional_r2_surplus_M03_Q20_T18000,k1_am_sf,1,3600,3600,29.6037981,2.50451484009395,29.6037981,2.50451484009395,True
cb443_V20_regional_r2_surplus_M03_Q20_T18000,pgrb,1,3600,3600,9.5708383,16.267932537444086,9.5708383,16.267932537444086,True
cb443_V30_compact_r2_shortage_M05_Q20_T18000,k1_am_sf,3,3600;10800;21600,21600,21598.9121539,43412.01506784882,35995.3998223,72902.53434547063,True
cb443_V30_compact_r2_shortage_M05_Q20_T18000,pgrb,3,3600;10800;21600,21600,21598.3993609,47912.11526726506,35996.3518013,79148.50395343894,True
cb443_V30_compact_r2_balanced_M03_Q30_T01800,k1_am_sf,4,3600;10800;16200;21600,21600,21598.5688442,49333.69425263951,52193.3649791,119958.32838748282,True
cb443_V30_compact_r2_balanced_M03_Q30_T01800,pgrb,2,3600;10800,10800,10798.6718524,21604.704941530203,14396.8639858,28994.54620503589,True
cb443_V30_compact_r2_surplus_M05_Q30_T03600,k1_am_sf,2,3600;10800,10800,10798.1175134,28336.79488901367,14396.190935,37621.390580937354,True
cb443_V30_compact_r2_surplus_M05_Q30_T03600,pgrb,2,3600;10800,10800,10798.4087151,22187.898005904495,14396.5602134,29447.234617255283,True
cb443_V30_regional_r2_shortage_M03_Q30_T10800,k1_am_sf,3,3600;10800;21600,21600,21598.8986052,41547.770029062376,35995.4229896,69927.9319250544,True
cb443_V30_regional_r2_shortage_M03_Q30_T10800,pgrb,3,3600;10800;21600,21600,21599.8855023,43946.855993369325,35996.4233986,73281.26260025128,True
cb443_V30_regional_r2_balanced_M05_Q20_T18000,k1_am_sf,1,3600,3600,39.0566173,0,39.0566173,0.0,True
cb443_V30_regional_r2_balanced_M05_Q20_T18000,pgrb,1,3600,3600,12.1283954,20.86411259893232,12.1283954,20.86411259893232,True
cb443_V30_regional_r2_surplus_M03_Q20_T01800,k1_am_sf,1,3600,3600,955.4381171,1925.8550803877433,955.4381171,1925.8550803877433,True
