completion_sequence_number,completion_timestamp_utc,scenario_id,dataset_family,V,geographic_regime,inventory_regime,replicate,M,Q,T,method,method_label,run_stage,process_cap_seconds,actual_wall_time_seconds,gurobi_work,native_status,strict_certificate,verified_incumbent_available,objective,G,P,valid_lower_bound,verified_upper_bound,absolute_gap,relative_gap,scaled_gap,nodes,simplex_iterations,split_count,interval_count,route_witness_status,expected_model_fingerprint,actual_model_fingerprint,fingerprint_match,completion_marker_path,result_path,run_identity_sha256,result_sha256,next_action,notes
1,2026-08-31T14:14:46.556766+00:00,cb443_V08_compact_r2_shortage_M01_Q30_T01800,citibike443-regional-v1,8,compact,shortage,2,1,30,1800,k1_am_sf,K1-AM-SF,screen_3600,3600,2.5734734,1.7945664445159282,optimal,True,True,0.6158836280552391,0.2627586935097846,2.35416623030303,0.6158836280552407,0.6158836280552391,0.0,0.0,0.0,2133,34136,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V08_compact_r2_shortage_M01_Q30_T01800/k1_am_sf/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V08_compact_r2_shortage_M01_Q30_T01800/k1_am_sf/screen_3600/result.json,dd7711c3dde8d200eda4eda1ebc62ac586cdd0b553d9ce938d1a128fa56d338a,208c297acb7763e45e04a626eed45aa5f5ea070b151986a3f1fc5e46b09a7e82,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
2,2026-08-31T14:14:49.785037+00:00,cb443_V08_compact_r2_shortage_M01_Q30_T01800,citibike443-regional-v1,8,compact,shortage,2,1,30,1800,pgrb,P-GRB,screen_3600,3600,2.1303556,2.5212446235721315,OPTIMAL,True,True,0.6158836280552391,0.2627586935097846,2.35416623030303,0.6158836280552391,0.6158836280552391,0.0,0.0,0.0,1854,28933,,,verified_native_incumbent,-1994228849,-1994228849,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V08_compact_r2_shortage_M01_Q30_T01800/pgrb/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V08_compact_r2_shortage_M01_Q30_T01800/pgrb/screen_3600/result.json,7d341172cd35a1383c9a939d3d630095da6321b4981a7395b353bd724640da4a,747dcf6d73af2f990001a555d38ec34993d7734745416a4c5904e1633e71fea9,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
4,2026-08-31T14:14:53.407870+00:00,cb443_V08_compact_r2_balanced_M02_Q20_T03600,citibike443-regional-v1,8,compact,balanced,2,2,20,3600,k1_am_sf,K1-AM-SF,screen_3600,3600,1.5892056,0,optimal,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V08_compact_r2_balanced_M02_Q20_T03600/k1_am_sf/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V08_compact_r2_balanced_M02_Q20_T03600/k1_am_sf/screen_3600/result.json,8060e0c5a2655d3fc02c631a6a852b765dfe544e30ee9ee9d34d468dda848601,8542001d08f3ee7738832f0752e3e456d2c5307d932fc8ab86b05ca303778bba,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
3,2026-08-31T14:14:51.117898+00:00,cb443_V08_compact_r2_balanced_M02_Q20_T03600,citibike443-regional-v1,8,compact,balanced,2,2,20,3600,pgrb,P-GRB,screen_3600,3600,0.088998,0.066374492751732,OPTIMAL,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1098,,,verified_native_incumbent,-1147989987,-1147989987,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V08_compact_r2_balanced_M02_Q20_T03600/pgrb/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V08_compact_r2_balanced_M02_Q20_T03600/pgrb/screen_3600/result.json,e444534722640df258be333d0b32f909116130aaa1dc7bbb02f84f4a43d1b420,85720730f31ab34ab6731a9eb1e02aaf2e90e9029065afd7c813e31577add907,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
5,2026-08-31T14:14:58.849052+00:00,cb443_V08_compact_r1_surplus_M01_Q20_T10800,citibike443-regional-v1,8,compact,surplus,1,1,20,10800,k1_am_sf,K1-AM-SF,screen_3600,3600,4.0510296,0,optimal,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V08_compact_r1_surplus_M01_Q20_T10800/k1_am_sf/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V08_compact_r1_surplus_M01_Q20_T10800/k1_am_sf/screen_3600/result.json,8615bbbacb9dd566840ad7130effa8e8db95de685c9a88ae0f72be722269d675,113b6880a2e6a848a6b6d29dda62f63c1a2f20d14b5d6736427a3de089fbd4ff,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
6,2026-08-31T14:15:00.235657+00:00,cb443_V08_compact_r1_surplus_M01_Q20_T10800,citibike443-regional-v1,8,compact,surplus,1,1,20,10800,pgrb,P-GRB,screen_3600,3600,0.0539732,0.02289566272346699,OPTIMAL,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,328,,,verified_native_incumbent,1081812522,1081812522,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V08_compact_r1_surplus_M01_Q20_T10800/pgrb/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V08_compact_r1_surplus_M01_Q20_T10800/pgrb/screen_3600/result.json,348bb12a16c91efc01b942a633051e00562e6f5aa641a231d87bb1fbbc33421d,4ab5a9455e5d9f942453b4b1245932e7895a5121986ae0111574691b78ae2a9a,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
7,2026-08-31T14:15:09.787090+00:00,cb443_V08_regional_r2_shortage_M02_Q20_T18000,citibike443-regional-v1,8,regional,shortage,2,2,20,18000,k1_am_sf,K1-AM-SF,screen_3600,3600,8.3479038,0.40993923165813806,optimal,True,True,0.09331469795216743,0.011869394618834081,0.5429686888888889,0.0933146979521674,0.09331469795216743,2.7755575615628914e-17,2.974405557188457e-16,2.7755575615628914e-17,15,4170,2,3,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V08_regional_r2_shortage_M02_Q20_T18000/k1_am_sf/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V08_regional_r2_shortage_M02_Q20_T18000/k1_am_sf/screen_3600/result.json,5402598fdca91ab8c669ad49cfbca5d0870b29b8f45bd1d1636b3e76e3d7ee68,f1ee23f394a44f62f214bc79b183ebf1e4d6868c39c5826dc13d563ae1b2f03c,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
8,2026-08-31T14:15:11.301456+00:00,cb443_V08_regional_r2_shortage_M02_Q20_T18000,citibike443-regional-v1,8,regional,shortage,2,2,20,18000,pgrb,P-GRB,screen_3600,3600,0.4852828,0.46763277213107685,OPTIMAL,True,True,0.09331469795216743,0.011869394618834081,0.5429686888888889,0.09331469795216739,0.09331469795216743,4.163336342344337e-17,4.461608335782685e-16,4.163336342344337e-17,300,7764,,,verified_native_incumbent,-1710876728,-1710876728,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V08_regional_r2_shortage_M02_Q20_T18000/pgrb/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V08_regional_r2_shortage_M02_Q20_T18000/pgrb/screen_3600/result.json,6510a1cabee27e73ad10b093480da977ec84024d4da6e613123c56042382bc56,6b62f5ddead65821cee21da780cfb480b21c84b8d5b7f3aebfce0fd0a4719ea2,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
9,2026-08-31T14:15:13.902968+00:00,cb443_V08_regional_r1_balanced_M01_Q30_T01800,citibike443-regional-v1,8,regional,balanced,1,1,30,1800,k1_am_sf,K1-AM-SF,screen_3600,3600,1.0823251,0.5766814285470513,optimal,True,True,0.32901978737802284,0.17963709840015857,0.9958845931857616,0.32901978737802284,0.32901978737802284,0.0,0.0,0.0,175,6002,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V08_regional_r1_balanced_M01_Q30_T01800/k1_am_sf/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V08_regional_r1_balanced_M01_Q30_T01800/k1_am_sf/screen_3600/result.json,41e8334b1ddf6e67e9622c8ddf77564005927c163492a16f7a0bc9f700666bb4,6f1eb1078acaaaa090343172c3bd890b8e35ee684a8b588223b2df8ec837907e,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
10,2026-08-31T14:15:15.438886+00:00,cb443_V08_regional_r1_balanced_M01_Q30_T01800,citibike443-regional-v1,8,regional,balanced,1,1,30,1800,pgrb,P-GRB,screen_3600,3600,0.6757143,0.6835033418122858,OPTIMAL,True,True,0.32901978737802284,0.17963709840015857,0.9958845931857616,0.3290197873780229,0.32901978737802284,0.0,0.0,0.0,857,12732,,,verified_native_incumbent,-556439695,-556439695,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V08_regional_r1_balanced_M01_Q30_T01800/pgrb/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V08_regional_r1_balanced_M01_Q30_T01800/pgrb/screen_3600/result.json,29ebc7e1e987ebf5685c288b3b35088c4d7b786436545d1deae4985631ca0c80,e03975ceb8c37157cf8f89e4afd85c2844ab31d1e310e63181ccdf2477ef3899,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
11,2026-08-31T14:15:20.196080+00:00,cb443_V08_regional_r2_surplus_M02_Q30_T03600,citibike443-regional-v1,8,regional,surplus,2,2,30,3600,k1_am_sf,K1-AM-SF,screen_3600,3600,3.2591488,1.558120363057519,optimal,True,True,0.05598353715588168,0.026100733822548364,0.19921868888888883,0.05598353715588168,0.05598353715588168,0.0,0.0,0.0,726,16407,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V08_regional_r2_surplus_M02_Q30_T03600/k1_am_sf/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V08_regional_r2_surplus_M02_Q30_T03600/k1_am_sf/screen_3600/result.json,84619bd9dbea71fa47efdceb1e3f2a425da8f5f1acaec7ce8d8eb3af1f332cdb,3bad19540470e7b1bcbc84290f2198dc11a8be291945411d8e2373002024d77a,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
12,2026-08-31T14:15:22.851781+00:00,cb443_V08_regional_r2_surplus_M02_Q30_T03600,citibike443-regional-v1,8,regional,surplus,2,2,30,3600,pgrb,P-GRB,screen_3600,3600,1.7035644,2.0760268883951065,OPTIMAL,True,True,0.05598353715588168,0.026100733822548364,0.19921868888888883,0.05598353715588169,0.05598353715588168,0.0,0.0,0.0,2289,56703,,,verified_native_incumbent,842068610,842068610,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V08_regional_r2_surplus_M02_Q30_T03600/pgrb/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V08_regional_r2_surplus_M02_Q30_T03600/pgrb/screen_3600/result.json,2abcb699c3d4b18daf535fa93288f3fbea1a95990a17e8729967e7fba09de967,8726d213d287342abaf23f0647631177bf2ae2e158ecd5a2a788b340602d6f90,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
13,2026-08-31T14:21:40.365363+00:00,cb443_V12_compact_r2_shortage_M02_Q30_T03600,citibike443-regional-v1,12,compact,shortage,2,2,30,3600,k1_am_sf,K1-AM-SF,screen_3600,3600,376.606236,677.2014595196605,optimal,True,True,0.26181696296169044,0.1588352706696277,0.6865446152804185,0.26181696280070443,0.26181696296169044,1.6098600230662896e-10,6.148799546276333e-10,1.6098600230662896e-10,73631,5277474,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V12_compact_r2_shortage_M02_Q30_T03600/k1_am_sf/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V12_compact_r2_shortage_M02_Q30_T03600/k1_am_sf/screen_3600/result.json,6bb3b346277e45cdc6899fb1a5e611957ba3268b528b80074731bb4336b2b413,a309a5c0491fa5846d69cec25928814fcc6f4ccf5a672bc5ca37eb8cd1fffda1,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
14,2026-08-31T14:38:33.816132+00:00,cb443_V12_compact_r2_shortage_M02_Q30_T03600,citibike443-regional-v1,12,compact,shortage,2,2,30,3600,pgrb,P-GRB,screen_3600,3600,1011.8286632,1839.011091279654,OPTIMAL,True,True,0.26181696296169044,0.1588352706696277,0.6865446152804185,0.2618169629616905,0.26181696296169044,0.0,0.0,0.0,485331,19727421,,,verified_native_incumbent,-1715841480,-1715841480,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V12_compact_r2_shortage_M02_Q30_T03600/pgrb/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V12_compact_r2_shortage_M02_Q30_T03600/pgrb/screen_3600/result.json,97583a14b52fc8eeba5ae8515f634ce8758f15e9b6a4c76e177aa4c1025cc2b2,4daa3ae45524a4435f18db2a65fdd3946d0cb67f26f47b571d8d45550dabc072,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
15,2026-08-31T14:38:48.764980+00:00,cb443_V12_compact_r1_balanced_M01_Q20_T10800,citibike443-regional-v1,12,compact,balanced,1,1,20,10800,k1_am_sf,K1-AM-SF,screen_3600,3600,13.2753025,0,optimal,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V12_compact_r1_balanced_M01_Q20_T10800/k1_am_sf/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V12_compact_r1_balanced_M01_Q20_T10800/k1_am_sf/screen_3600/result.json,aebf18e7b632dd25630272c0ce25b2bc1c89d5666785ff22b42dfda5a798097d,8a4453a930e41ad03355b54148e6bfeaf02783ab24524a1281415992bb21e02b,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
16,2026-08-31T14:38:50.575040+00:00,cb443_V12_compact_r1_balanced_M01_Q20_T10800,citibike443-regional-v1,12,compact,balanced,1,1,20,10800,pgrb,P-GRB,screen_3600,3600,0.0917746,0.08384281195982445,OPTIMAL,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1271,,,verified_native_incumbent,210424938,210424938,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V12_compact_r1_balanced_M01_Q20_T10800/pgrb/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V12_compact_r1_balanced_M01_Q20_T10800/pgrb/screen_3600/result.json,2831c99f2c0186f28c3882b1f5141d9eca0eaba3d7e7e8a68713313a847ce838,918fb15e1d4e4a4e3304423541b14465b8d0c922467d8a0709713b83bdaa30fd,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
17,2026-08-31T14:39:01.604539+00:00,cb443_V12_compact_r1_surplus_M02_Q20_T18000,citibike443-regional-v1,12,compact,surplus,1,2,20,18000,k1_am_sf,K1-AM-SF,screen_3600,3600,9.4069332,0,optimal,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V12_compact_r1_surplus_M02_Q20_T18000/k1_am_sf/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V12_compact_r1_surplus_M02_Q20_T18000/k1_am_sf/screen_3600/result.json,9a1bb5cc2012d212bf2e34eb3ace68e5e744923393e986b15325b59ea65e5d3c,003a8ced4f4dc295922900c0010f37f4857e348b53fdeb053b62d249013badaa,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
18,2026-08-31T14:39:03.440882+00:00,cb443_V12_compact_r1_surplus_M02_Q20_T18000,citibike443-regional-v1,12,compact,surplus,1,2,20,18000,pgrb,P-GRB,screen_3600,3600,0.0869982,0.07079204405313029,OPTIMAL,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,813,,,verified_native_incumbent,1204232048,1204232048,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V12_compact_r1_surplus_M02_Q20_T18000/pgrb/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V12_compact_r1_surplus_M02_Q20_T18000/pgrb/screen_3600/result.json,c71f1684e63e9909112233404b11d65ba0f932c311dfe52af69961def7613f77,7a060cadda5e741896b180939e03f33ad744031c4911cd1e266ef281bf69abdb,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
20,2026-08-31T14:39:12.493488+00:00,cb443_V12_regional_r1_shortage_M01_Q20_T01800,citibike443-regional-v1,12,regional,shortage,1,1,20,1800,k1_am_sf,K1-AM-SF,screen_3600,3600,2.4762802,2.336684899427285,optimal,True,True,0.7089839241207561,0.33819321900782556,2.471938034086204,0.7089839241207809,0.7089839241207561,0.0,0.0,0.0,588,21404,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V12_regional_r1_shortage_M01_Q20_T01800/k1_am_sf/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V12_regional_r1_shortage_M01_Q20_T01800/k1_am_sf/screen_3600/result.json,6bcc1fb78697cdd31b679fcce01b6fa179b53c47cfd16d59f7186269e80cf9e4,d8d1c597282bcc59af34e079a09a412f22cad905f9e8c944f5dfbd826a2afefa,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
19,2026-08-31T14:39:08.589236+00:00,cb443_V12_regional_r1_shortage_M01_Q20_T01800,citibike443-regional-v1,12,regional,shortage,1,1,20,1800,pgrb,P-GRB,screen_3600,3600,3.4590425,4.877942826471059,OPTIMAL,True,True,0.7089839241207561,0.33819321900782556,2.471938034086204,0.7089839241207546,0.7089839241207561,1.4432899320127035e-15,2.035716019658125e-15,1.4432899320127035e-15,1694,43537,,,verified_native_incumbent,-1613065719,-1613065719,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V12_regional_r1_shortage_M01_Q20_T01800/pgrb/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V12_regional_r1_shortage_M01_Q20_T01800/pgrb/screen_3600/result.json,7639141bb51e53559f28df692f40a2f4dbf9d2eedb93f03a1243355ad385bade,218f1320d0e239c98973107dc3c271ae15a11e08fe17120d1d6350aebfcd5dab,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
22,2026-08-31T14:40:26.692591+00:00,cb443_V12_regional_r2_balanced_M02_Q30_T03600,citibike443-regional-v1,12,regional,balanced,2,2,30,3600,k1_am_sf,K1-AM-SF,screen_3600,3600,21.1793404,30.758576263883747,optimal,True,True,0.09246224402929373,0.036212238574748264,0.37500003636363644,0.0924622440292937,0.09246224402929373,2.7755575615628914e-17,3.001828033379272e-16,2.7755575615628914e-17,3325,220707,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V12_regional_r2_balanced_M02_Q30_T03600/k1_am_sf/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V12_regional_r2_balanced_M02_Q30_T03600/k1_am_sf/screen_3600/result.json,2c6ea9254412339516e9c5a593e5fb22075a6892072301d20a9fefb0f68ac0ac,77bd0582ca2b10097f09892bd5a5543321969848f78f1919d5ca020fe4973ada,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
21,2026-08-31T14:40:04.438188+00:00,cb443_V12_regional_r2_balanced_M02_Q30_T03600,citibike443-regional-v1,12,regional,balanced,2,2,30,3600,pgrb,P-GRB,screen_3600,3600,49.7521769,82.88240065199452,OPTIMAL,True,True,0.09246224402929373,0.036212238574748264,0.37500003636363644,0.09246224402929369,0.09246224402929373,4.163336342344337e-17,4.5027420500689075e-16,4.163336342344337e-17,17654,1196711,,,verified_native_incumbent,1326563843,1326563843,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V12_regional_r2_balanced_M02_Q30_T03600/pgrb/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V12_regional_r2_balanced_M02_Q30_T03600/pgrb/screen_3600/result.json,bdbce40f7ed36034c3000613f622e45379dec126d0c6c325f068c415cfcb2bb0,fb4c6ea5e4baf74f65579197c652fc7f9ce41ddd4d9886ddaa7b0fdfbaf59577,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
23,2026-08-31T14:41:10.424097+00:00,cb443_V12_regional_r1_surplus_M01_Q30_T10800,citibike443-regional-v1,12,regional,surplus,1,1,30,10800,k1_am_sf,K1-AM-SF,screen_3600,3600,42.1510714,2.9610532339153504,optimal,True,True,0.05856397312578515,0.023359903840070865,0.23469379523809525,0.058563973125784964,0.05856397312578515,1.8735013540549517e-16,3.1990680516688973e-15,1.8735013540549517e-16,964,26221,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V12_regional_r1_surplus_M01_Q30_T10800/k1_am_sf/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V12_regional_r1_surplus_M01_Q30_T10800/k1_am_sf/screen_3600/result.json,5e7aa3d1cba1f14b33c5cb882bd643423a52f02f7c474f5a91f6376ed781406e,2d79cebee8340886c9b071a04d8f1b38625b53b621d04e1f887f708c9afc3f21,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
24,2026-08-31T14:41:17.477433+00:00,cb443_V12_regional_r1_surplus_M01_Q30_T10800,citibike443-regional-v1,12,regional,surplus,1,1,30,10800,pgrb,P-GRB,screen_3600,3600,5.3673415,7.433061678966169,OPTIMAL,True,True,0.05856397312578515,0.023359903840070865,0.23469379523809525,0.05856397312578512,0.05856397312578515,3.469446951953614e-17,5.924200095683143e-16,3.469446951953614e-17,3128,86543,,,verified_native_incumbent,72275223,72275223,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V12_regional_r1_surplus_M01_Q30_T10800/pgrb/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V12_regional_r1_surplus_M01_Q30_T10800/pgrb/screen_3600/result.json,9fb4c18d3d5ab6066e00491bea364248766d42076afe478659a58ddba06482cb,e98ce9588948a76c5dcf1dc2ab980717bfc0420d7b51bc7e04e046acb06f3251,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
26,2026-08-31T15:02:10.447050+00:00,cb443_V20_compact_r2_shortage_M02_Q20_T10800,citibike443-regional-v1,20,compact,shortage,2,2,20,10800,k1_am_sf,K1-AM-SF,screen_3600,3600,578.9015901,1057.8433874559194,optimal,True,True,0.2256218305640563,0.019621834005614746,1.3733333103896104,0.22562183039811493,0.2256218305640563,1.6594137175474089e-10,7.354845554611723e-10,1.6594137175474089e-10,191564,7222373,2,3,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_compact_r2_shortage_M02_Q20_T10800/k1_am_sf/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_compact_r2_shortage_M02_Q20_T10800/k1_am_sf/screen_3600/result.json,54b0ee0a270778267941f2e4f4554bf15d9709612916fb66e0e1f3e5cd5cc698,a4734cd2e10af80c638a121cca15200b47ca89558a01be1ce0f103bc95639bea,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
25,2026-08-31T14:52:30.386888+00:00,cb443_V20_compact_r2_shortage_M02_Q20_T10800,citibike443-regional-v1,20,compact,shortage,2,2,20,10800,pgrb,P-GRB,screen_3600,3600,671.4326074,1276.836086697072,OPTIMAL,True,True,0.2256218305640563,0.019621834005614746,1.3733333103896104,0.22562183056405632,0.2256218305640563,0.0,0.0,0.0,260140,13496852,,,verified_native_incumbent,1303462215,1303462215,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_compact_r2_shortage_M02_Q20_T10800/pgrb/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_compact_r2_shortage_M02_Q20_T10800/pgrb/screen_3600/result.json,44b62a1202f4d025960bd757748289f065a9ca74727f63f9d5f044e3caeaf476,a9055cc79daa5ddcb340296285db822f05bd2ea05b14b1e24e13cdf5e649cdfc,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
27,2026-08-31T15:02:33.204244+00:00,cb443_V20_compact_r1_balanced_M03_Q30_T18000,citibike443-regional-v1,20,compact,balanced,1,3,30,18000,k1_am_sf,K1-AM-SF,screen_3600,3600,21.0049361,0,optimal,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_compact_r1_balanced_M03_Q30_T18000/k1_am_sf/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_compact_r1_balanced_M03_Q30_T18000/k1_am_sf/screen_3600/result.json,f26c731877611cd62643cfc6d20ce9ff5d249e4902dc7148a67823c93a6bb081,007b3d9c1646ead0122723590b11bb91076439b02fce3fe27fb038430132cd4e,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
28,2026-08-31T15:02:37.418633+00:00,cb443_V20_compact_r1_balanced_M03_Q30_T18000,citibike443-regional-v1,20,compact,balanced,1,3,30,18000,pgrb,P-GRB,screen_3600,3600,2.6707635,3.7850593797256726,OPTIMAL,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241,22943,,,verified_native_incumbent,-1279869392,-1279869392,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_compact_r1_balanced_M03_Q30_T18000/pgrb/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_compact_r1_balanced_M03_Q30_T18000/pgrb/screen_3600/result.json,188ae77e2d2a639f8cbc064da871307d5390cb616610d60513d2240001f2edf5,87c640695aa62cefc9491d9b3a9f9f47fc54db3981239046cd3f89a8c3b96084,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
