completion_sequence_number,completion_timestamp_utc,scenario_id,dataset_family,V,geographic_regime,inventory_regime,replicate,M,Q,T,method,method_label,run_stage,process_cap_seconds,actual_wall_time_seconds,gurobi_work,native_status,strict_certificate,verified_incumbent_available,objective,G,P,valid_lower_bound,verified_upper_bound,absolute_gap,relative_gap,scaled_gap,nodes,simplex_iterations,split_count,interval_count,route_witness_status,expected_model_fingerprint,actual_model_fingerprint,fingerprint_match,completion_marker_path,result_path,run_identity_sha256,result_sha256,next_action,notes
102,2026-09-02T11:55:23.130451+00:00,cb443_V20_regional_r2_shortage_M03_Q30_T03600,citibike443-regional-v1,20,regional,shortage,2,3,30,3600,k1_am_sf,K1-AM-SF,long_10800,10800,10798.207318,24423.137525754795,round31_c6_external_gini_tree_time_limit,False,True,0.5150591127753121,0.2605823950162117,1.6965114517273365,0.4147593699564803,0.5150591127753121,0.10029974281883186,0.19473443014799416,0.10029974281883186,236203,72228418,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_regional_r2_shortage_M03_Q30_T03600/k1_am_sf/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_regional_r2_shortage_M03_Q30_T03600/k1_am_sf/long_10800/result.json,1f5d9dfdc2d7623d550b853163b57f7d213c472bb9adb8650b6188a9b360d524,4dfc1213e4f07027b3ae166732cf6eec4fd26854466c9e72df798d134c971ec3,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
101,2026-09-02T08:55:18.952595+00:00,cb443_V20_regional_r2_shortage_M03_Q30_T03600,citibike443-regional-v1,20,regional,shortage,2,3,30,3600,pgrb,P-GRB,long_10800,10800,10798.8702498,21945.855133081306,TIME_LIMIT,False,True,0.5163267893142982,0.28119702534062013,1.5675317598245209,0.36150324116040733,0.5163267893142982,0.15482354815389088,0.29985573353554346,0.15482354815389088,669830,85177121,,,verified_native_incumbent,403792201,403792201,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_regional_r2_shortage_M03_Q30_T03600/pgrb/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_regional_r2_shortage_M03_Q30_T03600/pgrb/long_10800/result.json,af8b9e85fa59be24f887f4df80e4e513e771868acd777c10a193b0626ed02b32,7f2d957f5fff46c8d8d2c4c8bda4b03244fb7fa871900dad28387c655f0353eb,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
103,2026-09-02T14:55:26.619446+00:00,cb443_V30_compact_r2_shortage_M05_Q20_T18000,citibike443-regional-v1,30,compact,shortage,2,5,20,18000,k1_am_sf,K1-AM-SF,long_10800,10800,10798.3738153,22198.40963454662,round31_c6_external_gini_tree_time_limit,False,True,0.3478644013605063,0.03179301112074604,2.1071426015984014,0.3362034568883778,0.3478644013605063,0.011660944472128454,0.033521522830511574,0.011660944472128454,225824,33530683,2,3,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r2_shortage_M05_Q20_T18000/k1_am_sf/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r2_shortage_M05_Q20_T18000/k1_am_sf/long_10800/result.json,b8a23c1003e478131d251f7f617b9255cf76af5b0c33a36d91af15785421eccf,9716f4d48a5a5e05f0aedba28823942f61e0eaddadc0482189a71f8fe09f3aae,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
104,2026-09-02T17:55:30.075876+00:00,cb443_V30_compact_r2_shortage_M05_Q20_T18000,citibike443-regional-v1,30,compact,shortage,2,5,20,18000,pgrb,P-GRB,long_10800,10800,10799.8543751,23661.837753097698,TIME_LIMIT,False,True,0.3478644013605063,0.03179301112074604,2.1071426015984014,0.33722431992859836,0.3478644013605063,0.010640081431907922,0.03058686485393245,0.010640081431907922,43492,29975611,,,verified_native_incumbent,-664187939,-664187939,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r2_shortage_M05_Q20_T18000/pgrb/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r2_shortage_M05_Q20_T18000/pgrb/long_10800/result.json,82de107cc699a5d4046d1304c6745a088f4c57847d328bd5735209186d122d4f,3b51d210f7a0c582de0f938728c09b395f91e4c2ac441c91c50ce949cdade9ea,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
105,2026-09-02T20:55:34.158635+00:00,cb443_V30_compact_r2_balanced_M03_Q30_T01800,citibike443-regional-v1,30,compact,balanced,2,3,30,1800,k1_am_sf,K1-AM-SF,long_10800,10800,10798.2876385,25130.436197008574,round31_c6_external_gini_tree_time_limit,False,True,0.8142420757383567,0.17061966447961555,4.290816075058275,0.7662402373904669,0.8142420757383567,0.04800183834788985,0.05895278539169284,0.04800183834788985,248086,57694684,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r2_balanced_M03_Q30_T01800/k1_am_sf/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r2_balanced_M03_Q30_T01800/k1_am_sf/long_10800/result.json,26e9a58769989243128d7f40f74a78b256aefd4ac35b63e07c4f6e69378bc19f,943e728076faf80040efeb36ed67558c99658fd1d7ac83317a970a4ef26f02df,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
106,2026-09-02T23:55:37.366801+00:00,cb443_V30_compact_r2_balanced_M03_Q30_T01800,citibike443-regional-v1,30,compact,balanced,2,3,30,1800,pgrb,P-GRB,long_10800,10800,10798.6718524,21604.704941530203,TIME_LIMIT,False,True,0.8219739047492574,0.16840252027373306,4.357142563170163,0.6646592995387766,0.8219739047492574,0.1573146052104808,0.19138637407043904,0.1573146052104808,323015,48894993,,,verified_native_incumbent,-904622568,-904622568,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r2_balanced_M03_Q30_T01800/pgrb/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r2_balanced_M03_Q30_T01800/pgrb/long_10800/result.json,a19ab9ab21dfe1d392efc0a4367ea33bdcfa8d81e114cd8e3691b12bfcdeb319,8bda23720c52036240b05ba0c6ec969ebe85286d11551215d5978aad3db8b454,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
107,2026-09-03T02:55:39.989494+00:00,cb443_V30_compact_r2_surplus_M05_Q30_T03600,citibike443-regional-v1,30,compact,surplus,2,5,30,3600,k1_am_sf,K1-AM-SF,long_10800,10800,10798.1175134,28336.79488901367,round31_c6_external_gini_tree_time_limit,False,True,0.3971975721575447,0.10102420579390835,1.974489109090909,0.22670589358911886,0.3971975721575447,0.17049167856842584,0.4292364569157082,0.17049167856842584,13223,14638223,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r2_surplus_M05_Q30_T03600/k1_am_sf/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r2_surplus_M05_Q30_T03600/k1_am_sf/long_10800/result.json,80d5ebe4af05f5bd680e072ea71eb6554d71ba8e4e06287ae3023c53acf0d5ec,50447290f22a3e6de7abde04b691157ca7d104a6c278a7e4b99030544d855959,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
108,2026-09-03T05:55:44.318880+00:00,cb443_V30_compact_r2_surplus_M05_Q30_T03600,citibike443-regional-v1,30,compact,surplus,2,5,30,3600,pgrb,P-GRB,long_10800,10800,10798.4087151,22187.898005904495,TIME_LIMIT,False,True,0.4127474378010471,0.10050261780104712,2.081632133333333,0.1345646031240268,0.4127474378010471,0.2781828346770203,0.6739783441396194,0.2781828346770203,86810,32698830,,,verified_native_incumbent,2677128,2677128,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r2_surplus_M05_Q30_T03600/pgrb/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r2_surplus_M05_Q30_T03600/pgrb/long_10800/result.json,7e0898274cf8e7e4b327329bac666ed9a011847c2b19c840bbf55e9b61f72514,d83c451a66589e404e800cdceab12276724e7dff270466959d27b5882801127e,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
110,2026-09-03T11:55:50.981576+00:00,cb443_V30_regional_r2_shortage_M03_Q30_T10800,citibike443-regional-v1,30,regional,shortage,2,3,30,10800,k1_am_sf,K1-AM-SF,long_10800,10800,10798.3892495,21303.31209952317,round31_c6_external_gini_tree_time_limit,False,True,0.2547425630375072,0.037670740638448,1.4471454826603949,0.24307417382816984,0.2547425630375072,0.011668389209337354,0.04580463142949281,0.011668389209337354,328685,42912324,2,3,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_regional_r2_shortage_M03_Q30_T10800/k1_am_sf/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_regional_r2_shortage_M03_Q30_T10800/k1_am_sf/long_10800/result.json,29abdd9379f1ff7716422f4dab10172f79157c80b90061368c75e28783406643,b2089641cca14b0bab9483dc2d415a94b210bb0b2cfd88ad8560c0a5f4ce1119,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
109,2026-09-03T08:55:47.224547+00:00,cb443_V30_regional_r2_shortage_M03_Q30_T10800,citibike443-regional-v1,30,regional,shortage,2,3,30,10800,pgrb,P-GRB,long_10800,10800,10798.3988965,21921.427649948826,TIME_LIMIT,False,True,0.2547425630375072,0.037670740638448,1.4471454826603949,0.2424152382532493,0.2547425630375072,0.01232732478425791,0.04839130390017662,0.01232732478425791,192084,44563965,,,verified_native_incumbent,-175342411,-175342411,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_regional_r2_shortage_M03_Q30_T10800/pgrb/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_regional_r2_shortage_M03_Q30_T10800/pgrb/long_10800/result.json,ad5da7da2ea96c7374cd0324e9e81d6e74bf76866033c99519cedfc245b89936,51fd94563f6891bbe042ddfa7f5f9660eaf52f36e1be5b6ee8508a25c259d34c,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
111,2026-09-03T14:55:56.032916+00:00,cb443_V30_regional_r2_surplus_M03_Q20_T01800,citibike443-regional-v1,30,regional,surplus,2,3,20,1800,pgrb,P-GRB,long_10800,10800,10798.6776774,20646.841670375903,TIME_LIMIT,False,True,1.2030399129495564,0.2634766943501412,6.263754790662769,1.132007379838281,1.2030399129495564,0.07103253311127533,0.05904420322773924,0.05904420322773924,366510,42623152,,,verified_native_incumbent,-626445216,-626445216,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_regional_r2_surplus_M03_Q20_T01800/pgrb/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_regional_r2_surplus_M03_Q20_T01800/pgrb/long_10800/result.json,eaa544e49364603b559d5f9d1d73a126f51d79c58fdaee00ddcd25b8b1260333,fee4c20aede42d2ae8bfbffc8fbe7d27006c4d9e6169f9899abd718f73b48f81,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
