scenario_id,dataset_family,panel_class,V,geographic_regime,inventory_regime,replicate,M,fleet_density_V_over_M,Q,T,K1_certificate_3600,PGRB_certificate_3600,K1_certificate_10800,PGRB_certificate_10800,K1_final_cap_seconds,PGRB_final_cap_seconds,K1_final_status,PGRB_final_status,K1_final_certificate,PGRB_final_certificate,K1_official_algorithm_wall_time,PGRB_official_algorithm_wall_time,K1_official_algorithm_work,PGRB_official_algorithm_work,K1_exact_time,PGRB_exact_time,K1_exact_work,PGRB_exact_work,exact_time_ratio_K1_over_PGRB,exact_work_ratio_K1_over_PGRB,K1_valid_LB,PGRB_valid_LB,K1_verified_UB,PGRB_verified_UB,K1_absolute_gap,PGRB_absolute_gap,K1_relative_gap,PGRB_relative_gap,K1_scaled_gap,PGRB_scaled_gap,K1_route_witness,PGRB_route_witness,largest_common_authorized_cap_seconds,K1_common_horizon_relative_gap_integral,PGRB_common_horizon_relative_gap_integral,K1_gap_integral_coverage_seconds,PGRB_gap_integral_coverage_seconds,unequal_final_horizons,pair_outcome,censoring_status,severe_regression_status,long_run_material_regression_status
cb443_V08_compact_r2_shortage_M01_Q30_T01800,citibike443-regional-v1,primary_structural,8,compact,shortage,2,1,8.0,30,1800,True,True,,,3600,3600,optimal,OPTIMAL,True,True,2.5734734,2.1303556,1.7945664445159282,2.5212446235721315,2.5734734,2.1303556,1.7945664445159282,2.5212446235721315,1.2080018002628294,0.7117779955732195,0.6158836280552407,0.6158836280552391,0.6158836280552391,0.6158836280552391,0.0,0.0,0.0,0.0,0.0,0.0,True,True,3600,0.27588552684558065,0.01671759695546429,1.6529065000000003,0.3326798000000002,False,both_certified_pgrb_faster,none,False,False
cb443_V08_compact_r2_balanced_M02_Q20_T03600,citibike443-regional-v1,primary_structural,8,compact,balanced,2,2,4.0,20,3600,True,True,,,3600,3600,optimal,OPTIMAL,True,True,1.5892056,0.088998,0,0.066374492751732,1.5892056,0.088998,0,0.066374492751732,17.856643969527408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,3600,0.0,0.0,0.0028495000000001713,0.03059379999999999,False,both_certified_pgrb_faster,none,False,False
cb443_V08_compact_r1_surplus_M01_Q20_T10800,citibike443-regional-v1,primary_structural,8,compact,surplus,1,1,8.0,20,10800,True,True,,,3600,3600,optimal,OPTIMAL,True,True,4.0510296,0.0539732,0,0.02289566272346699,4.0510296,0.0539732,0,0.02289566272346699,75.05631683872737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,3600,0.0,0.0,0.002400899999999595,0.0272423,False,both_certified_pgrb_faster,none,False,False
cb443_V08_regional_r2_shortage_M02_Q20_T18000,citibike443-regional-v1,primary_structural,8,regional,shortage,2,2,4.0,20,18000,True,True,,,3600,3600,optimal,OPTIMAL,True,True,8.3479038,0.4852828,0.40993923165813806,0.46763277213107685,8.3479038,0.4852828,0.40993923165813806,0.46763277213107685,17.202142338446777,0.8766263959430812,0.0933146979521674,0.09331469795216739,0.09331469795216743,0.09331469795216743,2.7755575615628914e-17,4.163336342344337e-17,2.974405557188457e-16,4.461608335782685e-16,2.7755575615628914e-17,4.163336342344337e-17,True,True,3600,0.08981270451183038,0.0005192570035832449,0.5497049999999994,0.05707899999999999,False,both_certified_pgrb_faster,none,False,False
cb443_V08_regional_r1_balanced_M01_Q30_T01800,citibike443-regional-v1,primary_structural,8,regional,balanced,1,1,8.0,30,1800,True,True,,,3600,3600,optimal,OPTIMAL,True,True,1.0823251,0.6757143,0.5766814285470513,0.6835033418122858,1.0823251,0.6757143,0.5766814285470513,0.6835033418122858,1.6017495855866897,0.8437141316939287,0.32901978737802284,0.3290197873780229,0.32901978737802284,0.32901978737802284,0.0,0.0,0.0,0.0,0.0,0.0,True,True,3600,0.15279272345380984,0.016573616645515675,0.619835,0.239022,False,both_certified_pgrb_faster,none,False,False
cb443_V08_regional_r2_surplus_M02_Q30_T03600,citibike443-regional-v1,primary_structural,8,regional,surplus,2,2,4.0,30,3600,True,True,,,3600,3600,optimal,OPTIMAL,True,True,3.2591488,1.7035644,1.558120363057519,2.0760268883951065,3.2591488,1.7035644,1.558120363057519,2.0760268883951065,1.9131350713832715,0.7505299530402709,0.05598353715588168,0.05598353715588169,0.05598353715588168,0.05598353715588168,0.0,0.0,0.0,0.0,0.0,0.0,True,True,3600,1.0397038230738604,0.08871785854164005,1.4833179,0.34825970000000006,False,both_certified_pgrb_faster,none,False,False
cb443_V12_compact_r2_shortage_M02_Q30_T03600,citibike443-regional-v1,primary_structural,12,compact,shortage,2,2,6.0,30,3600,True,True,,,3600,3600,optimal,OPTIMAL,True,True,376.606236,1011.8286632,677.2014595196605,1839.011091279654,376.606236,1011.8286632,677.2014595196605,1839.011091279654,0.37220356538324245,0.3682421833836999,0.26181696280070443,0.2618169629616905,0.26181696296169044,0.26181696296169044,1.6098600230662896e-10,0.0,6.148799546276333e-10,0.0,1.6098600230662896e-10,0.0,True,True,3600,68.5581507596023,126.5130124730667,370.58158560000004,963.6095816000001,False,both_certified_k1_faster,none,False,False
cb443_V12_compact_r1_balanced_M01_Q20_T10800,citibike443-regional-v1,primary_structural,12,compact,balanced,1,1,12.0,20,10800,True,True,,,3600,3600,optimal,OPTIMAL,True,True,13.2753025,0.0917746,0,0.08384281195982445,13.2753025,0.0917746,0,0.08384281195982445,144.6511616503913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,3600,0.0,0.0,0.0020905000000013274,0.026873099999999997,False,both_certified_pgrb_faster,none,False,False
cb443_V12_compact_r1_surplus_M02_Q20_T18000,citibike443-regional-v1,primary_structural,12,compact,surplus,1,2,6.0,20,18000,True,True,,,3600,3600,optimal,OPTIMAL,True,True,9.4069332,0.0869982,0,0.07079204405313029,9.4069332,0.0869982,0,0.07079204405313029,108.12790609460885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,3600,0.0,0.0,0.0020098999999991207,0.03399822670288086,False,both_certified_pgrb_faster,none,False,False
cb443_V12_regional_r1_shortage_M01_Q20_T01800,citibike443-regional-v1,primary_structural,12,regional,shortage,1,1,12.0,20,1800,True,True,,,3600,3600,optimal,OPTIMAL,True,True,2.4762802,3.4590425,2.336684899427285,4.877942826471059,2.4762802,3.4590425,2.336684899427285,4.877942826471059,0.7158860291540218,0.47903080920646146,0.7089839241207809,0.7089839241207546,0.7089839241207561,0.7089839241207561,0.0,1.4432899320127035e-15,0.0,2.035716019658125e-15,0.0,1.4432899320127035e-15,True,True,3600,0.2816429255600162,0.0667216558719326,1.9933739000000001,1.1209604,False,both_certified_k1_faster,none,False,False
