T,scenario_count,K1_final_certificate_count,PGRB_final_certificate_count,both_certified_count,K1_faster_count,PGRB_faster_count,K1_only_count,PGRB_only_count,shifted_exact_time_ratio_K1_over_PGRB,shifted_exact_work_ratio_K1_over_PGRB,mean_K1_relative_gap,mean_PGRB_relative_gap
10800,7,5,5,5,1,4,0,0,4.796199978318799,0.5268434154189304,0.14851785113906116,0.14919065060206038
1800,8,6,4,4,2,2,2,0,0.683468936040348,0.5430232076510476,0.011825280822299408,0.07851545218734193
18000,17,13,13,13,0,13,0,0,8.13870677259955,0.3342138394338079,0.010853016029757556,0.010631411972428815
3600,18,10,9,9,4,5,1,0,0.8668233693579661,0.5832103126299245,0.16424499803821446,0.21605509180971716
