geographic_regime,scenario_count,K1_final_certificate_count,PGRB_final_certificate_count,both_certified_count,K1_faster_count,PGRB_faster_count,K1_only_count,PGRB_only_count,shifted_exact_time_ratio_K1_over_PGRB,shifted_exact_work_ratio_K1_over_PGRB,mean_K1_relative_gap,mean_PGRB_relative_gap
compact,25,16,15,15,4,11,1,0,3.0499008294610546,0.5181513975182803,0.12088212298897848,0.15297214154956662
regional,25,18,16,16,3,13,2,0,2.6445663526337606,0.3944332095606801,0.05012341468084402,0.07671521156320767
