scenario_ordinal,arm_ordinal,scenario_id,scenario_sha256,first_hex_digit,first_hex_digit_even,within_pair_order,method,stage,cap_seconds
6,12,cb443_V08_regional_r2_surplus_M02_Q30_T03600,ee934c2ace05a76466235ebdd5af74dd095ebc1bd12675d861bf25e66ba30e13,e,True,2,pgrb,screen_3600,3600
7,13,cb443_V12_compact_r2_shortage_M02_Q30_T03600,632fee1d715210f5ed0669afb08646147272e63d37e04c077720e9e848c827a6,6,True,1,k1_am_sf,screen_3600,3600
7,14,cb443_V12_compact_r2_shortage_M02_Q30_T03600,632fee1d715210f5ed0669afb08646147272e63d37e04c077720e9e848c827a6,6,True,2,pgrb,screen_3600,3600
8,15,cb443_V12_compact_r1_balanced_M01_Q20_T10800,2ff389df69db282c2fdc601ac8f3d6b17e9c2b50a0dacd70cd946c08303e331e,2,True,1,k1_am_sf,screen_3600,3600
8,16,cb443_V12_compact_r1_balanced_M01_Q20_T10800,2ff389df69db282c2fdc601ac8f3d6b17e9c2b50a0dacd70cd946c08303e331e,2,True,2,pgrb,screen_3600,3600
9,17,cb443_V12_compact_r1_surplus_M02_Q20_T18000,e94fcfdcad4b199b6706147b1658fbc3279f66228e57de39c51c334ab6b4dd86,e,True,1,k1_am_sf,screen_3600,3600
9,18,cb443_V12_compact_r1_surplus_M02_Q20_T18000,e94fcfdcad4b199b6706147b1658fbc3279f66228e57de39c51c334ab6b4dd86,e,True,2,pgrb,screen_3600,3600
10,19,cb443_V12_regional_r1_shortage_M01_Q20_T01800,3b2c669f042006cd5b542c2829877f54282a38695180c85dbe04675ee7023a9d,3,False,1,pgrb,screen_3600,3600
10,20,cb443_V12_regional_r1_shortage_M01_Q20_T01800,3b2c669f042006cd5b542c2829877f54282a38695180c85dbe04675ee7023a9d,3,False,2,k1_am_sf,screen_3600,3600
11,21,cb443_V12_regional_r2_balanced_M02_Q30_T03600,706f2069ae529da4bda334dce183b7b4139719f77c0a88627a11d276b32a2976,7,False,1,pgrb,screen_3600,3600
11,22,cb443_V12_regional_r2_balanced_M02_Q30_T03600,706f2069ae529da4bda334dce183b7b4139719f77c0a88627a11d276b32a2976,7,False,2,k1_am_sf,screen_3600,3600
12,23,cb443_V12_regional_r1_surplus_M01_Q30_T10800,632b261dcba2b74a0c51415c582dbde53e4b59eabaed9fc4d88452537949b84c,6,True,1,k1_am_sf,screen_3600,3600
12,24,cb443_V12_regional_r1_surplus_M01_Q30_T10800,632b261dcba2b74a0c51415c582dbde53e4b59eabaed9fc4d88452537949b84c,6,True,2,pgrb,screen_3600,3600
13,25,cb443_V20_compact_r2_shortage_M02_Q20_T10800,36e503d62786652247ba59ddbcd55cd5aa364accdc03605570b5d90b1edce034,3,False,1,pgrb,screen_3600,3600
13,26,cb443_V20_compact_r2_shortage_M02_Q20_T10800,36e503d62786652247ba59ddbcd55cd5aa364accdc03605570b5d90b1edce034,3,False,2,k1_am_sf,screen_3600,3600
14,27,cb443_V20_compact_r1_balanced_M03_Q30_T18000,475869ee4fc63bf642775a8ef710a55edb2cd6829aca13d03b604255b1e66527,4,True,1,k1_am_sf,screen_3600,3600
14,28,cb443_V20_compact_r1_balanced_M03_Q30_T18000,475869ee4fc63bf642775a8ef710a55edb2cd6829aca13d03b604255b1e66527,4,True,2,pgrb,screen_3600,3600
15,29,cb443_V20_compact_r1_surplus_M02_Q30_T01800,4852b08701f76c32e34504748cc4dab9cdef3a81d3b2dd601426701b6267ddb4,4,True,1,k1_am_sf,screen_3600,3600
15,30,cb443_V20_compact_r1_surplus_M02_Q30_T01800,4852b08701f76c32e34504748cc4dab9cdef3a81d3b2dd601426701b6267ddb4,4,True,2,pgrb,screen_3600,3600
16,31,cb443_V20_regional_r2_shortage_M03_Q30_T03600,5748ccb701b931e5d9f437ed3a79a6428fab5c01fc660fd59a7778f407c16aa7,5,False,1,pgrb,screen_3600,3600
16,32,cb443_V20_regional_r2_shortage_M03_Q30_T03600,5748ccb701b931e5d9f437ed3a79a6428fab5c01fc660fd59a7778f407c16aa7,5,False,2,k1_am_sf,screen_3600,3600
17,33,cb443_V20_regional_r2_balanced_M02_Q20_T10800,ad48705a86f81d511d0e19e607623968e4254c26d1c9d4074ceaab188a6d5edd,a,True,1,k1_am_sf,screen_3600,3600
17,34,cb443_V20_regional_r2_balanced_M02_Q20_T10800,ad48705a86f81d511d0e19e607623968e4254c26d1c9d4074ceaab188a6d5edd,a,True,2,pgrb,screen_3600,3600
18,35,cb443_V20_regional_r2_surplus_M03_Q20_T18000,1c88c288800a198d9b80081ccba1b0724d5f2010e187658f18f0ae7725bba554,1,False,1,pgrb,screen_3600,3600
18,36,cb443_V20_regional_r2_surplus_M03_Q20_T18000,1c88c288800a198d9b80081ccba1b0724d5f2010e187658f18f0ae7725bba554,1,False,2,k1_am_sf,screen_3600,3600
19,37,cb443_V30_compact_r2_shortage_M05_Q20_T18000,ae60ffa818e8614dd4b683f688616955e426bf3c2aa2c67e7a1e71ad6b1a1c83,a,True,1,k1_am_sf,screen_3600,3600
19,38,cb443_V30_compact_r2_shortage_M05_Q20_T18000,ae60ffa818e8614dd4b683f688616955e426bf3c2aa2c67e7a1e71ad6b1a1c83,a,True,2,pgrb,screen_3600,3600
20,39,cb443_V30_compact_r2_balanced_M03_Q30_T01800,24e5e1142f956fa55f6e27794289b46f888f7068f76fe23efb332cd1adf605de,2,True,1,k1_am_sf,screen_3600,3600
20,40,cb443_V30_compact_r2_balanced_M03_Q30_T01800,24e5e1142f956fa55f6e27794289b46f888f7068f76fe23efb332cd1adf605de,2,True,2,pgrb,screen_3600,3600
21,41,cb443_V30_compact_r2_surplus_M05_Q30_T03600,4af3711197db62565659a8e8bd5de45ef02f015392f8d976d1f8720362d5edf4,4,True,1,k1_am_sf,screen_3600,3600
21,42,cb443_V30_compact_r2_surplus_M05_Q30_T03600,4af3711197db62565659a8e8bd5de45ef02f015392f8d976d1f8720362d5edf4,4,True,2,pgrb,screen_3600,3600
22,43,cb443_V30_regional_r2_shortage_M03_Q30_T10800,5f875186337eb1c5e5f5e210d53b0bfe0ea09a295734f5a4ed0e1804b011f3fb,5,False,1,pgrb,screen_3600,3600
22,44,cb443_V30_regional_r2_shortage_M03_Q30_T10800,5f875186337eb1c5e5f5e210d53b0bfe0ea09a295734f5a4ed0e1804b011f3fb,5,False,2,k1_am_sf,screen_3600,3600
23,45,cb443_V30_regional_r2_balanced_M05_Q20_T18000,44213eca1edf698518c1d9813356f385141cc54064cec11909008691e771996c,4,True,1,k1_am_sf,screen_3600,3600
23,46,cb443_V30_regional_r2_balanced_M05_Q20_T18000,44213eca1edf698518c1d9813356f385141cc54064cec11909008691e771996c,4,True,2,pgrb,screen_3600,3600
24,47,cb443_V30_regional_r2_surplus_M03_Q20_T01800,048031f18952ccb804dad97d94bc3d44fc254b7b80fe69c61f177fb834424756,0,True,1,k1_am_sf,screen_3600,3600
24,48,cb443_V30_regional_r2_surplus_M03_Q20_T01800,048031f18952ccb804dad97d94bc3d44fc254b7b80fe69c61f177fb834424756,0,True,2,pgrb,screen_3600,3600
25,49,cb443_V50_compact_r1_shortage_M04_Q30_T01800,8b3e89e877ee8d1e3e5796b1659c288404ff714a97618ee8ba2709c09c9b9391,8,True,1,k1_am_sf,screen_3600,3600
25,50,cb443_V50_compact_r1_shortage_M04_Q30_T01800,8b3e89e877ee8d1e3e5796b1659c288404ff714a97618ee8ba2709c09c9b9391,8,True,2,pgrb,screen_3600,3600
26,51,cb443_V50_compact_r2_balanced_M07_Q20_T03600,4d17350f83cd16c4303d5809b19052d6e8335ad6185505fb07b1620e97ca844e,4,True,1,k1_am_sf,screen_3600,3600
26,52,cb443_V50_compact_r2_balanced_M07_Q20_T03600,4d17350f83cd16c4303d5809b19052d6e8335ad6185505fb07b1620e97ca844e,4,True,2,pgrb,screen_3600,3600
27,53,cb443_V50_compact_r2_surplus_M04_Q20_T10800,e88d4fadc6eb9404ec5f040b0cdc73dc91ca36b595c1a8c1444bbad1b7263cff,e,True,1,k1_am_sf,screen_3600,3600
27,54,cb443_V50_compact_r2_surplus_M04_Q20_T10800,e88d4fadc6eb9404ec5f040b0cdc73dc91ca36b595c1a8c1444bbad1b7263cff,e,True,2,pgrb,screen_3600,3600
28,55,cb443_V50_regional_r2_shortage_M07_Q20_T18000,3c447b8248e2c387ed0c649a1205b7a2056df61e1b553703e85d30bc562da415,3,False,1,pgrb,screen_3600,3600
28,56,cb443_V50_regional_r2_shortage_M07_Q20_T18000,3c447b8248e2c387ed0c649a1205b7a2056df61e1b553703e85d30bc562da415,3,False,2,k1_am_sf,screen_3600,3600
29,57,cb443_V50_regional_r1_balanced_M04_Q30_T01800,cf9fde37eefdc406810aae3ae63f8a9750db47ff59790f1d82e7687175cd2782,c,True,1,k1_am_sf,screen_3600,3600
29,58,cb443_V50_regional_r1_balanced_M04_Q30_T01800,cf9fde37eefdc406810aae3ae63f8a9750db47ff59790f1d82e7687175cd2782,c,True,2,pgrb,screen_3600,3600
30,59,cb443_V50_regional_r2_surplus_M07_Q30_T03600,7384a9fedc255a29e5c9a9335b314af53eaf78e3edc1d4472bd225d8ff23b76c,7,False,1,pgrb,screen_3600,3600
30,60,cb443_V50_regional_r2_surplus_M07_Q30_T03600,7384a9fedc255a29e5c9a9335b314af53eaf78e3edc1d4472bd225d8ff23b76c,7,False,2,k1_am_sf,screen_3600,3600
31,61,cb443_V08_compact_r1_shortage_M01_Q30_T03600,c94debdd2e3e550e0abc9e5a62a28f802e0aaff52243bb7c5fd4d6dcabe04b6d,c,True,1,k1_am_sf,screen_3600,3600
31,62,cb443_V08_compact_r1_shortage_M01_Q30_T03600,c94debdd2e3e550e0abc9e5a62a28f802e0aaff52243bb7c5fd4d6dcabe04b6d,c,True,2,pgrb,screen_3600,3600
32,63,cb443_V08_compact_r1_shortage_M01_Q30_T18000,4b3f88c5a5030803036d0b036a79ceb85c69cf57869b07bee69e6a3a64825c98,4,True,1,k1_am_sf,screen_3600,3600
32,64,cb443_V08_compact_r1_shortage_M01_Q30_T18000,4b3f88c5a5030803036d0b036a79ceb85c69cf57869b07bee69e6a3a64825c98,4,True,2,pgrb,screen_3600,3600
33,65,cb443_V08_regional_r2_balanced_M01_Q30_T03600,1e53c3a49bce784df83c55ec653c42fb79b32c067fa751458f5d650f218cb16b,1,False,1,pgrb,screen_3600,3600
33,66,cb443_V08_regional_r2_balanced_M01_Q30_T03600,1e53c3a49bce784df83c55ec653c42fb79b32c067fa751458f5d650f218cb16b,1,False,2,k1_am_sf,screen_3600,3600
34,67,cb443_V08_regional_r2_balanced_M01_Q30_T18000,40122029943fc75698c565cf2f37b4183b671139247f6de519cfd2783fa33f98,4,True,1,k1_am_sf,screen_3600,3600
34,68,cb443_V08_regional_r2_balanced_M01_Q30_T18000,40122029943fc75698c565cf2f37b4183b671139247f6de519cfd2783fa33f98,4,True,2,pgrb,screen_3600,3600
