station,initial_inventory,target_inventory,final_inventory
0,50000,0,50000
1,17,9,9
2,9,5,5
3,5,10,10
4,9,15,15
5,5,10,10
6,8,12,12
7,19,11,11
8,7,14,14
9,21,12,12
10,22,12,12
11,15,8,8
12,5,9,9
