vehicle,route_sequence_position,predecessor,station,successor,pickup,drop,load_before,load_after,travel_time_from_predecessor,operation_time,station_inventory_after
0,1,0,1,8,8,0,0,8,95.39254278794276,480.0,9
0,2,1,8,9,0,7,8,1,350.9302573733253,420.0,14
0,3,8,9,4,9,0,1,10,487.9139810914548,540.0,12
0,4,9,4,11,0,6,10,4,319.999601069122,360.0,15
0,5,4,11,5,7,0,4,11,272.72477298557345,420.0,8
0,6,11,5,0,0,5,11,6,484.8205844827601,300.0,10
1,1,0,10,12,10,0,0,10,267.81755161625364,600.0,12
1,2,10,12,7,0,4,10,6,260.27510647009035,240.0,9
1,3,12,7,3,8,0,6,14,555.1056595739313,480.0,11
1,4,7,3,6,0,5,14,9,153.56022397029565,300.0,10
1,5,3,6,2,0,4,9,5,113.75770669701946,240.0,12
1,6,6,2,0,4,0,5,9,296.4561135580233,240.0,5
