variant_name,time_limit_seconds,interval_id,call_index,vehicle,depth,operation_states_generated,operation_states_pruned
all_improvements_300_v12_m2,300,7,0,aggregate,1,2,0
all_improvements_300_v12_m2,300,7,0,aggregate,2,368,0
all_improvements_300_v12_m2,300,7,0,aggregate,3,22509,14886
all_improvements_300_v12_m2,300,7,0,aggregate,4,410703,163398
all_improvements_300_v12_m2,300,7,0,aggregate,5,4290580,1131680
all_improvements_300_v12_m2,300,7,0,aggregate,6,31048305,5965558
all_improvements_300_v12_m2,300,7,0,aggregate,7,162813259,24283037
all_improvements_300_v12_m2,300,7,0,aggregate,8,599012356,73994795
all_improvements_300_v12_m2,300,7,0,aggregate,9,1417661867,156211834
all_improvements_300_v12_m2,300,7,0,aggregate,10,1908194381,201035004
all_improvements_300_v12_m2,300,7,0,aggregate,11,1265697903,131651313
all_improvements_300_v12_m2,300,7,0,aggregate,12,308728408,31587983
