run_id,parent_uid,parent_parent_uid,parent_native_depth,parent_gini_generation,child_gini_generation,parent_gamma_L,parent_gamma_U,split,parent_relaxation,lower_uid,lower_gamma_L,lower_gamma_U,lower_estimate,lower_gamma_floor,lower_weighted_penalty_lb,lower_domain_estimate,lower_lift,lower_station_deviation_lbs,upper_uid,upper_gamma_L,upper_gamma_U,upper_estimate,upper_gamma_floor,upper_weighted_penalty_lb,upper_domain_estimate,upper_lift,upper_station_deviation_lbs,estimate_mode,sibling_discriminated,creation_time,creation_node_count,open_nodes,simplex_iterations,validity_status,failure_reason
diagnostic_eager__V12_M2__eager_only__60s,0,-1,0,0,1,0,0.68743279608819474,0.35925203537748546,0.37089921896969874,1,0,0.35925203537748546,0.37089921896969874,0,0.20714183111071599,0.031071274666607397,0,0.5|0|0|0.13513513513513509|0.070175438596491224|0.09375|3.5|0|0.052631578947368474|0|0|0,2,0.35925203537748546,0.68743279608819474,0.37089921896969874,0.35925203537748546,0.20714183111071599,0.39032331004409287,0.019424091074394134,0.5|0|0|0.13513513513513509|0.070175438596491224|0.09375|3.5|0|0.052631578947368474|0|0|0,parent-copy,false,1.7612901999999999,0,1,1268,passed,
diagnostic_eager__V12_M2__eager_only__60s,2,0,1,1,2,0.35925203537748546,0.68743279608819474,0.53887805306622816,0.59260465066808332,3,0.35925203537748546,0.53887805306622816,0.59260465066808332,0.35925203537748546,0.20714183111071599,0.39032331004409287,0,0.5|0|0|0.13513513513513509|0.070175438596491224|0.09375|3.5|0|0.052631578947368474|0|0|0,4,0.53887805306622816,0.68743279608819474,0.59260465066808332,0.53887805306622816,0.20714183111071599,0.56994932773283558,0,0.5|0|0|0.13513513513513509|0.070175438596491224|0.09375|3.5|0|0.052631578947368474|0|0|0,parent-copy,false,1.8700220999999999,2,1,1510,passed,
diagnostic_eager__V12_M2__eager_only__60s,3,2,2,2,3,0.35925203537748546,0.53887805306622816,0.44906504422185678,0.60648049114095948,5,0.35925203537748546,0.44906504422185678,0.60648049114095948,0.35925203537748546,0.20714183111071599,0.39032331004409287,0,0.5|0|0|0.13513513513513509|0.070175438596491224|0.09375|3.5|0|0.052631578947368474|0|0|0,6,0.44906504422185678,0.53887805306622816,0.60648049114095948,0.44906504422185678,0.20714183111071599,0.4801363188884642,0,0.5|0|0|0.13513513513513509|0.070175438596491224|0.09375|3.5|0|0.052631578947368474|0|0|0,parent-copy,false,1.9253442999999999,3,2,2032,passed,
diagnostic_eager__V12_M2__eager_only__60s,5,3,3,3,4,0.35925203537748546,0.44906504422185678,0.40415853979967109,0.61732313578808129,7,0.35925203537748546,0.40415853979967109,0.61732313578808129,0.35925203537748546,0.20714183111071599,0.39032331004409287,0,0.5|0|0|0.13513513513513509|0.070175438596491224|0.09375|3.5|0|0.052631578947368474|0|0|0,8,0.40415853979967109,0.44906504422185678,0.61732313578808129,0.40415853979967109,0.20714183111071599,0.43522981446627851,0,0.5|0|0|0.13513513513513509|0.070175438596491224|0.09375|3.5|0|0.052631578947368474|0|0|0,parent-copy,false,2.0538897999999999,5,2,2874,passed,
diagnostic_eager__V12_M2__eager_only__60s,6,3,3,3,4,0.44906504422185678,0.53887805306622816,0.49397154864404247,0.66147483884012825,9,0.44906504422185678,0.49397154864404247,0.66147483884012825,0.44906504422185678,0.20714183111071599,0.4801363188884642,0,0.5|0|0|0.13513513513513509|0.070175438596491224|0.09375|3.5|0|0.052631578947368474|0|0|0,10,0.49397154864404247,0.53887805306622816,0.66147483884012825,0.49397154864404247,0.20714183111071599,0.52504282331064989,0,0.5|0|0|0.13513513513513509|0.070175438596491224|0.09375|3.5|0|0.052631578947368474|0|0|0,parent-copy,false,2.1302311,6,3,3481,passed,
diagnostic_eager__V12_M2__eager_only__60s,8,5,4,4,5,0.40415853979967109,0.44906504422185678,0.42661179201076393,0.63956469844194008,11,0.40415853979967109,0.42661179201076393,0.63956469844194008,0.40415853979967109,0.20714183111071599,0.43522981446627851,0,0.5|0|0|0.13513513513513509|0.070175438596491224|0.09375|3.5|0|0.052631578947368474|0|0|0,12,0.42661179201076393,0.44906504422185678,0.63956469844194008,0.42661179201076393,0.20714183111071599,0.45768306667737135,0,0.5|0|0|0.13513513513513509|0.070175438596491224|0.09375|3.5|0|0.052631578947368474|0|0|0,parent-copy,false,2.2250331000000001,8,3,4254,passed,
diagnostic_eager__V12_M2__eager_only__60s,11,8,5,5,6,0.40415853979967109,0.42661179201076393,0.41538516590521751,0.64480258888837472,13,0.40415853979967109,0.41538516590521751,0.64480258888837472,0.40415853979967109,0.20714183111071599,0.43522981446627851,0,0.5|0|0|0.13513513513513509|0.070175438596491224|0.09375|3.5|0|0.052631578947368474|0|0|0,14,0.41538516590521751,0.42661179201076393,0.64480258888837472,0.41538516590521751,0.20714183111071599,0.44645644057182493,0,0.5|0|0|0.13513513513513509|0.070175438596491224|0.09375|3.5|0|0.052631578947368474|0|0|0,parent-copy,false,2.2585267999999998,9,4,4486,passed,
diagnostic_eager__V12_M2__eager_only__60s,12,8,5,5,6,0.42661179201076393,0.44906504422185678,0.43783841811631036,0.65086138920217651,15,0.42661179201076393,0.43783841811631036,0.65086138920217651,0.42661179201076393,0.20714183111071599,0.45768306667737135,0,0.5|0|0|0.13513513513513509|0.070175438596491224|0.09375|3.5|0|0.052631578947368474|0|0|0,16,0.43783841811631036,0.44906504422185678,0.65086138920217651,0.43783841811631036,0.20714183111071599,0.46890969278291778,0,0.5|0|0|0.13513513513513509|0.070175438596491224|0.09375|3.5|0|0.052631578947368474|0|0|0,parent-copy,false,2.2882254999999998,10,5,4634,passed,
diagnostic_eager__V12_M2__eager_only__60s,14,11,6,6,7,0.41538516590521751,0.42661179201076393,0.4209984789579907,0.64905246638473046,17,0.41538516590521751,0.4209984789579907,0.64905246638473046,0.41538516590521751,0.20714183111071599,0.44645644057182493,0,0.5|0|0|0.13513513513513509|0.070175438596491224|0.09375|3.5|0|0.052631578947368474|0|0|0,18,0.4209984789579907,0.42661179201076393,0.64905246638473046,0.4209984789579907,0.20714183111071599,0.45206975362459811,0,0.5|0|0|0.13513513513513509|0.070175438596491224|0.09375|3.5|0|0.052631578947368474|0|0|0,parent-copy,false,2.4344313999999998,12,5,4850,passed,
diagnostic_eager__V12_M2__eager_only__60s,17,14,7,7,8,0.41538516590521751,0.4209984789579907,0.41819182243160413,0.65137144075797837,19,0.41538516590521751,0.41819182243160413,0.65137144075797837,0.41538516590521751,0.20714183111071599,0.44645644057182493,0,0.5|0|0|0.13513513513513509|0.070175438596491224|0.09375|3.5|0|0.052631578947368474|0|0|0,20,0.41819182243160413,0.4209984789579907,0.65137144075797837,0.41819182243160413,0.20714183111071599,0.44926309709821155,0,0.5|0|0|0.13513513513513509|0.070175438596491224|0.09375|3.5|0|0.052631578947368474|0|0|0,parent-copy,false,2.4588871000000001,13,6,4909,passed,
