"result_file","instance","run","status","objective","lower_bound","gap","runtime_seconds","incumbent_source","import_attempted","import_verified","import_objective"
"E:\codes\ExactEBRP\results\optimization_update_round3\raw\incumbent_import_v12_m1_existing.json","regen_candidate_V12_M1_average.txt","incumbent_import_v12_m1_existing","gcap_frontier_not_closed","0.493696053863","0.24097700893","0.511891968662","31.7814225","empty-route incumbent","True","False","0"
"E:\codes\ExactEBRP\results\optimization_update_round3\raw\incumbent_v12_m1_average_greedy.json","regen_candidate_V12_M1_average.txt","incumbent_v12_m1_average_greedy","gcap_frontier_not_closed","0.393080018005","0.20097840186","0.488708678504","15.5414096","BPC-owned greedy","False","False","0"
"E:\codes\ExactEBRP\results\optimization_update_round3\raw\incumbent_v12_m1_average_local.json","regen_candidate_V12_M1_average.txt","incumbent_v12_m1_average_local","gcap_frontier_not_closed","0.379830913219","0.194353849467","0.488314819298","15.0256352","BPC-owned local","False","False","0"
"E:\codes\ExactEBRP\results\optimization_update_round3\raw\incumbent_v12_m1_average_pool.json","regen_candidate_V12_M1_average.txt","incumbent_v12_m1_average_pool","gcap_frontier_not_closed","0.379830913219","0.194353849467","0.488314819298","15.1759298","BPC-owned pool","False","False","0"
"E:\codes\ExactEBRP\results\optimization_update_round3\raw\incumbent_v12_m1_average_portfolio.json","regen_candidate_V12_M1_average.txt","incumbent_v12_m1_average_portfolio","gcap_frontier_not_closed","0.379830913219","0.194353849467","0.488314819298","18.6305074","BPC-owned portfolio","False","False","0"
"E:\codes\ExactEBRP\results\optimization_update_round3\raw\incumbent_v12_m1_average_pricing.json","regen_candidate_V12_M1_average.txt","incumbent_v12_m1_average_pricing","gcap_frontier_not_closed","0.493696053863","0.23998843493","0.51389436263","19.1505309","empty-route incumbent","False","False","0"
"E:\codes\ExactEBRP\results\optimization_update_round3\raw\incumbent_v12_m1_average_strong.json","regen_candidate_V12_M1_average.txt","incumbent_v12_m1_average_strong","gcap_frontier_not_closed","0.379830913219","0.194353849467","0.488314819298","15.7803259","BPC-owned strong","False","False","0"
"E:\codes\ExactEBRP\results\optimization_update_round3\raw\incumbent_v12_m2_average_greedy.json","regen_candidate_V12_M2_average.txt","incumbent_v12_m2_average_greedy","gcap_frontier_not_closed","0.789342396801","0.60508156104","0.233435878407","23.1746642","BPC-owned greedy","False","False","0"
"E:\codes\ExactEBRP\results\optimization_update_round3\raw\incumbent_v12_m2_average_local.json","regen_candidate_V12_M2_average.txt","incumbent_v12_m2_average_local","gcap_frontier_not_closed","0.779342269192","0.60157936328","0.228093500044","22.7359645","BPC-owned local","False","False","0"
"E:\codes\ExactEBRP\results\optimization_update_round3\raw\incumbent_v12_m2_average_pool.json","regen_candidate_V12_M2_average.txt","incumbent_v12_m2_average_pool","gcap_frontier_not_closed","0.779342269192","0.60157936328","0.228093500044","22.4344081","BPC-owned pool","False","False","0"
"E:\codes\ExactEBRP\results\optimization_update_round3\raw\incumbent_v12_m2_average_portfolio.json","regen_candidate_V12_M2_average.txt","incumbent_v12_m2_average_portfolio","gcap_frontier_not_closed","0.779342269192","0.420742409263","0.460131413507","14.4464939","BPC-owned portfolio","False","False","0"
"E:\codes\ExactEBRP\results\optimization_update_round3\raw\incumbent_v12_m2_average_pricing.json","regen_candidate_V12_M2_average.txt","incumbent_v12_m2_average_pricing","gcap_frontier_not_closed","1.00011204319","0.3542027578","0.645836923762","15.1056071","BPC-owned pricing","False","False","0"
"E:\codes\ExactEBRP\results\optimization_update_round3\raw\incumbent_v12_m2_average_strong.json","regen_candidate_V12_M2_average.txt","incumbent_v12_m2_average_strong","gcap_frontier_not_closed","0.779342269192","0.60157936328","0.228093500044","22.4103128","BPC-owned strong","False","False","0"
"E:\codes\ExactEBRP\results\optimization_update_round3\raw\repro_v12_m1_portfolio_after_fix.json","regen_candidate_V12_M1_average.txt","repro_v12_m1_portfolio_after_fix","gcap_frontier_not_closed","0.375405784113","0.192141284914","0.48817707919","20.0911462","BPC-owned portfolio","False","False","0"
"E:\codes\ExactEBRP\results\optimization_update_round3\raw\repro_v12_m1_pricing_after_fix.json","regen_candidate_V12_M1_average.txt","repro_v12_m1_pricing_after_fix","gcap_frontier_not_closed","0.493696053863","0.24097700893","0.511891968662","21.8401885","empty-route incumbent","False","False","0"
