"instance","before_status","before_lb","before_ub","before_gap","before_runtime","before_columns","after_status","after_lb","after_ub","after_gap","after_runtime","after_columns","after_support_cuts","after_support_pruned_labels","after_range_scope","after_certified"
"v12_m1_average","gcap_frontier_not_closed","0.253220608813","0.379830913219","0.333333333333","28.527634","0","gcap_frontier_not_closed","0.25324660627","0.379830913219","0.333264888517","28.5903699","0","0","0","original_full_improving_range","False"
"v12_m2_average","gcap_frontier_not_closed","0.47197749577","0.779342269192","0.394389969045","23.442771","0","gcap_frontier_not_closed","0.47338164494","0.779342269192","0.392588258519","23.6799503","0","0","0","original_full_improving_range","False"
"v4_smoke","optimal","0","0","0","0.0004351","0","optimal","0","0","0","0.0004686","0","0","0","original_full_improving_range","True"
