"instance","variant","result_file","instance_name","method","status","objective","lower_bound","upper_bound","gap","runtime_seconds","wall_time_seconds","unresolved_intervals","invalid_bound_intervals","open_nodes","nodes","columns","pricing_calls","cuts_added","bound_time_seconds","route_mask_time_seconds","master_time_seconds","pricing_time_seconds","pricing_completed_exactly","pricing_blocked_by_duplicate_projection","pricing_best_reduced_cost_any","pricing_best_new_reduced_cost","pricing_duplicate_negative_projections","pricing_new_negative_projections","dominance_input_columns","dominance_kept_columns","dominance_removed_columns","projection_bound_prunes","projection_bound_best_value","domains_tightened_count","total_domain_width_before","total_domain_width_after","movement_domains_tightened_count","movement_domain_width_before","movement_domain_width_after","movement_unreachable_station_count","support_duration_cuts_generated","support_duration_pruned_labels","support_duration_pruned_columns","support_duration_max_subset_size","frontier_min_interval_lower_bound","frontier_lower_bound_source","frontier_bound_fathomed_interval_count","frontier_unprocessed_interval_count","frontier_relax_cache_hits","frontier_relax_cache_misses","frontier_relax_cache_partial_hits","frontier_relax_cache_recomputed","frontier_relax_cache_best_bound_reused","gini_max_possible","relevant_gini_upper_for_improvement","covered_gini_upper_bound","frontier_covers_all_improving_gini_values","frontier_range_certificate_scope","relaxation_lb_no_movement","relaxation_lb_with_movement","relaxation_lb_used","movement_audit_enabled","movement_audit_intervals","movement_audit_bound_improved_count","movement_audit_bound_worse_count","incumbent_source","incumbent_import_attempted","incumbent_import_verified","incumbent_import_objective","verifier_passed","certified_original_problem"
"v12_m1_average","current_full","E:\codes\ExactEBRP\results\optimization_update_round3\raw\ablation_v12_m1_average_current_full.json","regen_candidate_V12_M1_average.txt","gcap-frontier","gcap_frontier_not_closed","0.379830913219","0.253220608813","0.379830913219","0.333333333333","28.5692926","28.5692926","2","0","0","1403","0","0","0","28.5288009","28.5288009","0","0","True","False","0","0","0","0","0","0","0","0","0.126610304406","1","3215","3205","0","0","0","0","0","0","0","5","0.253220608813","gamma_floor","1","1","0","0","0","0","0","0.916666666667","0.379830913219","0.379830913219","True","original_full_improving_range","0.379830913219","0","0.379830913219","False","0","0","0","BPC-owned local","False","False","0","True","False"
"v12_m1_average","improved_full","E:\codes\ExactEBRP\results\optimization_update_round3\raw\ablation_v12_m1_average_improved_full.json","regen_candidate_V12_M1_average.txt","gcap-frontier","gcap_frontier_not_closed","0.379830913219","0.25324660627","0.379830913219","0.333264888517","28.5903699","28.5903699","2","0","0","1403","0","0","0","28.549062","28.549062","0","0","True","False","0","0","0","0","0","0","0","0","0.25765900167","0","2395","2395","55","3215","2395","0","0","0","0","5","0.25324660627","inventory_route_gini_relaxation","1","1","0","2","0","0","0","0.916666666667","0.379830913219","0.379830913219","True","original_full_improving_range","0","0.379830913219","0.379830913219","False","0","0","0","BPC-owned local","False","False","0","True","False"
"v12_m1_average","movement_only","E:\codes\ExactEBRP\results\optimization_update_round3\raw\ablation_v12_m1_average_movement_only.json","regen_candidate_V12_M1_average.txt","gcap-frontier","gcap_frontier_not_closed","0.379830913219","0.25324660627","0.379830913219","0.333264888517","28.6059747","28.6059747","2","0","0","1403","0","0","0","28.5653502","28.5653502","0","0","True","False","0","0","0","0","0","0","0","0","0.25765900167","0","2395","2395","55","3215","2395","0","0","0","0","5","0.25324660627","inventory_route_gini_relaxation","1","1","0","0","0","0","0","0.916666666667","0.379830913219","0.379830913219","True","original_full_improving_range","0","0.379830913219","0.379830913219","False","0","0","0","BPC-owned local","False","False","0","True","False"
"v12_m1_average","off","E:\codes\ExactEBRP\results\optimization_update_round3\raw\ablation_v12_m1_average_off.json","regen_candidate_V12_M1_average.txt","gcap-frontier","gcap_frontier_not_closed","0.379830913219","0.253220608813","0.379830913219","0.333333333333","28.527634","28.527634","2","0","0","1403","0","0","0","28.4880623","28.4880623","0","0","True","False","0","0","0","0","0","0","0","0","0","0","1286","1286","0","0","0","0","0","0","0","5","0.253220608813","gamma_floor","1","1","0","0","0","0","0","0.916666666667","0.379830913219","0.379830913219","True","original_full_improving_range","0.379830913219","0","0.379830913219","False","0","0","0","BPC-owned local","False","False","0","True","False"
"v12_m1_average","scheduling_cache_only","E:\codes\ExactEBRP\results\optimization_update_round3\raw\ablation_v12_m1_average_scheduling_cache_only.json","regen_candidate_V12_M1_average.txt","gcap-frontier","gcap_frontier_not_closed","0.379830913219","0.253220608813","0.379830913219","0.333333333333","28.6103959","28.6103959","2","0","0","1403","0","0","0","28.570203","28.570203","0","0","True","False","0","0","0","0","0","0","0","0","0.126610304406","1","3215","3205","0","0","0","0","0","0","0","5","0.253220608813","gamma_floor","1","1","0","2","0","0","0","0.916666666667","0.379830913219","0.379830913219","True","original_full_improving_range","0.379830913219","0","0.379830913219","False","0","0","0","BPC-owned local","False","False","0","True","False"
"v12_m2_average","current_full","E:\codes\ExactEBRP\results\optimization_update_round3\raw\ablation_v12_m2_average_current_full.json","regen_candidate_V12_M2_average.txt","gcap-frontier","gcap_frontier_not_closed","0.779342269192","0.47197749577","0.779342269192","0.394389969045","23.4116759","23.4116759","2","0","0","4680","0","0","0","23.3757998","23.3757998","0","0","True","False","0","0","0","0","0","0","0","0","0.259780756397","0","3280","3280","0","0","0","0","0","0","0","5","0.47197749577","inventory_route_gini_relaxation","1","1","0","0","0","0","0","0.916666666667","0.779342269192","0.779342269192","True","original_full_improving_range","0.779342269192","0","0.779342269192","False","0","0","0","BPC-owned local","False","False","0","True","False"
"v12_m2_average","improved_full","E:\codes\ExactEBRP\results\optimization_update_round3\raw\ablation_v12_m2_average_improved_full.json","regen_candidate_V12_M2_average.txt","gcap-frontier","gcap_frontier_not_closed","0.779342269192","0.47338164494","0.779342269192","0.392588258519","23.6799503","23.6799503","2","0","0","4680","0","0","0","23.6450718","23.6450718","0","0","True","False","0","0","0","0","0","0","0","0","0.550632787461","0","2360","2360","55","3280","2360","0","0","0","0","5","0.47338164494","inventory_route_gini_relaxation","1","1","0","2","0","0","0","0.916666666667","0.779342269192","0.779342269192","True","original_full_improving_range","0","0.779342269192","0.779342269192","False","0","0","0","BPC-owned local","False","False","0","True","False"
"v12_m2_average","movement_only","E:\codes\ExactEBRP\results\optimization_update_round3\raw\ablation_v12_m2_average_movement_only.json","regen_candidate_V12_M2_average.txt","gcap-frontier","gcap_frontier_not_closed","0.779342269192","0.47338164494","0.779342269192","0.392588258519","23.4181376","23.4181376","2","0","0","4680","0","0","0","23.3831327","23.3831327","0","0","True","False","0","0","0","0","0","0","0","0","0.550632787461","0","2360","2360","55","3280","2360","0","0","0","0","5","0.47338164494","inventory_route_gini_relaxation","1","1","0","0","0","0","0","0.916666666667","0.779342269192","0.779342269192","True","original_full_improving_range","0","0.779342269192","0.779342269192","False","0","0","0","BPC-owned local","False","False","0","True","False"
"v12_m2_average","off","E:\codes\ExactEBRP\results\optimization_update_round3\raw\ablation_v12_m2_average_off.json","regen_candidate_V12_M2_average.txt","gcap-frontier","gcap_frontier_not_closed","0.779342269192","0.47197749577","0.779342269192","0.394389969045","23.442771","23.442771","2","0","0","4680","0","0","0","23.4072733","23.4072733","0","0","True","False","0","0","0","0","0","0","0","0","0","0","1312","1312","0","0","0","0","0","0","0","5","0.47197749577","inventory_route_gini_relaxation","1","1","0","0","0","0","0","0.916666666667","0.779342269192","0.779342269192","True","original_full_improving_range","0.779342269192","0","0.779342269192","False","0","0","0","BPC-owned local","False","False","0","True","False"
"v12_m2_average","scheduling_cache_only","E:\codes\ExactEBRP\results\optimization_update_round3\raw\ablation_v12_m2_average_scheduling_cache_only.json","regen_candidate_V12_M2_average.txt","gcap-frontier","gcap_frontier_not_closed","0.779342269192","0.47197749577","0.779342269192","0.394389969045","23.4687415","23.4687415","2","0","0","4680","0","0","0","23.4331201","23.4331201","0","0","True","False","0","0","0","0","0","0","0","0","0.259780756397","0","3280","3280","0","0","0","0","0","0","0","5","0.47197749577","inventory_route_gini_relaxation","1","1","0","2","0","0","0","0.916666666667","0.779342269192","0.779342269192","True","original_full_improving_range","0.779342269192","0","0.779342269192","False","0","0","0","BPC-owned local","False","False","0","True","False"
