"result_file","instance","status","ledger_note"
"E:\codes\ExactEBRP\results\optimization_update_round3\raw\ablation_v12_m1_average_current_full.json","regen_candidate_V12_M1_average.txt","gcap_frontier_not_closed","frontier_interval_ledger: interval_id=0, range=[0,0.12661], status=bound_fathomed, interval_lb=0.379831, cheap_prepass_lb=0, cheap_sources=gamma_floor|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|inventory_route_gini_relaxation, complete_or_fathomed=true, open_nodes=0, pricing_closed=false"
"E:\codes\ExactEBRP\results\optimization_update_round3\raw\ablation_v12_m1_average_current_full.json","regen_candidate_V12_M1_average.txt","gcap_frontier_not_closed","frontier_interval_ledger: interval_id=1, range=[0.12661,0.253221], status=unresolved, interval_lb=0.254099, cheap_prepass_lb=0.12661, cheap_sources=gamma_floor|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|inventory_route_gini_relaxation, complete_or_fathomed=false, open_nodes=0, pricing_closed=false"
"E:\codes\ExactEBRP\results\optimization_update_round3\raw\ablation_v12_m1_average_current_full.json","regen_candidate_V12_M1_average.txt","gcap_frontier_not_closed","frontier_interval_ledger: interval_id=2, range=[0.253221,0.379831], status=unprocessed_relevant, interval_lb=0.253221, cheap_prepass_lb=0.253221, cheap_sources=gamma_floor|penalty_domain|projection_bound, lb_source=gamma_floor, lb_sources=gamma_floor, complete_or_fathomed=false, open_nodes=0, pricing_closed=false"
"E:\codes\ExactEBRP\results\optimization_update_round3\raw\ablation_v12_m1_average_improved_full.json","regen_candidate_V12_M1_average.txt","gcap_frontier_not_closed","frontier_interval_ledger: interval_id=0, range=[0,0.12661], status=bound_fathomed, interval_lb=0.379831, cheap_prepass_lb=0.00515451, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation, complete_or_fathomed=true, open_nodes=0, pricing_closed=false"
"E:\codes\ExactEBRP\results\optimization_update_round3\raw\ablation_v12_m1_average_improved_full.json","regen_candidate_V12_M1_average.txt","gcap_frontier_not_closed","frontier_interval_ledger: interval_id=1, range=[0.12661,0.253221], status=unresolved, interval_lb=0.253247, cheap_prepass_lb=0.131049, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation, complete_or_fathomed=false, open_nodes=0, pricing_closed=false"
"E:\codes\ExactEBRP\results\optimization_update_round3\raw\ablation_v12_m1_average_improved_full.json","regen_candidate_V12_M1_average.txt","gcap_frontier_not_closed","frontier_interval_ledger: interval_id=2, range=[0.253221,0.379831], status=unprocessed_relevant, interval_lb=0.257659, cheap_prepass_lb=0.257659, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=cheap_projection_bound, lb_sources=gamma_floor|cheap_projection_bound, complete_or_fathomed=false, open_nodes=0, pricing_closed=false"
"E:\codes\ExactEBRP\results\optimization_update_round3\raw\ablation_v12_m1_average_movement_only.json","regen_candidate_V12_M1_average.txt","gcap_frontier_not_closed","frontier_interval_ledger: interval_id=0, range=[0,0.12661], status=bound_fathomed, interval_lb=0.379831, cheap_prepass_lb=0.00515451, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation, complete_or_fathomed=true, open_nodes=0, pricing_closed=false"
"E:\codes\ExactEBRP\results\optimization_update_round3\raw\ablation_v12_m1_average_movement_only.json","regen_candidate_V12_M1_average.txt","gcap_frontier_not_closed","frontier_interval_ledger: interval_id=1, range=[0.12661,0.253221], status=unresolved, interval_lb=0.253247, cheap_prepass_lb=0.131049, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation, complete_or_fathomed=false, open_nodes=0, pricing_closed=false"
"E:\codes\ExactEBRP\results\optimization_update_round3\raw\ablation_v12_m1_average_movement_only.json","regen_candidate_V12_M1_average.txt","gcap_frontier_not_closed","frontier_interval_ledger: interval_id=2, range=[0.253221,0.379831], status=unprocessed_relevant, interval_lb=0.257659, cheap_prepass_lb=0.257659, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=cheap_projection_bound, lb_sources=gamma_floor|cheap_projection_bound, complete_or_fathomed=false, open_nodes=0, pricing_closed=false"
"E:\codes\ExactEBRP\results\optimization_update_round3\raw\ablation_v12_m1_average_off.json","regen_candidate_V12_M1_average.txt","gcap_frontier_not_closed","frontier_interval_ledger: interval_id=0, range=[0,0.12661], status=bound_fathomed, interval_lb=0.379831, cheap_prepass_lb=0, cheap_sources=gamma_floor, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|inventory_route_gini_relaxation, complete_or_fathomed=true, open_nodes=0, pricing_closed=false"
"E:\codes\ExactEBRP\results\optimization_update_round3\raw\ablation_v12_m1_average_off.json","regen_candidate_V12_M1_average.txt","gcap_frontier_not_closed","frontier_interval_ledger: interval_id=1, range=[0.12661,0.253221], status=unresolved, interval_lb=0.254099, cheap_prepass_lb=0, cheap_sources=gamma_floor, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|inventory_route_gini_relaxation, complete_or_fathomed=false, open_nodes=0, pricing_closed=false"
