parent_id,parent_lp_bound,left_id,left_lp_bound,left_infeasible,right_id,right_lp_bound,right_infeasible,post_split_bound,tolerance,decision
L2,1.72101,L2.0,1.72112,0,L2.1,0,1,1.72112,1e-07,"current_complete_child_infeasibility"
L2.0,1.72112,L2.0.0,0,1,L2.0.1,1.7603,0,1.7603,1e-07,"current_complete_child_infeasibility"
L2.0.1,1.7603,L2.0.1.0,1.7603,0,L2.0.1.1,1.78449,0,1.7603,1e-07,"current_child_gain_not_strict"
