phase,target,interval_id,pricing_calls,pricing_time_seconds,pricing_engine,final_pricing_engine,labels_generated,dominance_prunes,negative_columns_found,columns_inserted,best_reduced_cost,remaining_negative_rc,closure_status
before_improvements,high_imbalance_seed3202,9,1,119.6948064,exact-label,exact-label,100091,0,0,0,0.0700591864494,0,not_run
before_improvements,moderate_seed3301,2,1,119.6278061,exact-label,exact-label,149176,0,0,0,0.00295673902387,0,not_run
before_improvements,moderate_seed3301,3,1,119.6394938,exact-label,exact-label,148481,0,0,0,0.00093942885643,0,not_run
before_improvements,v12_m2,7,8,119.4877481,exact-label,exact-label,34412878,0,50,40,-0.00152880934693,0,not_run
after_improvements,moderate_seed3301,2,1,100.1289474,exact-label,exact-label,128363,0,0,0,0.00469307183545,0,not_run
after_improvements,v12_m2,7,6,115.3028227,exact-label,exact-label,24788691,0,60,52,0,0,not_run
