source,instance,method,algorithm_preset,classification,status,certified_original_problem,lower_bound,upper_bound,gap,intervals_closed_by_relaxation_count,intervals_closed_by_bpc_count,intervals_closed_by_oracle_count,intervals_unresolved_count,certificate_uses_interval_oracle,certificate_uses_bpc_tree,certificate_uses_relaxation_only,bpc_core_certificate_valid,exact_portfolio_certificate_valid,frontier_lower_bound_source,full_certificate_basis,full_certificate_rejection_reason
results\paper_core_realignment_round\bpc_leaf_validation\high_imbalance_seed3202\leaf_9.json,high_imbalance_seed3202.txt,gcap-tree,paper-gf-bpc-core,paper-gf-bpc-core,gcap_tree_not_closed,False,0.5046875,0,1,0,0,0,0,False,False,False,False,False,,,
results\paper_core_realignment_round\bpc_leaf_validation\moderate_seed3301\leaf_2.json,moderate_seed3301.txt,gcap-tree,paper-gf-bpc-core,paper-gf-bpc-core,gcap_tree_not_closed,False,0.0245762763324,0,1,0,0,0,0,False,False,False,False,False,,,
results\paper_core_realignment_round\bpc_leaf_validation\moderate_seed3301\leaf_3.json,moderate_seed3301.txt,gcap-tree,paper-gf-bpc-core,paper-gf-bpc-core,gcap_tree_not_closed,False,0.0368644144986,0,1,0,0,0,0,False,False,False,False,False,,,
results\paper_core_realignment_round\bpc_leaf_validation\v12_m2\leaf_7.json,regen_candidate_V12_M2_average.txt,gcap-tree,paper-gf-bpc-core,paper-gf-bpc-core,gcap_tree_not_closed,False,0.709078292041,0,1,0,0,0,0,False,False,False,False,False,,,
results\paper_core_realignment_round\bpc_leaf_validation_after\moderate_seed3301\leaf_2.json,moderate_seed3301.txt,gcap-tree,paper-gf-bpc-core,paper-gf-bpc-core,gcap_tree_not_closed,False,0.0245762763324,0,1,0,0,0,0,False,False,False,False,False,,,
results\paper_core_realignment_round\bpc_leaf_validation_after\v12_m2\leaf_7.json,regen_candidate_V12_M2_average.txt,gcap-tree,paper-gf-bpc-core,paper-gf-bpc-core,gcap_tree_not_closed,False,0.709078292041,0,1,0,0,0,0,False,False,False,False,False,,,
results\paper_core_realignment_round\certificate_basis_test.json,regen_candidate_V12_M2_average.txt,certificate-basis-test,custom,diagnostic,diagnostic_passed,False,0,1.00822320985,1,0,0,0,0,False,False,False,False,False,,not_certified,unresolved_intervals
results\paper_core_realignment_round\option_consistency_test.json,regen_candidate_V12_M2_average.txt,option-consistency-test,custom,diagnostic,diagnostic_complete,False,0,1.00822320985,1,0,0,0,0,False,False,False,False,False,,,
results\paper_core_realignment_round\raw\high_imbalance_seed3202_core.json,high_imbalance_seed3202.txt,gcap-frontier,paper-gf-bpc-core,paper-gf-bpc-core,gcap_frontier_not_closed,False,1.06421478404,1.74931345205,0.391638598107,6,0,0,1,False,False,False,False,False,adaptive_split_inherited_parent_lb,not_certified,unresolved_intervals
results\paper_core_realignment_round\raw\moderate_seed3301_core.json,moderate_seed3301.txt,gcap-frontier,paper-gf-bpc-core,paper-gf-bpc-core,gcap_frontier_not_closed,False,0.0122881381662,0.0491525526647,0.75,2,0,0,6,False,False,False,False,False,gamma_floor,not_certified,unresolved_intervals
results\paper_core_realignment_round\raw\tight_T_seed3101_core.json,tight_T_seed3101.txt,gcap-frontier,paper-gf-bpc-core,paper-gf-bpc-core,optimal,True,0.107252734134,0.107252734134,0,4,0,0,0,False,False,True,True,False,incumbent_cutoff,frontier_all_intervals_closed_or_fathomed,none
results\paper_core_realignment_round\raw\v100_m5_avg_core_10s.json,regen_V100_M5_average.txt,gcap-frontier,paper-gf-bpc-core,paper-gf-bpc-core,gcap_frontier_not_closed,False,0,4.23343551341,1,0,0,0,4,False,False,False,False,False,gamma_floor,not_certified,unresolved_intervals
results\paper_core_realignment_round\raw\v12_m1_core.json,regen_candidate_V12_M1_average.txt,gcap-frontier,paper-gf-bpc-core,paper-gf-bpc-core,gcap_frontier_not_closed,False,0.34856314104,0.357200583208,0.0241809296353,6,0,0,5,False,False,False,False,False,adaptive_split_inherited_inventory_route_gini_relaxation,not_certified,unresolved_intervals
results\paper_core_realignment_round\raw\v12_m2_core.json,regen_candidate_V12_M2_average.txt,gcap-frontier,paper-gf-bpc-core,paper-gf-bpc-core,gcap_frontier_not_closed,False,0.69879292929,0.718504070755,0.0274335835624,5,0,0,3,False,False,False,False,False,adaptive_split_inherited_inventory_route_gini_relaxation,not_certified,unresolved_intervals
results\paper_core_realignment_round\raw\v50_probe.json,regen_V50_M3_average.txt,gcap-frontier,paper-gf-bpc-core,paper-gf-bpc-core,gcap_frontier_not_closed,False,0,1.8452869066,1,0,0,0,4,False,False,False,False,False,gamma_floor,not_certified,unresolved_intervals
