leaf_id,attempt,time_limit_seconds,solver_runtime_seconds,work,nodes,simplex_iterations,barrier_iterations,cumulative_runtime,cumulative_work,cumulative_nodes,cumulative_simplex_iterations,cumulative_barrier_iterations,optimize_return_code
L0,0,30,30.005,55.0359,13,82234,0,30.005,55.0359,13,82234,0,0
L1,0,30,30,62.2051,9,97042,0,30,62.2051,9,97042,0,0
L2,0,30,30.002,62.3501,34,107797,0,30.002,62.3501,34,107797,0,0
L3,0,30,0.568,1.24215,1,5456,0,0.568,1.24215,1,5456,0,0
L0,1,60,60.008,103.989,539,244837,0,90.013,159.024,552,327071,0,0
L1,1,60,60.018,119.704,538,332369,0,90.018,181.91,547,429411,0,0
L1.0,0,30,30.006,54.3651,8,80652,0,30.006,54.3651,8,80652,0,0
L1.1,0,27.0871,27.092,51.539,7,71715,0,27.092,51.539,7,71715,0,0
