event,source,generation,source_elapsed_seconds,content_sha256,duplicate,verifier_passed,published,objective,verification_seconds,reason
0,decoded_descent_verified_improvement,0,0.0050572999999999998,080a9dadb3a35cce3e0a541922ae9103a6266b934a529377e1757e08a40809d4,0,1,1,0.52501830302676455,5.2000000000000002e-06,published_monotone_verified_upper_bound
1,decoded_descent_verified_improvement,0,0.0064085000000000001,cd8574f84e07e0b33977607abde58e8e2bf74bab64834de906653fea5f539b7c,0,1,1,0.48827454510175827,3.1e-06,published_monotone_verified_upper_bound
2,decoded_descent_verified_improvement,0,0.010020599999999999,b96cfb4a3be74ddb8daeb6d47e9202f04d10ee9ebf50410a05b2e33747bc640e,0,1,1,0.24967058668618136,3.1999999999999999e-06,published_monotone_verified_upper_bound
3,decoded_descent_verified_improvement,0,0.4479747,dee4629878bcd5391d0f45979ed12d1c6925a501a3c86173b95eb493b263f1fd,0,1,1,0.18706622279266091,8.4999999999999999e-06,published_monotone_verified_upper_bound
4,decoded_descent_verified_improvement,0,0.47536509999999998,9d88909114f5336392fba6d6920e8cadddf1e53205255231ec81fe83e9f045fd,0,1,1,0.17391162513402864,3.8e-06,published_monotone_verified_upper_bound
5,decoded_descent_verified_improvement,0,0.50296269999999998,818d2afdf94b671c3dc02ef57f72b57a2298570047c9b51b96294b74c5ca7ba7,0,1,1,0.16186387291066595,5.9000000000000003e-06,published_monotone_verified_upper_bound
6,decoded_descent_verified_improvement,0,0.53090040000000005,519c0f68984f08443f51558c964a49e0607537e19ee15243de9c66bb8be6438a,0,1,1,0.16093694300198955,3.9999999999999998e-06,published_monotone_verified_upper_bound
7,decoded_descent_verified_improvement,0,3.5836312000000001,2ada44195e0501604ce5873463213652754f7a13917a02018581b7a217f9b19c,0,1,1,0.16002728060440277,6.4999999999999996e-06,published_monotone_verified_upper_bound
