leaf_id,parent_id,child_index,depth,gamma_L,gamma_U,base_lower_bound,current_lower_bound,cutoff,status,lp_complete,lp_optimal,lp_infeasible,lp_bound,lp_native_status,terminal_mip_started,terminal_native_status,closure_source,model_sha256,row_signature,parent_child_coverage_valid,parent_replaced,lower_bound_sources
R.1.0.0.0.0.1.0.0,"R.1.0.0.0.0.1.0",0,8,0.48984374999999997,0.49355468749999998,1.6052645138830828,1.6095710896791204,1.7493134520506337,replaced,1,1,0,1.6095710896791204,"OPTIMAL",0,"not_run","",60c24ec1cf39236b8819deaa2124fd9cda27ed49521a2f45306e32827777dbe7,60c24ec1cf39236b8819deaa2124fd9cda27ed49521a2f45306e32827777dbe7,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.1.0.0.0.0.1.0.1,"R.1.0.0.0.0.1.0",1,8,0.49355468749999998,0.49726562499999993,1.6052645138830828,1.6066755234641796,1.7493134520506337,replaced,1,1,0,1.6066755234641796,"OPTIMAL",0,"not_run","",36efd48296746c520270fd1a44eab21c07c558c5ab2b97b4ba6898365500390f,36efd48296746c520270fd1a44eab21c07c558c5ab2b97b4ba6898365500390f,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.1.0.0.0.0.1.1.0,"R.1.0.0.0.0.1.1",0,8,0.49726562499999993,0.5009765625,1.604640321622391,1.6060889023454168,1.7493134520506337,replaced,1,1,0,1.6060889023454168,"OPTIMAL",0,"not_run","",57d8aea1fa57e0e360e0dfaeace26f979d04f7699f20c20c63b08dea15b6f99d,57d8aea1fa57e0e360e0dfaeace26f979d04f7699f20c20c63b08dea15b6f99d,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.1.0.0.0.0.1.1.1,"R.1.0.0.0.0.1.1",1,8,0.5009765625,0.50468749999999996,1.604640321622391,1.6062266980346787,1.7493134520506337,replaced,1,1,0,1.6062266980346787,"OPTIMAL",0,"not_run","",675e1bb85f6609760b4b42e36a2eb2e91849d61308ed51fc1633e53633335804,675e1bb85f6609760b4b42e36a2eb2e91849d61308ed51fc1633e53633335804,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.1.0.0.0.1.0.0,"R.1.0.0.0.1.0",0,7,0.50468749999999996,0.51210937499999998,1.6047725119499496,1.6060222982064527,1.7493134520506337,replaced,1,1,0,1.6060222982064527,"OPTIMAL",0,"not_run","",623307d769967f8de040cbe8095c20ded8bca45e9f268349ad47c375a3610316,623307d769967f8de040cbe8095c20ded8bca45e9f268349ad47c375a3610316,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.1.0.0.0.1.0.1,"R.1.0.0.0.1.0",1,7,0.51210937499999998,0.51953125,1.6047725119499496,1.6086620005826766,1.7493134520506337,replaced,1,1,0,1.6086620005826766,"OPTIMAL",0,"not_run","",c3c1c4950ef800ef46d255bceb1ba51dcfd19a9461e0fa8fe1a1a36a83af78be,c3c1c4950ef800ef46d255bceb1ba51dcfd19a9461e0fa8fe1a1a36a83af78be,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.1.0.0.0.1.1.0,"R.1.0.0.0.1.1",0,7,0.51953125,0.52695312500000002,1.6133047838478822,1.6133047838478822,1.7493134520506337,open,0,0,0,0,"not_run",0,"not_run","",,,1,0,"inherited_complete_parent_lp_bound"
R.1.0.0.0.1.1.1,"R.1.0.0.0.1.1",1,7,0.52695312500000002,0.53437500000000004,1.6133047838478822,1.6133047838478822,1.7493134520506337,open,0,0,0,0,"not_run",0,"not_run","",,,1,0,"inherited_complete_parent_lp_bound"
R.1.0.0.0.0.1.1.1.0,"R.1.0.0.0.0.1.1.1",0,9,0.5009765625,0.50283203124999998,1.6062266980346787,1.6068010962824839,1.7493134520506337,replaced,1,1,0,1.6068010962824839,"OPTIMAL",0,"not_run","",20e3460acf02026e1b690cfccc6afaefb98adac7b0347d72c65ba95ea1b10bcb,20e3460acf02026e1b690cfccc6afaefb98adac7b0347d72c65ba95ea1b10bcb,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.1.0.0.0.0.1.1.1.1,"R.1.0.0.0.0.1.1.1",1,9,0.50283203124999998,0.50468749999999996,1.6062266980346787,1.6070177217388411,1.7493134520506337,replaced,1,1,0,1.6070177217388411,"OPTIMAL",0,"not_run","",f21fae42b99a321dbbea59c59600e928f3f1706c1b5dbd23131c23e337b6f4b2,f21fae42b99a321dbbea59c59600e928f3f1706c1b5dbd23131c23e337b6f4b2,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.1.0.0.0.0.1.1.0.0,"R.1.0.0.0.0.1.1.0",0,9,0.49726562499999993,0.49912109374999997,1.6060889023454168,1.6070397970352857,1.7493134520506337,replaced,1,1,0,1.6070397970352857,"OPTIMAL",0,"not_run","",7c68533da42ed9ef84d27b302a16a5cd795df2cbf7c2f1bc1f44aeb2388d7b2f,7c68533da42ed9ef84d27b302a16a5cd795df2cbf7c2f1bc1f44aeb2388d7b2f,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.1.0.0.0.0.1.1.0.1,"R.1.0.0.0.0.1.1.0",1,9,0.49912109374999997,0.5009765625,1.6060889023454168,1.6068359367343792,1.7493134520506337,replaced,1,1,0,1.6068359367343792,"OPTIMAL",0,"not_run","",1db1a24ab6f9eb27bb8c353988681b1bea8251925a08eda214a915eb4da472b3,1db1a24ab6f9eb27bb8c353988681b1bea8251925a08eda214a915eb4da472b3,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.1.0.0.0.1.0.0.0,"R.1.0.0.0.1.0.0",0,8,0.50468749999999996,0.50839843749999991,1.6060222982064527,1.6068375058724056,1.7493134520506337,replaced,1,1,0,1.6068375058724056,"OPTIMAL",0,"not_run","",f328ca740c3e60f58cc1d2de8a787cfd804b7195abfefd3dc0ee13f133e5d064,f328ca740c3e60f58cc1d2de8a787cfd804b7195abfefd3dc0ee13f133e5d064,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.1.0.0.0.1.0.0.1,"R.1.0.0.0.1.0.0",1,8,0.50839843749999991,0.51210937499999998,1.6060222982064527,1.6076613435940124,1.7493134520506337,replaced,1,1,0,1.6076613435940124,"OPTIMAL",0,"not_run","",f406689af8329fa89c1d06addb313caf8be46eda80f9152274d284d499a54e6c,f406689af8329fa89c1d06addb313caf8be46eda80f9152274d284d499a54e6c,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
