vehicle,route_sequence_position,predecessor,station,successor,pickup,drop,load_before,load_after,travel_time_from_predecessor,operation_time,station_inventory_after
0,1,0,13,49,5,0,0,5,513.3991714059412,300.0,11
0,2,13,49,23,3,0,5,8,443.2404186947338,180.0,11
0,3,49,23,5,0,7,8,1,190.02551118212827,420.0,13
0,4,23,5,33,5,0,1,6,334.99688716622245,300.0,8
0,5,5,33,0,0,6,6,0,283.1976827226212,360.0,7
1,1,0,46,22,14,0,0,14,922.1980484456994,840.0,24
1,2,46,22,0,0,14,14,0,195.5564407403201,840.0,25
2,1,0,35,43,13,0,0,13,876.0874635071685,780.0,29
2,2,35,43,0,0,13,13,0,863.2232232041015,780.0,26
3,1,0,36,6,9,0,0,9,402.49458341694253,540.0,18
3,2,36,6,47,2,0,9,11,238.5416332122372,120.0,20
3,3,6,47,14,0,6,11,5,306.5489775687481,360.0,7
3,4,47,14,18,5,0,5,10,191.4211456808695,300.0,18
3,5,14,18,0,0,10,10,0,404.5207175849191,600.0,16
