artifact_role,requested_path,retained_path,exists,gzip_appended,multipart,part_index,part_count,size_bytes,sha256,complete_retained_sha256,reconstruction
root_model,results/gf_global_gini_tree_strict_flow_round/runs/stage3__moderate_seed3302__f0__1800s/global_root.lp,results/gf_global_gini_tree_strict_flow_round/runs/stage3__moderate_seed3302__f0__1800s/global_root.lp.gz,True,True,False,1,1,240965,61a4f70269da68b7fd6191c69571aeca4ebc7dc92dbfe485b4ac4ad59ea8fd83,61a4f70269da68b7fd6191c69571aeca4ebc7dc92dbfe485b4ac4ad59ea8fd83,none
node_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage3__moderate_seed3302__f0__1800s/global_node_trace.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage3__moderate_seed3302__f0__1800s/global_node_trace.csv.gz,True,True,False,1,1,8192050,d9276b86786d6955199b4d3d70c156ce22527ba01e100b61ccbec58f429c00d6,d9276b86786d6955199b4d3d70c156ce22527ba01e100b61ccbec58f429c00d6,none
bound_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage3__moderate_seed3302__f0__1800s/global_bound_trajectory.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage3__moderate_seed3302__f0__1800s/global_bound_trajectory.csv,True,False,False,1,1,722,d89b924e27b5c5751b20fe9abbde5bedc850f306e49b63203aec81728e54d9f4,d89b924e27b5c5751b20fe9abbde5bedc850f306e49b63203aec81728e54d9f4,none
row_delta_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage3__moderate_seed3302__f0__1800s/row_delta.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage3__moderate_seed3302__f0__1800s/row_delta.csv,True,False,False,1,1,294433,d3814fb61d62e3cc1feffd612512a3353a19195976ffcdd4c07acc551db820d8,d3814fb61d62e3cc1feffd612512a3353a19195976ffcdd4c07acc551db820d8,none
post_row_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage3__moderate_seed3302__f0__1800s/post_local_row_trace.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage3__moderate_seed3302__f0__1800s/post_local_row_trace.csv,True,False,False,1,1,92215,b1aa7ee507fefc5559172706bf28aabc46f93ae3f963d1467ad67e4c48cb5103,b1aa7ee507fefc5559172706bf28aabc46f93ae3f963d1467ad67e4c48cb5103,none
topology_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage3__moderate_seed3302__f0__1800s/gini_topology.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage3__moderate_seed3302__f0__1800s/gini_topology.csv,True,False,False,1,1,75506,b0c7f508cfb9c15d4f5d0e42218c0ef7e45c8999c128241568b54726ce72a0f1,b0c7f508cfb9c15d4f5d0e42218c0ef7e45c8999c128241568b54726ce72a0f1,none
sibling_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage3__moderate_seed3302__f0__1800s/sibling_delay.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage3__moderate_seed3302__f0__1800s/sibling_delay.csv,True,False,False,1,1,44111,2e68ff42c6b556f4b5d3f2c6b9c6c7daed37d1ee8279887e074d33e5d94aa4ee,2e68ff42c6b556f4b5d3f2c6b9c6c7daed37d1ee8279887e074d33e5d94aa4ee,none
tree_memory_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage3__moderate_seed3302__f0__1800s/tree_memory.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage3__moderate_seed3302__f0__1800s/tree_memory.csv,True,False,False,1,1,612,4646f04ecc5774124cd8f5ad8d232938582c0e4fe9cac838bf08679e3f2eea71,4646f04ecc5774124cd8f5ad8d232938582c0e4fe9cac838bf08679e3f2eea71,none
mip_start_audit,results/gf_global_gini_tree_strict_flow_round/runs/stage3__moderate_seed3302__f0__1800s/mip_start_audit.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage3__moderate_seed3302__f0__1800s/mip_start_audit.csv,True,False,False,1,1,151,54b22a6fab8d11013380329fd655f6237da1ee912d7f53a56a08246328cebfa8,54b22a6fab8d11013380329fd655f6237da1ee912d7f53a56a08246328cebfa8,none
progress_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage3__moderate_seed3302__f0__1800s/progress.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage3__moderate_seed3302__f0__1800s/progress.csv,True,False,False,1,1,691,47cfcf5562bdd81546a7f176e8b1e097ed4410eb89a863e80ebbf53be0a9f914,47cfcf5562bdd81546a7f176e8b1e097ed4410eb89a863e80ebbf53be0a9f914,none
lifecycle_manifest,results/gf_global_gini_tree_strict_flow_round/runs/stage3__moderate_seed3302__f0__1800s/model_lifecycle_manifest.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage3__moderate_seed3302__f0__1800s/model_lifecycle_manifest.csv,True,False,False,1,1,3932,27e1799a6accecba5dca40e24e6186f4cef21850075a4ee76cca5f121be6094d,d28c221dbd8142c5a1e12f9ca7028064a17ad36a86787b27d5134cc29d287139,none
solver_result_pristine,results/gf_global_gini_tree_strict_flow_round/runs/stage3__moderate_seed3302__f0__1800s/solver_result_pristine.json,results/gf_global_gini_tree_strict_flow_round/runs/stage3__moderate_seed3302__f0__1800s/solver_result_pristine.json,True,False,False,1,1,72494,2507a5cbb6c756c20b7aebd53ff4371b843e928bd9fdf31d01d8a7ae824a0518,2507a5cbb6c756c20b7aebd53ff4371b843e928bd9fdf31d01d8a7ae824a0518,none
solver_log,results/gf_global_gini_tree_strict_flow_round/logs/stage3__moderate_seed3302__f0__1800s.log,results/gf_global_gini_tree_strict_flow_round/logs/stage3__moderate_seed3302__f0__1800s.log,True,False,False,1,1,197370,5e668c25980f45aa32885aa505dd5f0d09af7d6aad3dcee44e5e65c2ea88828c,5e668c25980f45aa32885aa505dd5f0d09af7d6aad3dcee44e5e65c2ea88828c,none
checkpoint_metrics,results/gf_global_gini_tree_strict_flow_round/runs/stage3__moderate_seed3302__f0__1800s/checkpoint_metrics.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage3__moderate_seed3302__f0__1800s/checkpoint_metrics.csv,True,False,False,1,1,1879,60354415934211c2892abd0ed6d6076a833fbab3dc3cc15e607093c31836fa16,60354415934211c2892abd0ed6d6076a833fbab3dc3cc15e607093c31836fa16,none
