interval_id,call_index,vehicle,depth,labels_generated,labels_kept,labels_expanded,pruned_duration,pruned_load,pruned_station,pruned_support,pruned_reduced_cost,pruned_dominance,duplicate_states,operation_states_generated,operation_states_pruned,columns_generated,negative_columns_found,best_reduced_cost
2,0,aggregate,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0.00299079892788
2,0,aggregate,2,1,0,1,0,0,0,0,0,0,0,12,0,1,0,0.00289622821079
2,0,aggregate,3,1,0,1,0,0,0,0,0,0,0,32,54,1,1,-0.0431597110106
2,0,aggregate,4,1,0,1,0,0,0,0,0,0,0,160,54,1,1,-0.0329390222398
2,0,aggregate,5,1,0,1,0,0,0,0,0,0,0,188,54,1,1,-0.0253235908112
2,0,aggregate,6,3,0,3,0,0,0,0,0,0,0,504,127,3,3,-0.0225561529849
2,0,aggregate,7,42,0,42,0,0,0,0,0,0,0,4821,1001,42,42,-0.0261033675803
2,0,aggregate,8,531,0,531,13,0,0,0,0,0,0,32200,5873,289,282,-0.0267653625999
2,0,aggregate,9,4758,0,4758,1607,0,0,0,0,0,0,150249,25229,940,940,-0.0262428633902
2,0,aggregate,10,29401,0,29401,22929,0,0,0,0,0,0,498215,79491,2534,2508,-0.0231229802127
2,0,aggregate,11,127711,0,127711,166298,0,0,0,0,0,0,1205584,184230,2430,2430,-0.0155880782226
2,0,aggregate,12,384291,0,384291,765100,0,0,0,0,0,0,2162454,311816,2823,2808,-0.0148669765048
2,0,aggregate,13,800350,0,800350,2273973,0,0,0,0,0,0,2898828,373408,6,6,-0.0123890653222
2,0,aggregate,14,1211340,0,1211340,4391108,0,0,0,0,0,0,2792538,282273,0,0,
2,0,aggregate,15,1423742,0,1423742,5844298,0,0,0,0,0,0,1822596,107282,0,0,
2,0,aggregate,16,1318867,0,1318867,5799839,0,0,0,0,0,0,795327,9895,0,0,
2,0,aggregate,17,873046,0,873045,4402422,0,0,0,0,0,0,273888,1421,0,0,
2,0,aggregate,18,335992,0,335992,2283143,0,0,0,0,0,0,49116,102,0,0,
2,0,aggregate,19,57619,0,57619,614365,0,0,0,0,0,0,3384,3,0,0,
2,0,aggregate,20,2286,0,2286,55333,0,0,0,0,0,0,15,0,0,0,
