number,id,arm,tree_rows,roots,replaced,independently_recomputed_interval_union,initial_range_covers_G_le_verified_F
2,micro,DS,1,1,0,True,True
3,micro,DS-X,1,1,0,True,True
5,micro-zero,DS,17,1,8,True,True
6,micro-zero,DS-X,17,1,8,True,True
8,E7,DS,1,1,0,True,True
9,E7,DS-X,1,1,0,True,True
11,S12,DS,1,1,0,True,True
12,S12,DS-X,1,1,0,True,True
14,N12,DS,1,1,0,True,True
15,N12,DS-X,1,1,0,True,True
17,D7,DS,1,1,0,True,True
18,D7,DS-X,1,1,0,True,True
19,D7,K1-R,5,1,2,True,True
