number,id,arm,run_cap,checkpoint,conservative_overhead_shift,trace_event_count,trace_last_time,final_witness_backdated,certificate,verified_retained_UB,comparison_UB,LB,UB_scope,LB_scope,signed_gap,relative_gap,completed_wall,algorithm_reported_verified_UB,initial_witness_available_by,startup_full_route_sha256
16,D7,P-GRB,1200,300,0.017680900212326378,216,299.9191504002123,False,False,,0.37207443319279504,0.19433346213470226,Native incumbent telemetry; no complete intermediate vector retained,Original compact MIP callback bound,0.17774097105809278,0.47770272612629117,,,,
16,D7,P-GRB,1200,600,0.017680900212326378,531,599.8721922002123,False,False,,0.29048834490685244,0.19695492691463842,Native incumbent telemetry; no complete intermediate vector retained,Original compact MIP callback bound,0.09353341799221401,0.32198681851489186,,,,
16,D7,P-GRB,1200,1200,0.017680900212326378,1551,1197.0242357002123,False,False,0.27732086593398886,0.27732086593398886,0.1972864787145512,Completed run: independently checked final routes,Completed full original-problem bound,0.08003438721943765,0.2885985046595389,1197.0780000002123,,,
17,D7,DS,1200,300,0.0472354001713029,5,17.651679900171303,False,False,0.6945633798694336,0.6945633798694336,0.18593747661188215,Retained DS initial witness linked by full hash to verified event; conservative decoded_descent_complete timestamp,"Complete-frontier trace, or mathematical nonnegative bound before exact initialization",0.5086259032575515,0.7322958825631791,,0.6945633798694341,2.878023400171303,d4e0490b7ae4c8498011489968c9c85ceefabbd5057dd1977ea742d54e0863c2
17,D7,DS,1200,600,0.0472354001713029,5,17.651679900171303,False,False,0.6945633798694336,0.6945633798694336,0.18593747661188215,Retained DS initial witness linked by full hash to verified event; conservative decoded_descent_complete timestamp,"Complete-frontier trace, or mathematical nonnegative bound before exact initialization",0.5086259032575515,0.7322958825631791,,0.6945633798694341,2.878023400171303,d4e0490b7ae4c8498011489968c9c85ceefabbd5057dd1977ea742d54e0863c2
17,D7,DS,1200,1200,0.0472354001713029,48,1197.1031977001712,False,False,0.31895879908690944,0.31895879908690944,0.20407715858329653,Completed run: independently checked final routes,Completed full original-problem bound,0.11488164050361291,0.36017705368996616,1197.1090000001714,,,
18,D7,DS-X,1200,300,0.03196519970560985,16,296.81457899970565,False,False,0.5445105902163795,0.5445105902163795,0.20273464498517865,Retained DS initial witness linked by full hash to verified event; conservative decoded_descent_complete timestamp,"Complete-frontier trace, or mathematical nonnegative bound before exact initialization",0.3417759452312008,0.6276754784427327,,0.544510590216379,9.41483429970561,998b45d335de86ee9093d6ad1d9392bfaeabd531950d0d0110d8a6e25306a569
18,D7,DS-X,1200,600,0.03196519970560985,46,583.8017181997056,False,False,0.5445105902163795,0.5445105902163795,0.20382553171267762,Retained DS initial witness linked by full hash to verified event; conservative decoded_descent_complete timestamp,"Complete-frontier trace, or mathematical nonnegative bound before exact initialization",0.3406850585037019,0.6256720523439577,,0.544510590216379,9.41483429970561,998b45d335de86ee9093d6ad1d9392bfaeabd531950d0d0110d8a6e25306a569
18,D7,DS-X,1200,1200,0.03196519970560985,51,1197.1044392997055,False,False,0.2783352667791633,0.2783352667791633,0.20414629462573686,Completed run: independently checked final routes,Completed full original-problem bound,0.07418897215342646,0.26654535378116295,1197.1089999997057,,,
19,D7,K1-R,1200,300,0.03543420000005426,0,,False,False,0.21564407531579494,0.21564407531579494,0.0,Retained initial witness linked by full hash to its verified HGA event; conservative generation-completion timestamp,"Complete-frontier trace, or mathematical nonnegative bound before exact initialization",0.21564407531579494,1.0,,,175.2857439,356124388ee9c761491b4bf926abb98c21b41fdeff8f76b6e388b33af2287170
19,D7,K1-R,1200,600,0.03543420000005426,0,,False,False,0.21564407531579494,0.21564407531579494,0.0,Retained initial witness linked by full hash to its verified HGA event; conservative generation-completion timestamp,"Complete-frontier trace, or mathematical nonnegative bound before exact initialization",0.21564407531579494,1.0,,,175.2857439,356124388ee9c761491b4bf926abb98c21b41fdeff8f76b6e388b33af2287170
19,D7,K1-R,1200,1200,0.03543420000005426,46,1197.1050616,False,False,0.21564407531579505,0.21564407531579505,0.1973574792283258,Completed run: independently checked final routes,Completed full original-problem bound,0.018286596087469242,0.08479990030187406,1197.125,,,
20,D6,P-GRB,600,300,0.03703640004096087,1486,291.62805530004096,False,False,,0.15777481424266704,0.14376677030141793,Native incumbent telemetry; no complete intermediate vector retained,Original compact MIP callback bound,0.014008043941249104,0.08878504473916794,,,,
20,D6,P-GRB,600,600,0.03703640004096087,2483,596.930752200041,False,False,0.1572411758522922,0.1572411758522922,0.14498588325431813,Completed run: independently checked final routes,Completed full original-problem bound,0.01225529259797406,0.07793946166801963,597.094000000041,,,
21,D6,DS,600,300,0.030433199918093123,86,291.4113446999181,False,False,0.1600272806044027,0.1600272806044027,0.146938094795314,Retained DS initial witness linked by full hash to verified event; conservative decoded_descent_complete timestamp,"Complete-frontier trace, or mathematical nonnegative bound before exact initialization",0.013089185809088688,0.08179346521200946,,0.16002728060440277,5.542824499918093,2ada44195e0501604ce5873463213652754f7a13917a02018581b7a217f9b19c
21,D6,DS,600,600,0.030433199918093123,177,597.0561326999181,False,False,0.15708313110317415,0.15708313110317415,0.15007904223698956,Completed run: independently checked final routes,Completed full original-problem bound,0.007004088866184588,0.04458842153830137,597.061999999918,,,
22,D6,DS-X,600,300,0.030073799918000077,86,291.036133799918,False,False,0.1600272806044027,0.1600272806044027,0.146938094795314,Retained DS initial witness linked by full hash to verified event; conservative decoded_descent_complete timestamp,"Complete-frontier trace, or mathematical nonnegative bound before exact initialization",0.013089185809088688,0.08179346521200946,,0.16002728060440277,5.543181399918,2ada44195e0501604ce5873463213652754f7a13917a02018581b7a217f9b19c
22,D6,DS-X,600,600,0.030073799918000077,178,597.055178999918,False,False,0.15708313110317415,0.15708313110317415,0.15008706391847396,Completed run: independently checked final routes,Completed full original-problem bound,0.006996067184700194,0.044537355065230336,597.061999999918,,,
