number,id,arm,kind,paid_wall,startup_wall,initial_UB,startup_witness_scope,final_UB,global_LB,certificate,total_HGA_generations,uncached_decoder_calls,descent_complete,completed_seeds,descent_passes,descent_checks_including_cache_hits,cross_route_enabled,cross_route_neighbors,cross_route_checks,cross_route_moves,initial_route_sha256,result_sha256
1,micro,P-GRB,native-micro,0.04600000008940697,0,,Initial exact-phase witness when present,0.20833333333333331,0.20833333333333331,True,0,0,False,0,0,0,False,0,0,0,,7a42c05627935e997d63dca4a4b09f09a66999798246a0acb5a377aa0ecca32e
2,micro,DS,native-micro,0.04700000025331974,0.0009823,0.20833333333333331,Initial exact-phase witness when present,0.20833333333333331,0.20833333333333331,True,0,5,True,24,38,41,False,0,0,0,5c762d49d658325fad3a197761f4623c26cffa0d93b2300777fe0972b4b2238f,14bf30610dfdb8c5bf16082f6bd553570975933ce93c0c8e6b4bcf3af9964c07
3,micro,DS-X,native-micro,0.06199999991804361,0.0008938,0.20833333333333331,Initial exact-phase witness when present,0.20833333333333331,0.20833333333333331,True,0,5,True,24,38,41,True,0,0,0,5c762d49d658325fad3a197761f4623c26cffa0d93b2300777fe0972b4b2238f,a4c45789eadbf3d31affb98d6316edf80e0b98e75b2f909548cc3df08c5e6594
4,micro-zero,P-GRB,native-micro,0.04699999978765845,0,,Initial exact-phase witness when present,0.20833333333333331,0.20833333333333331,True,0,0,False,0,0,0,False,0,0,0,,cfb1ef0f750ae71e190f2db9adb46926032acaee8b0d096018a823b087d5e751
5,micro-zero,DS,native-micro,0.25,0.0009388,0.20833333333333331,Initial exact-phase witness when present,0.20833333333333331,0.20833333333333331,True,0,2,True,24,38,28,False,0,0,0,5c762d49d658325fad3a197761f4623c26cffa0d93b2300777fe0972b4b2238f,25b4b7a92423770d22583300668e9cba9c3c99c5f87642303726fca530b02bd8
6,micro-zero,DS-X,native-micro,0.25,0.0009445,0.20833333333333331,Initial exact-phase witness when present,0.20833333333333331,0.20833333333333331,True,0,2,True,24,38,28,True,0,0,0,5c762d49d658325fad3a197761f4623c26cffa0d93b2300777fe0972b4b2238f,a2eafbbd8bd1dfc118ae36abf79095b8fd7bd1f90ca6ae5580ac2e201f52055d
7,E7,P-GRB,performance,1.3130000000819564,0,,Initial exact-phase witness when present,0.020382503842219304,0.02038250384221927,True,0,0,False,0,0,0,False,0,0,0,,fecac70a17ee0bbb255c954cd4bb7b896a097b536bfc0fe0cca33e88da2c574b
8,E7,DS,performance,1.1720000002533197,0.0188023,0.020865507671712715,Initial exact-phase witness when present,0.020382503842219304,0.02038250384221927,True,0,110,True,24,48,92,False,0,0,0,8d8caefb3fd7748ea70355aa07d9c3c51d782a8ab1e6386b4bd2a2e3141bd364,51a8d5b75104ed41b2ee9b3163fe24f20ba559d6e5d012774b2cfe254a5c071a
9,E7,DS-X,performance,1.1719999997876585,0.0192498,0.020865507671712715,Initial exact-phase witness when present,0.020382503842219304,0.02038250384221927,True,0,111,True,24,50,92,True,4,2,2,8d8caefb3fd7748ea70355aa07d9c3c51d782a8ab1e6386b4bd2a2e3141bd364,83d09df837038bd785b44f9563b9422bdf7027fa792243694512504bba42ee09
10,S12,P-GRB,performance,5.139999999664724,0,,Initial exact-phase witness when present,0.05856397312578516,0.05856397312578512,True,0,0,False,0,0,0,False,0,0,0,,df2a209750a6961f8cad4eee728329e8bcbcada39a99bc5651abae93be38a39c
11,S12,DS,performance,2.155999999959022,0.3424821,0.10798673648880089,Initial exact-phase witness when present,0.05856397312578515,0.058563973125785096,True,0,247,True,24,92,224,False,0,0,0,488f35126637c9f0be9e3b90e6a5f77542dc42b2b11103776bba0ae0f2c26ee6,0d090a980f97e7d4b5c5acbf79134f2a27664c3bdc7022d7280e2bd015cb51df
12,S12,DS-X,performance,2.125,0.3460473,0.10798673648880089,Initial exact-phase witness when present,0.05856397312578515,0.058563973125785096,True,0,247,True,24,92,224,True,0,0,0,488f35126637c9f0be9e3b90e6a5f77542dc42b2b11103776bba0ae0f2c26ee6,a8ad365a2a9536b5a8a0f37db372020c9c953bea9c8abc9b126d34de11c9167b
13,N12,P-GRB,performance,3.8909999998286366,0,,Initial exact-phase witness when present,0.8046255197202796,0.8046255197202797,True,0,0,False,0,0,0,False,0,0,0,,32ac70dea4ceed9f52b933613f986a30fd555bb7fd44de00382446a2f5c725bd
14,N12,DS,performance,1.4369999999180436,0.0158641,0.9195880914082921,Initial exact-phase witness when present,0.8046255197202796,0.8046255197202777,True,0,181,True,24,65,186,False,0,0,0,d48f761cb6f95dc78b033e67067478674f1884d56fd835ff746f1a55de47a7c4,fad0fd0fce1b27dea16b2f1d4208904e5d7ad22a8dfcd8fe63736807c60be2b0
15,N12,DS-X,performance,1.4219999997876585,0.0162511,0.9195880914082921,Initial exact-phase witness when present,0.8046255197202796,0.8046255197202777,True,0,181,True,24,65,186,True,0,0,0,d48f761cb6f95dc78b033e67067478674f1884d56fd835ff746f1a55de47a7c4,c5aeec9b1b7ef91a4f03a011dc165608b7692dd6ca5d751fb934029b4b8679c8
