number,id,arm,stage,kind,input_sha256,V,M,Q,T,executable_sha256,cap,wall,internal_wall,certificate,status,UB,LB,signed_absolute_gap,relative_gap,gap_note,hga_seconds,exact_start,initial_objective,initial_route_signature,lp_calls,mip_calls,splits,failure,result_sha256,artifact_dir
1,micro,P-GRB,correctness,native-micro,8794991888f65387b21ae457635e32eed7a4072e837cf8e06b17f3c9751dcd16,3,1,3,5,4f60ed8cd6f65c695947e8ac3bd525b77d28d94733faf2c9ef25d057a69023af,30,0.04600000008940697,0.018876,True,optimal,0.20833333333333331,0.20833333333333331,0.0,0.0,within numerical tolerance,0,,,,0,1,0,False,7a42c05627935e997d63dca4a4b09f09a66999798246a0acb5a377aa0ecca32e,results\unified_exact_round71\local_raw\correctness\micro\P-GRB
2,micro,DS,correctness,native-micro,8794991888f65387b21ae457635e32eed7a4072e837cf8e06b17f3c9751dcd16,3,1,3,5,4f60ed8cd6f65c695947e8ac3bd525b77d28d94733faf2c9ef25d057a69023af,30,0.04700000025331974,0.0306646,True,optimal,0.20833333333333331,0.20833333333333331,0.0,0.0,within numerical tolerance,0.0009823,0.0039605,0.20833333333333331,bb85fcdc596864f9e3dff7ce5d4527670c50043e709097a3e2fad768f6137b42,1,0,0,False,14bf30610dfdb8c5bf16082f6bd553570975933ce93c0c8e6b4bcf3af9964c07,results\unified_exact_round71\local_raw\correctness\micro\DS
3,micro,DS-X,correctness,native-micro,8794991888f65387b21ae457635e32eed7a4072e837cf8e06b17f3c9751dcd16,3,1,3,5,4f60ed8cd6f65c695947e8ac3bd525b77d28d94733faf2c9ef25d057a69023af,30,0.06199999991804361,0.0290349,True,optimal,0.20833333333333331,0.20833333333333331,0.0,0.0,within numerical tolerance,0.0008938,0.0037374,0.20833333333333331,bb85fcdc596864f9e3dff7ce5d4527670c50043e709097a3e2fad768f6137b42,1,0,0,False,a4c45789eadbf3d31affb98d6316edf80e0b98e75b2f909548cc3df08c5e6594,results\unified_exact_round71\local_raw\correctness\micro\DS-X
4,micro-zero,P-GRB,correctness,native-micro,8794991888f65387b21ae457635e32eed7a4072e837cf8e06b17f3c9751dcd16,3,1,3,3,4f60ed8cd6f65c695947e8ac3bd525b77d28d94733faf2c9ef25d057a69023af,30,0.04699999978765845,0.0162282,True,optimal,0.20833333333333331,0.20833333333333331,0.0,0.0,within numerical tolerance,0,,,,0,1,0,False,cfb1ef0f750ae71e190f2db9adb46926032acaee8b0d096018a823b087d5e751,results\unified_exact_round71\local_raw\correctness\micro-zero\P-GRB
5,micro-zero,DS,correctness,native-micro,8794991888f65387b21ae457635e32eed7a4072e837cf8e06b17f3c9751dcd16,3,1,3,3,4f60ed8cd6f65c695947e8ac3bd525b77d28d94733faf2c9ef25d057a69023af,30,0.25,0.2294417,True,optimal,0.20833333333333331,0.20833333333333331,0.0,0.0,within numerical tolerance,0.0009388,0.0038176,0.20833333333333331,bb85fcdc596864f9e3dff7ce5d4527670c50043e709097a3e2fad768f6137b42,17,1,8,False,25b4b7a92423770d22583300668e9cba9c3c99c5f87642303726fca530b02bd8,results\unified_exact_round71\local_raw\correctness\micro-zero\DS
6,micro-zero,DS-X,correctness,native-micro,8794991888f65387b21ae457635e32eed7a4072e837cf8e06b17f3c9751dcd16,3,1,3,3,4f60ed8cd6f65c695947e8ac3bd525b77d28d94733faf2c9ef25d057a69023af,30,0.25,0.2213522,True,optimal,0.20833333333333331,0.20833333333333331,0.0,0.0,within numerical tolerance,0.0009445,0.0037339,0.20833333333333331,bb85fcdc596864f9e3dff7ce5d4527670c50043e709097a3e2fad768f6137b42,17,1,8,False,a2eafbbd8bd1dfc118ae36abf79095b8fd7bd1f90ca6ae5580ac2e201f52055d,results\unified_exact_round71\local_raw\correctness\micro-zero\DS-X
7,E7,P-GRB,development,performance,7171ea93b94f8e17cb61ecda9621d1bc1886cae3657dc8d11c967cd53e5189c2,12,2,30,3600,4f60ed8cd6f65c695947e8ac3bd525b77d28d94733faf2c9ef25d057a69023af,120,1.3130000000819564,1.2765521,True,optimal,0.020382503842219304,0.02038250384221927,3.469446951953614e-17,1.7021691637153893e-15,within numerical tolerance,0,,,,0,1,0,False,fecac70a17ee0bbb255c954cd4bb7b896a097b536bfc0fe0cca33e88da2c574b,results\unified_exact_round71\local_raw\development\E7\P-GRB
8,E7,DS,development,performance,7171ea93b94f8e17cb61ecda9621d1bc1886cae3657dc8d11c967cd53e5189c2,12,2,30,3600,4f60ed8cd6f65c695947e8ac3bd525b77d28d94733faf2c9ef25d057a69023af,120,1.1720000002533197,1.1423508,True,optimal,0.020382503842219304,0.02038250384221927,3.469446951953614e-17,1.7021691637153893e-15,within numerical tolerance,0.0188023,0.021669,0.020865507671712715,ac483ba9b4f1ffb14f9f7ad3a2edb67892d7edcfe5f04dedbec8c55a211cb17b,3,1,0,False,51a8d5b75104ed41b2ee9b3163fe24f20ba559d6e5d012774b2cfe254a5c071a,results\unified_exact_round71\local_raw\development\E7\DS
9,E7,DS-X,development,performance,7171ea93b94f8e17cb61ecda9621d1bc1886cae3657dc8d11c967cd53e5189c2,12,2,30,3600,4f60ed8cd6f65c695947e8ac3bd525b77d28d94733faf2c9ef25d057a69023af,120,1.1719999997876585,1.1400782,True,optimal,0.020382503842219304,0.02038250384221927,3.469446951953614e-17,1.7021691637153893e-15,within numerical tolerance,0.0192498,0.022127,0.020865507671712715,ac483ba9b4f1ffb14f9f7ad3a2edb67892d7edcfe5f04dedbec8c55a211cb17b,3,1,0,False,83d09df837038bd785b44f9563b9422bdf7027fa792243694512504bba42ee09,results\unified_exact_round71\local_raw\development\E7\DS-X
10,S12,P-GRB,development,performance,060ee6366b2277c8427675e1a1484de7db10d2ef82a64d4e2ffa6e4695b7b626,12,1,30,10800,4f60ed8cd6f65c695947e8ac3bd525b77d28d94733faf2c9ef25d057a69023af,120,5.139999999664724,5.1196461,True,optimal,0.05856397312578516,0.05856397312578512,4.163336342344337e-17,7.109040114819771e-16,within numerical tolerance,0,,,,0,1,0,False,df2a209750a6961f8cad4eee728329e8bcbcada39a99bc5651abae93be38a39c,results\unified_exact_round71\local_raw\development\S12\P-GRB
