id,cap,candidate_arm,candidate_number,reference_number,reference,candidate_certificate,reference_certificate,wall_delta,UB_delta,LB_delta,signed_gap_delta,paired_build,uniform_affinity_mask,same_paid_initial_routes,practical_classification,bound_tradeoff
E7,120,DS,8,7,P-GRB,True,True,-0.14099999982863665,0.0,0.0,0.0,True,4,,below_practical_threshold,aligned_or_unchanged
E7,120,DS-X,9,7,P-GRB,True,True,-0.14100000029429793,0.0,0.0,0.0,True,4,,below_practical_threshold,aligned_or_unchanged
E7,120,DS-X,9,8,DS,True,True,-4.656612873077393e-10,0.0,0.0,0.0,True,4,True,below_practical_threshold,aligned_or_unchanged
S12,120,DS,11,10,P-GRB,True,True,-2.983999999705702,-6.938893903907228e-18,-2.0816681711721685e-17,1.3877787807814457e-17,True,4,,material_improvement,aligned_or_unchanged
S12,120,DS-X,12,10,P-GRB,True,True,-3.014999999664724,-6.938893903907228e-18,-2.0816681711721685e-17,1.3877787807814457e-17,True,4,,material_improvement,aligned_or_unchanged
S12,120,DS-X,12,11,DS,True,True,-0.030999999959021807,0.0,0.0,0.0,True,4,True,below_practical_threshold,aligned_or_unchanged
N12,120,DS,14,13,P-GRB,True,True,-2.453999999910593,0.0,-1.9984014443252818e-15,1.9984014443252818e-15,True,4,,material_improvement,aligned_or_unchanged
N12,120,DS-X,15,13,P-GRB,True,True,-2.469000000040978,0.0,-1.9984014443252818e-15,1.9984014443252818e-15,True,4,,material_improvement,aligned_or_unchanged
N12,120,DS-X,15,14,DS,True,True,-0.01500000013038516,0.0,0.0,0.0,True,4,True,below_practical_threshold,aligned_or_unchanged
D7,1200,DS,17,16,P-GRB,False,False,0.030999999959021807,0.04163793315292058,0.00679067986874532,0.03484725328417526,True,4,,material_regression,mixed
D7,1200,DS,17,19,K1-R,False,False,-0.015999999828636646,0.10331472377111439,0.006719679354970726,0.09659504441614367,True,4,False,severe_regression,mixed
D7,1200,DS-X,18,16,P-GRB,False,False,0.03099999949336052,0.0010144008451744568,0.006859815911185646,-0.005845415066011189,True,4,,below_practical_threshold,mixed
D7,1200,DS-X,18,17,DS,False,False,-4.656612873077393e-10,-0.040623532307746124,6.913604244032645e-05,-0.04069266835018645,True,4,False,material_improvement,aligned_or_unchanged
D7,1200,DS-X,18,19,K1-R,False,False,-0.016000000294297934,0.06269119146336827,0.006788815397411052,0.055902376065957216,True,4,False,severe_regression,mixed
D6,600,DS,21,20,P-GRB,False,False,-0.03200000012293458,-0.00015804474911804145,0.005093158982671431,-0.005251203731789472,True,4,,material_improvement,aligned_or_unchanged
D6,600,DS-X,22,20,P-GRB,False,False,-0.03200000012293458,-0.00015804474911804145,0.005101180664155824,-0.005259225413273866,True,4,,material_improvement,aligned_or_unchanged
D6,600,DS-X,22,21,DS,False,False,0.0,0.0,8.021681484393639e-06,-8.021681484393639e-06,True,4,True,below_practical_threshold,aligned_or_unchanged
