vehicle,route_sequence_position,predecessor,station,successor,pickup,drop,load_before,load_after,travel_time_from_predecessor,operation_time,station_inventory_after
0,1,0,11,5,3,0,0,3,343.5605196755078,180.0,10
0,2,11,5,14,5,0,3,8,259.23538307193843,300.0,13
0,3,5,14,8,0,4,8,4,573.7114233263654,240.0,10
0,4,14,8,10,0,4,4,0,176.01871576491064,240.0,13
0,5,8,10,7,3,0,0,3,536.1189293933429,180.0,11
0,6,10,7,0,0,3,3,0,99.35744552958937,180.0,9
1,1,0,20,12,7,0,0,7,449.9474803406515,420.0,20
1,2,20,12,16,3,0,7,10,253.47346135486478,180.0,9
1,3,12,16,17,0,5,10,5,709.4012799557698,300.0,13
1,4,16,17,9,6,0,5,11,176.24951880922345,360.0,17
1,5,17,9,13,0,8,11,3,663.2957598988793,480.0,19
1,6,9,13,6,4,0,3,7,423.36812141886526,240.0,11
1,7,13,6,0,0,7,7,0,472.1951711334171,420.0,18
2,1,0,2,18,4,0,0,4,136.80536559293034,240.0,16
2,2,2,18,15,0,3,4,1,429.1701974766815,180.0,9
2,3,18,15,19,4,0,1,5,755.3257151510198,240.0,12
2,4,15,19,3,0,3,5,2,157.12765824299007,180.0,10
2,5,19,3,1,5,0,2,7,563.874445493987,300.0,13
2,6,3,1,4,0,3,7,4,171.29783197719874,180.0,8
2,7,1,4,0,0,4,4,0,194.01796531015933,240.0,10
