"variant","non_elementary_relaxed_columns_validated","non_elementary_relaxed_columns_inserted","non_elementary_relaxed_columns_rejected","relaxed_columns_generated","relaxed_projection_rejected_load","relaxed_projection_rejected_station_capacity","relaxed_projection_rejected_branch","relaxed_projection_rejected_operation_mode"
"v4_gcap-frontier","178","38","1634","225",,,,
"v4_frontier-relaxed-rmp-cg-test","178","38","1634","225",,,,
"v12_m2_focus_exact_300s","0","0","0","0",,,,
"v12_m2_focus_relaxed_cg_300s","35","2","97","39",,,,
"v12_m2_full_exact_300s","0","0","0","0",,,,
"v12_m2_full_relaxed_cg_300s","111","2","285","123",,,,
"v12_m1_full_exact_300s","0","0","0","0",,,,
"v12_m1_full_relaxed_cg_300s","9","8","20","17",,,,
"v20_relaxed_cg_300s","16","16","240","32",,,,
"v50_relaxed_cg_300s","972","0","4644","972",,,,
"v100_relaxed_cg_300s","520","0","8840","520",,,,
