"variant","ng_relaxed_pricing_closed","ng_relaxed_best_reduced_cost","ng_relaxed_negative_routes_found","ng_relaxed_negative_columns_inserted","ng_relaxed_negative_routes_rejected","ng_relaxed_closure_labels_processed","ng_relaxed_closure_stop_reason"
"v4_gcap-frontier","True","-21.6","178","38","1634","0",""
"v4_frontier-relaxed-rmp-cg-test","True","-21.6","178","38","1634","0",""
"v12_m2_focus_exact_300s","False","0","0","0","0","0",""
"v12_m2_focus_relaxed_cg_300s","False","-0.0615036488357","35","2","97","0",""
"v12_m2_full_exact_300s","False","0","0","0","0","0",""
"v12_m2_full_relaxed_cg_300s","False","-0.113579911565","111","2","285","0",""
"v12_m1_full_exact_300s","False","0","0","0","0","0",""
"v12_m1_full_relaxed_cg_300s","False","-0.120730713682","9","8","20","0",""
"v20_relaxed_cg_300s","False","-0.407459130431","16","16","240","0",""
"v50_relaxed_cg_300s","False","0","972","0","4644","0",""
"v100_relaxed_cg_300s","False","0","520","0","8840","0",""
