"variant","unresolved_intervals","invalid_bound_intervals","open_nodes","frontier_min_interval_lower_bound","frontier_lower_bound_source","status","certified_original_problem"
"v4_gcap-frontier","0","0","0","0","incumbent_cutoff","optimal","True"
"v4_frontier-relaxed-rmp-cg-test","0","0","0","0","incumbent_cutoff","optimal","False"
"v12_m2_focus_exact_300s","1","0","1","0.712948394993","inventory_route_gini_relaxation","gcap_frontier_not_closed","False"
"v12_m2_focus_relaxed_cg_300s","1","0","1","0.712948394993","inventory_route_gini_relaxation","gcap_frontier_not_closed","False"
"v12_m2_full_exact_300s","2","0","2","0.70241956742","inventory_route_gini_relaxation","gcap_frontier_not_closed","False"
"v12_m2_full_relaxed_cg_300s","3","0","3","0.681925220372","gamma_floor","gcap_frontier_not_closed","False"
"v12_m1_full_exact_300s","3","0","3","0.3259809019","gamma_floor","gcap_frontier_not_closed","False"
"v12_m1_full_relaxed_cg_300s","3","0","3","0.3259809019","gamma_floor","gcap_frontier_not_closed","False"
"v20_relaxed_cg_300s","5","0","5","0.359195534786","gamma_floor","gcap_frontier_not_closed","False"
"v50_relaxed_cg_300s","0","0","0","0","","diagnostic_complete","False"
"v100_relaxed_cg_300s","0","0","0","0","","diagnostic_complete","False"
