"variant","frontier_relaxed_rmp_cg_intervals_attempted","frontier_relaxed_rmp_cg_intervals_closed","frontier_relaxed_rmp_cg_intervals_fathomed","frontier_relaxed_rmp_cg_lb_improvements"
"v4_gcap-frontier","1","1","1","0"
"v4_frontier-relaxed-rmp-cg-test","1","1","1","0"
"v12_m2_focus_exact_300s","0","0","0","0"
"v12_m2_focus_relaxed_cg_300s","0","0","0","0"
"v12_m2_full_exact_300s","0","0","0","0"
"v12_m2_full_relaxed_cg_300s","1","0","0","0"
"v12_m1_full_exact_300s","0","0","0","0"
"v12_m1_full_relaxed_cg_300s","2","0","0","0"
"v20_relaxed_cg_300s","0","0","0","0"
"v50_relaxed_cg_300s","0","0","0","0"
"v100_relaxed_cg_300s","0","0","0","0"
