"variant","relaxed_rmp_cg_iterations","relaxed_rmp_cg_columns_added","relaxed_rmp_lb_before_cg","relaxed_rmp_lb_after_cg","relaxed_rmp_cg_final_best_rc","relaxed_rmp_cg_closed","relaxed_rmp_cg_stop_reason"
"v4_gcap-frontier","94","0","0","0","-3.33066907388E-16","True","ng_relaxed_pricing_closed"
"v4_frontier-relaxed-rmp-cg-test","94","0","0","0","-3.33066907388E-16","True","ng_relaxed_pricing_closed"
"v12_m2_focus_exact_300s","0","0","0","0","0","False",""
"v12_m2_focus_relaxed_cg_300s","0","0","0","0","0","False",""
"v12_m2_full_exact_300s","0","0","0","0","0","False",""
"v12_m2_full_relaxed_cg_300s","1","0","0","0","-0.00277015909091","False","ng_relaxed_pricing_incomplete_or_negative_reduced_cost"
"v12_m1_full_exact_300s","0","0","0","0","0","False",""
"v12_m1_full_relaxed_cg_300s","2","0","0","0","-0.00351373262153","False","ng_relaxed_pricing_incomplete_or_negative_reduced_cost"
"v20_relaxed_cg_300s","0","0","0","0","0","False",""
"v50_relaxed_cg_300s","12","0","0","0","337.944378217","False",""
"v100_relaxed_cg_300s","20","0","0","0","270.875838714","False",""
