"variant","large_relaxed_rmp_cg_enabled","large_relaxed_rmp_diagnostic_lb","large_relaxed_rmp_valid_lb","large_relaxed_rmp_pricing_closed","large_relaxed_rmp_closure_gap","large_relaxed_rmp_stop_reason"
"v4_gcap-frontier","False","0","0","False","0",""
"v4_frontier-relaxed-rmp-cg-test","False","0","0","False","0",""
"v12_m2_focus_exact_300s","False","0","0","False","0",""
"v12_m2_focus_relaxed_cg_300s","False","0","0","False","0",""
"v12_m2_full_exact_300s","False","0","0","False","0",""
"v12_m2_full_relaxed_cg_300s","False","0","0","False","0",""
"v12_m1_full_exact_300s","False","0","0","False","0",""
"v12_m1_full_relaxed_cg_300s","False","0","0","False","0",""
"v20_relaxed_cg_300s","False","0","0","False","0",""
"v50_relaxed_cg_300s","True","0","0","False","0","no_valid_relaxed_columns"
"v100_relaxed_cg_300s","True","0","0","False","0","no_valid_relaxed_columns"
