run_id,record_type,checkpoint_seconds,observation_available,freshness,source_observation_time_seconds,observation_age_seconds,native_best_bound,processed_nodes,open_nodes,simplex_iterations,gini_branch_count,ordinary_branch_count,common_same_run_ub,same_run_project_gap
round23_stage1__high_imbalance_seed3202__s0c__300s,checkpoint,1,True,fresh,0.58409089999999997,0.41590910000000003,1.299838001731207,0,1,6351,0,0,1.7493134520506337,0.2569439169364009
round23_stage1__high_imbalance_seed3202__s0c__300s,checkpoint,2,True,fresh,1.8780934,0.12190659999999998,1.4520287360711628,0,1,11011,0,0,1.7493134520506337,0.16994365168288092
round23_stage1__high_imbalance_seed3202__s0c__300s,checkpoint,5,True,stale,2.5023681,2.4976319,1.4533943380542114,0,1,12537,0,0,1.7493134520506337,0.16916300143323712
round23_stage1__high_imbalance_seed3202__s0c__300s,checkpoint,10,True,fresh,9.1081982999999997,0.8918017000000003,1.6500930407672763,16,15,24557,15,0,1.7493134520506337,0.05671962973076453
round23_stage1__high_imbalance_seed3202__s0c__300s,checkpoint,15,True,fresh,14.9531288,0.0468712,1.6500930407672763,30,29,26976,15,14,1.7493134520506337,0.05671962973076453
round23_stage1__high_imbalance_seed3202__s0c__300s,checkpoint,20,True,fresh,19.945725800000002,0.054274199999998274,1.6683017516413803,76,64,39441,26,44,1.7493134520506337,0.04631056847718596
round23_stage1__high_imbalance_seed3202__s0c__300s,checkpoint,30,True,fresh,29.9241721,0.07582790000000017,1.6687485068912165,253,193,72598,38,186,1.7493134520506337,0.04605517957057665
round23_stage1__high_imbalance_seed3202__s0c__300s,checkpoint,45,True,fresh,44.9474771,0.052522899999999595,1.6692513855763182,541,429,132502,38,450,1.7493134520506337,0.04576770754290071
round23_stage1__high_imbalance_seed3202__s0c__300s,checkpoint,60,True,fresh,59.967207500000001,0.032792499999999336,1.6696368669593429,796,628,198349,41,676,1.7493134520506337,0.04554734601616989
round23_stage1__high_imbalance_seed3202__s0c__300s,checkpoint,90,True,fresh,89.932478000000003,0.06752199999999675,1.6712898995420278,1234,958,334639,41,1063,1.7493134520506337,0.04460238524842004
round23_stage1__high_imbalance_seed3202__s0c__300s,checkpoint,120,True,fresh,119.9029156,0.09708439999999996,1.6730997055225736,1653,1271,468579,46,1425,1.7493134520506337,0.0435678045228078
round23_stage1__high_imbalance_seed3202__s0c__300s,checkpoint,180,True,fresh,179.9295075,0.07049250000000029,1.6777118277293031,2307,1670,731655,47,1951,1.7493134520506337,0.04093127177258919
round23_stage1__high_imbalance_seed3202__s0c__300s,checkpoint,240,True,fresh,239.97662500000001,0.023374999999987267,1.6799870174242133,3088,2197,999968,47,2606,1.7493134520506337,0.03963065312574625
round23_stage1__high_imbalance_seed3202__s0c__300s,checkpoint,300,True,stale,262.01363909999998,37.98636090000002,1.6806038349356158,3308,2345,1103131,47,2790,1.7493134520506337,0.03927804764461909
round23_stage1__high_imbalance_seed3202__s0c__300s,solver_final,solver_final,True,solver_final,262.01407219999999,0,1.6806038349356158,3308,2345,1103131,47,2790,1.7493134520506337,0.03927804764461909
