decision_sequence,K0,rho,rho_source,interval_id,parent_id,depth,gamma_L,gamma_U,parent_bound,left_child_id,left_child_bound,left_child_infeasible,right_child_id,right_child_bound,right_child_infeasible,verified_incumbent,normalized_c6_gain,child_infeasibility_trigger,threshold_comparison,selected_action,target_value,deterministic_reason,coverage_update
1,1,0.01,"implicit-default","L0","",0,0,0.70625309852907492,0.2092648777189226,"L0.0",0.20926487771892274,0,"L0.1",0.52806619587109682,0,0.70625309852907492,2.792377611121637e-16,0,"gain_below_rho","split",,"round48_counterfactual_forced_single_midpoint","atomic_parent_replaced_by_two_children"
2,1,0.01,"implicit-default","L0.0","L0",1,0,0.35312654926453746,0.55713452006382247,"L0.0.0",0.20926487771892285,0,"L0.0.1",0.35150292123882798,0,0.70625309852907492,0,0,"no_strict_gain","exact-close",,"round48_counterfactual_descendant_split_forbidden","parent_coverage_retained"
3,1,0.01,"implicit-default","L0.1","L0",1,0.35312654926453746,0.70625309852907492,0.66083645632564658,"L0.1.0",0.52806619587109671,0,"L0.1.1",0.70462947050336566,0,0.70625309852907492,0,0,"no_strict_gain","exact-close",,"round48_counterfactual_descendant_split_forbidden","parent_coverage_retained"
