run_id,parent_uid,parent_parent_uid,parent_native_depth,parent_gini_generation,child_gini_generation,parent_gamma_L,parent_gamma_U,split,parent_relaxation,lower_uid,lower_gamma_L,lower_gamma_U,lower_estimate,lower_gamma_floor,lower_weighted_penalty_lb,lower_domain_estimate,lower_lift,lower_station_deviation_lbs,upper_uid,upper_gamma_L,upper_gamma_U,upper_estimate,upper_gamma_floor,upper_weighted_penalty_lb,upper_domain_estimate,upper_lift,upper_station_deviation_lbs,estimate_mode,sibling_discriminated,creation_time,creation_node_count,open_nodes,simplex_iterations,validity_status,failure_reason
global_v8_f2,0,-1,0,0,1,0,0.16076351567899999,0.08038175783945771,0.12198719231619269,1,0,0.08038175783945771,0.12198719231619269,0,0,0,0,0|0|0|0|0|0|0|0,2,0.08038175783945771,0.16076351567899999,0.12198719231619269,0.08038175783945771,0,0.08038175783945771,0,0|0|0|0|0|0|0|0,parent-copy,false,0.2342438,0,1,1371,passed,
global_v8_f2,1,0,1,1,2,0,0.08038175783945771,0.040190878919728855,0.13053014718581774,3,0,0.040190878919728855,0.13053014718581774,0,0,0,0,0|0|0|0|0|0|0|0,4,0.040190878919728855,0.08038175783945771,0.13053014718581774,0.040190878919728855,0,0.040190878919728855,0,0|0|0|0|0|0|0|0,parent-copy,false,0.24286289999999999,1,2,1371,passed,
global_v8_f2,2,0,1,1,2,0.08038175783945771,0.16076351567899999,0.12057263675918656,0.15281187273228075,5,0.08038175783945771,0.12057263675918656,0.15281187273228075,0.08038175783945771,0,0.08038175783945771,0,0|0|0|0|0|0|0|0,6,0.12057263675918656,0.16076351567899999,0.15281187273228075,0.12057263675918656,0,0.12057263675918656,0,0|0|0|0|0|0|0|0,parent-copy,false,0.2698198,2,3,1460,passed,
global_v8_f2,3,1,2,2,3,0,0.040190878919728855,0.020095439459864427,0.14109355714498509,7,0,0.020095439459864427,0.14109355714498509,0,0,0,0,0|0|0|0|0|0|0|0,8,0.020095439459864427,0.040190878919728855,0.14109355714498509,0.020095439459864427,0,0.020095439459864427,0,0|0|0|0|0|0|0|0,parent-copy,false,0.2808001,3,4,2300,passed,
global_v8_f2,4,1,2,2,3,0.040190878919728855,0.08038175783945771,0.060286318379593279,0.14999329543903536,9,0.040190878919728855,0.060286318379593279,0.14999329543903536,0.040190878919728855,0,0.040190878919728855,0,0|0|0|0|0|0|0|0,10,0.060286318379593279,0.08038175783945771,0.14999329543903536,0.060286318379593279,0,0.060286318379593279,0,0|0|0|0|0|0|0|0,parent-copy,false,0.28985689999999997,4,5,2371,passed,
global_v8_f2,7,3,3,3,4,0,0.020095439459864427,0.010047719729932214,0.14761382407263365,11,0,0.010047719729932214,0.14761382407263365,0,0,0,0,0|0|0|0|0|0|0|0,12,0.010047719729932214,0.020095439459864427,0.14761382407263365,0.010047719729932214,0,0.010047719729932214,0,0|0|0|0|0|0|0|0,parent-copy,false,0.29901349999999999,5,6,2449,passed,
global_v8_f2,8,3,3,3,4,0.020095439459864427,0.040190878919728855,0.030143159189796639,0.15229140151552431,13,0.020095439459864427,0.030143159189796639,0.15229140151552431,0.020095439459864427,0,0.020095439459864427,0,0|0|0|0|0|0|0|0,14,0.030143159189796639,0.040190878919728855,0.15229140151552431,0.030143159189796639,0,0.030143159189796639,0,0|0|0|0|0|0|0|0,parent-copy,false,0.30817319999999998,6,7,2497,passed,
global_v8_f2,11,7,4,4,5,0,0.010047719729932214,0.0050238598649661069,0.15095303104588309,15,0,0.0050238598649661069,0.15095303104588309,0,0,0,0,0|0|0|0|0|0|0|0,16,0.0050238598649661069,0.010047719729932214,0.15095303104588309,0.0050238598649661069,0,0.0050238598649661069,0,0|0|0|0|0|0|0|0,parent-copy,false,0.31766990000000001,7,8,2551,passed,
global_v8_f2,12,7,4,4,5,0.010047719729932214,0.020095439459864427,0.01507157959489832,0.15334752819187794,17,0.010047719729932214,0.01507157959489832,0.15334752819187794,0.010047719729932214,0,0.010047719729932214,0,0|0|0|0|0|0|0|0,18,0.01507157959489832,0.020095439459864427,0.15334752819187794,0.01507157959489832,0,0.01507157959489832,0,0|0|0|0|0|0|0|0,parent-copy,false,0.32659339999999998,8,9,2594,passed,
global_v8_f2,15,11,5,5,6,0,0.0050238598649661069,0.0025119299324830534,0.15264212791765971,19,0,0.0025119299324830534,0.15264212791765971,0,0,0,0,0|0|0|0|0|0|0|0,20,0.0025119299324830534,0.0050238598649661069,0.15264212791765971,0.0025119299324830534,0,0.0025119299324830534,0,0|0|0|0|0|0|0|0,parent-copy,false,0.33660430000000002,9,10,2642,passed,
