run_id,status,accepted_checkpoints,reason
official__V12_M1__tailored_legacy_scheduler_static__300s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__V12_M1__tailored_controlling_scheduler_static__300s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__V12_M2__tailored_legacy_scheduler_static__300s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__V12_M2__tailored_controlling_scheduler_static__300s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__tight_T_seed3101__tailored_legacy_scheduler_static__300s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__tight_T_seed3101__tailored_controlling_scheduler_static__300s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__high_imbalance_seed3202__tailored_legacy_scheduler_static__300s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__300s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__moderate_seed3301__tailored_legacy_scheduler_static__300s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__moderate_seed3301__tailored_controlling_scheduler_static__300s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__moderate_seed3302__tailored_legacy_scheduler_static__300s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__moderate_seed3302__tailored_controlling_scheduler_static__300s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__high_imbalance_seed3201__tailored_legacy_scheduler_static__300s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__300s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__tight_T_seed3102__tailored_legacy_scheduler_static__300s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__tight_T_seed3102__tailored_controlling_scheduler_static__300s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__V12_M1__tailored_legacy_scheduler_static__900s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__V12_M1__tailored_controlling_scheduler_static__900s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__V12_M2__tailored_legacy_scheduler_static__900s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__V12_M2__tailored_controlling_scheduler_static__900s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__tight_T_seed3101__tailored_legacy_scheduler_static__900s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__tight_T_seed3101__tailored_controlling_scheduler_static__900s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__high_imbalance_seed3202__tailored_legacy_scheduler_static__900s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__900s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__moderate_seed3301__tailored_legacy_scheduler_static__900s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__moderate_seed3301__tailored_controlling_scheduler_static__900s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__moderate_seed3302__tailored_legacy_scheduler_static__900s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__moderate_seed3302__tailored_controlling_scheduler_static__900s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__high_imbalance_seed3201__tailored_legacy_scheduler_static__900s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__900s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__tight_T_seed3102__tailored_legacy_scheduler_static__900s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__tight_T_seed3102__tailored_controlling_scheduler_static__900s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__V12_M1__tailored_legacy_scheduler_static__1800s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__V12_M1__tailored_controlling_scheduler_static__1800s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__V12_M2__tailored_legacy_scheduler_static__1800s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__V12_M2__tailored_controlling_scheduler_static__1800s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__tight_T_seed3101__tailored_legacy_scheduler_static__1800s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__tight_T_seed3101__tailored_controlling_scheduler_static__1800s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__high_imbalance_seed3202__tailored_legacy_scheduler_static__1800s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__1800s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__moderate_seed3301__tailored_legacy_scheduler_static__1800s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__moderate_seed3301__tailored_controlling_scheduler_static__1800s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__moderate_seed3302__tailored_legacy_scheduler_static__1800s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__moderate_seed3302__tailored_controlling_scheduler_static__1800s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__high_imbalance_seed3201__tailored_legacy_scheduler_static__1800s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__tight_T_seed3102__tailored_legacy_scheduler_static__1800s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
official__tight_T_seed3102__tailored_controlling_scheduler_static__1800s,passed,0,official_static_arm_registered_no_callback; checkpoint_not_seen
