file,method,instance_name,finalization_source,lower_bound,best_valid_lb_seen,gap,best_valid_gap_seen,audit_passed,failures
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\diagnostic__moderate_seed3301__tailored_legacy_scheduler_static__900s_auto_oracle\interval_2.json,interval-cutoff-oracle,moderate_seed3301.txt,cplex_time_limit_with_valid_best_bound,0.0488201325052,0.0488201325052,0.00676302941519,0.00676302941519,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\diagnostic__moderate_seed3301__tailored_legacy_scheduler_static__900s_auto_oracle\interval_3.json,interval-cutoff-oracle,moderate_seed3301.txt,cplex_solver_final,0.0491525526647,0.0491525526647,0.0,0.0,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\diagnostic__moderate_seed3301__tailored_legacy_scheduler_static__900s_auto_oracle\interval_7.json,interval-cutoff-oracle,moderate_seed3301.txt,cplex_time_limit_with_valid_best_bound,0.0467238720082,0.0467238720082,0.0494110788742,0.0494110788742,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\diagnostic__tight_T_seed3102__tailored_controlling_checkpoint_merge_disabled_static__300s.json,gcap-frontier,tight_T_seed3102.txt,solver_final_json,0.450528327514,0.450528327514,0.25,0.25,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\diagnostic__tight_T_seed3102__tailored_controlling_checkpoint_merge_disabled_static__300s_auto_oracle\interval_0.json,interval-cutoff-oracle,tight_T_seed3102.txt,cplex_time_limit_with_valid_best_bound,0.494096215169,0.494096215169,0.177472006208,0.177472006208,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\diagnostic__tight_T_seed3102__tailored_controlling_checkpoint_merge_disabled_static__300s_auto_oracle\interval_1.json,interval-cutoff-oracle,tight_T_seed3102.txt,cplex_time_limit_with_valid_best_bound,0.519560876512,0.519560876512,0.135080673985,0.135080673985,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\diagnostic__tight_T_seed3102__tailored_controlling_checkpoint_merge_disabled_static__300s_auto_oracle\interval_3.json,interval-cutoff-oracle,tight_T_seed3102.txt,cplex_solver_final_no_valid_bound,0.0,0.0,1.0,0.0,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\diagnostic__tight_T_seed3102__tailored_controlling_checkpoint_merge_disabled_static__900s.json,gcap-frontier,tight_T_seed3102.txt,solver_final_json,0.450528327514,0.450528327514,0.25,0.25,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\diagnostic__tight_T_seed3102__tailored_controlling_checkpoint_merge_disabled_static__900s_auto_oracle\interval_0.json,interval-cutoff-oracle,tight_T_seed3102.txt,cplex_time_limit_with_valid_best_bound,0.494096215169,0.494096215169,0.177472006208,0.177472006208,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\diagnostic__tight_T_seed3102__tailored_controlling_checkpoint_merge_disabled_static__900s_auto_oracle\interval_1.json,interval-cutoff-oracle,tight_T_seed3102.txt,cplex_time_limit_with_valid_best_bound,0.519560876512,0.519560876512,0.135080673985,0.135080673985,True,
