run_id,decision_rows,ledger_attempts,malformed_rows,missing_fields,status,reason
official__V12_M1__tailored_controlling_scheduler_static__300s,4,4,0,,passed,complete_scheduler_trace
official__V12_M2__tailored_controlling_scheduler_static__300s,5,5,0,,passed,complete_scheduler_trace
official__tight_T_seed3101__tailored_controlling_scheduler_static__300s,4,4,0,,passed,complete_scheduler_trace
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__300s,6,6,0,,passed,complete_scheduler_trace
official__moderate_seed3301__tailored_controlling_scheduler_static__300s,7,7,0,,passed,complete_scheduler_trace
official__moderate_seed3302__tailored_controlling_scheduler_static__300s,5,5,0,,passed,complete_scheduler_trace
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__300s,6,6,0,,passed,complete_scheduler_trace
official__tight_T_seed3102__tailored_controlling_scheduler_static__300s,1088,1088,0,,passed,complete_scheduler_trace
official__V12_M1__tailored_controlling_scheduler_static__900s,4,4,0,,passed,complete_scheduler_trace
official__V12_M2__tailored_controlling_scheduler_static__900s,5,5,0,,passed,complete_scheduler_trace
official__tight_T_seed3101__tailored_controlling_scheduler_static__900s,5,5,0,,passed,complete_scheduler_trace
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__900s,7,7,0,,passed,complete_scheduler_trace
official__moderate_seed3301__tailored_controlling_scheduler_static__900s,8,8,0,,passed,complete_scheduler_trace
official__moderate_seed3302__tailored_controlling_scheduler_static__900s,7,7,0,,passed,complete_scheduler_trace
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__900s,7,7,0,,passed,complete_scheduler_trace
official__tight_T_seed3102__tailored_controlling_scheduler_static__900s,4926,4926,0,,passed,complete_scheduler_trace
official__V12_M1__tailored_controlling_scheduler_static__1800s,4,4,0,,passed,complete_scheduler_trace
official__V12_M2__tailored_controlling_scheduler_static__1800s,5,5,0,,passed,complete_scheduler_trace
official__tight_T_seed3101__tailored_controlling_scheduler_static__1800s,6,6,0,,passed,complete_scheduler_trace
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__1800s,8,8,0,,passed,complete_scheduler_trace
official__moderate_seed3301__tailored_controlling_scheduler_static__1800s,9,9,0,,passed,complete_scheduler_trace
official__moderate_seed3302__tailored_controlling_scheduler_static__1800s,8,8,0,,passed,complete_scheduler_trace
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s,11,11,0,,passed,complete_scheduler_trace
official__tight_T_seed3102__tailored_controlling_scheduler_static__1800s,10631,10631,0,,passed,complete_scheduler_trace
