run_id,requested,parsed,effective,serialized,status
official__V12_M1__plain_cplex__300s,omitted,per-leaf,per-leaf,per-leaf,passed
official__V12_M1__tailored_legacy_scheduler_static__300s,total,total,total,total,passed
official__V12_M1__tailored_controlling_scheduler_static__300s,total,total,total,total,passed
official__V12_M2__plain_cplex__300s,omitted,per-leaf,per-leaf,per-leaf,passed
official__V12_M2__tailored_legacy_scheduler_static__300s,total,total,total,total,passed
official__V12_M2__tailored_controlling_scheduler_static__300s,total,total,total,total,passed
official__tight_T_seed3101__plain_cplex__300s,omitted,per-leaf,per-leaf,per-leaf,passed
official__tight_T_seed3101__tailored_legacy_scheduler_static__300s,total,total,total,total,passed
official__tight_T_seed3101__tailored_controlling_scheduler_static__300s,total,total,total,total,passed
official__high_imbalance_seed3202__plain_cplex__300s,omitted,per-leaf,per-leaf,per-leaf,passed
official__high_imbalance_seed3202__tailored_legacy_scheduler_static__300s,total,total,total,total,passed
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__300s,total,total,total,total,passed
official__moderate_seed3301__plain_cplex__300s,omitted,per-leaf,per-leaf,per-leaf,passed
official__moderate_seed3301__tailored_legacy_scheduler_static__300s,total,total,total,total,passed
official__moderate_seed3301__tailored_controlling_scheduler_static__300s,total,total,total,total,passed
official__moderate_seed3302__plain_cplex__300s,omitted,per-leaf,per-leaf,per-leaf,passed
official__moderate_seed3302__tailored_legacy_scheduler_static__300s,total,total,total,total,passed
official__moderate_seed3302__tailored_controlling_scheduler_static__300s,total,total,total,total,passed
official__high_imbalance_seed3201__plain_cplex__300s,omitted,per-leaf,per-leaf,per-leaf,passed
official__high_imbalance_seed3201__tailored_legacy_scheduler_static__300s,total,total,total,total,passed
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__300s,total,total,total,total,passed
official__tight_T_seed3102__plain_cplex__300s,omitted,per-leaf,per-leaf,per-leaf,passed
official__tight_T_seed3102__tailored_legacy_scheduler_static__300s,total,total,total,total,passed
official__tight_T_seed3102__tailored_controlling_scheduler_static__300s,total,total,total,total,passed
official__V12_M1__plain_cplex__900s,omitted,per-leaf,per-leaf,per-leaf,passed
official__V12_M1__tailored_legacy_scheduler_static__900s,total,total,total,total,passed
official__V12_M1__tailored_controlling_scheduler_static__900s,total,total,total,total,passed
official__V12_M2__plain_cplex__900s,omitted,per-leaf,per-leaf,per-leaf,passed
official__V12_M2__tailored_legacy_scheduler_static__900s,total,total,total,total,passed
official__V12_M2__tailored_controlling_scheduler_static__900s,total,total,total,total,passed
official__tight_T_seed3101__plain_cplex__900s,omitted,per-leaf,per-leaf,per-leaf,passed
official__tight_T_seed3101__tailored_legacy_scheduler_static__900s,total,total,total,total,passed
official__tight_T_seed3101__tailored_controlling_scheduler_static__900s,total,total,total,total,passed
official__high_imbalance_seed3202__plain_cplex__900s,omitted,per-leaf,per-leaf,per-leaf,passed
official__high_imbalance_seed3202__tailored_legacy_scheduler_static__900s,total,total,total,total,passed
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__900s,total,total,total,total,passed
official__moderate_seed3301__plain_cplex__900s,omitted,per-leaf,per-leaf,per-leaf,passed
official__moderate_seed3301__tailored_legacy_scheduler_static__900s,total,total,total,total,passed
official__moderate_seed3301__tailored_controlling_scheduler_static__900s,total,total,total,total,passed
official__moderate_seed3302__plain_cplex__900s,omitted,per-leaf,per-leaf,per-leaf,passed
official__moderate_seed3302__tailored_legacy_scheduler_static__900s,total,total,total,total,passed
official__moderate_seed3302__tailored_controlling_scheduler_static__900s,total,total,total,total,passed
official__high_imbalance_seed3201__plain_cplex__900s,omitted,per-leaf,per-leaf,per-leaf,passed
official__high_imbalance_seed3201__tailored_legacy_scheduler_static__900s,total,total,total,total,passed
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__900s,total,total,total,total,passed
official__tight_T_seed3102__plain_cplex__900s,omitted,per-leaf,per-leaf,per-leaf,passed
official__tight_T_seed3102__tailored_legacy_scheduler_static__900s,total,total,total,total,passed
official__tight_T_seed3102__tailored_controlling_scheduler_static__900s,total,total,total,total,passed
official__V12_M1__plain_cplex__1800s,omitted,per-leaf,per-leaf,per-leaf,passed
official__V12_M1__tailored_legacy_scheduler_static__1800s,total,total,total,total,passed
official__V12_M1__tailored_controlling_scheduler_static__1800s,total,total,total,total,passed
official__V12_M2__plain_cplex__1800s,omitted,per-leaf,per-leaf,per-leaf,passed
official__V12_M2__tailored_legacy_scheduler_static__1800s,total,total,total,total,passed
official__V12_M2__tailored_controlling_scheduler_static__1800s,total,total,total,total,passed
official__tight_T_seed3101__plain_cplex__1800s,omitted,per-leaf,per-leaf,per-leaf,passed
official__tight_T_seed3101__tailored_legacy_scheduler_static__1800s,total,total,total,total,passed
official__tight_T_seed3101__tailored_controlling_scheduler_static__1800s,total,total,total,total,passed
official__high_imbalance_seed3202__plain_cplex__1800s,omitted,per-leaf,per-leaf,per-leaf,passed
official__high_imbalance_seed3202__tailored_legacy_scheduler_static__1800s,total,total,total,total,passed
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__1800s,total,total,total,total,passed
official__moderate_seed3301__plain_cplex__1800s,omitted,per-leaf,per-leaf,per-leaf,passed
official__moderate_seed3301__tailored_legacy_scheduler_static__1800s,total,total,total,total,passed
official__moderate_seed3301__tailored_controlling_scheduler_static__1800s,total,total,total,total,passed
official__moderate_seed3302__plain_cplex__1800s,omitted,per-leaf,per-leaf,per-leaf,passed
official__moderate_seed3302__tailored_legacy_scheduler_static__1800s,total,total,total,total,passed
official__moderate_seed3302__tailored_controlling_scheduler_static__1800s,total,total,total,total,passed
official__high_imbalance_seed3201__plain_cplex__1800s,omitted,per-leaf,per-leaf,per-leaf,passed
official__high_imbalance_seed3201__tailored_legacy_scheduler_static__1800s,total,total,total,total,passed
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s,total,total,total,total,passed
official__tight_T_seed3102__plain_cplex__1800s,omitted,per-leaf,per-leaf,per-leaf,passed
official__tight_T_seed3102__tailored_legacy_scheduler_static__1800s,total,total,total,total,passed
official__tight_T_seed3102__tailored_controlling_scheduler_static__1800s,total,total,total,total,passed
