instance,instance_class,budget_seconds,all_three_fresh,all_three_comparable,plain_cplex__lower_bound,plain_cplex__upper_bound,plain_cplex__gap,plain_cplex__certificate,plain_cplex__actual_process_wall_seconds,plain_cplex__engineering_blocker,plain_cplex__time_to_first_valid_lb,plain_cplex__time_to_best_lb,plain_cplex__time_to_gap_5pct,plain_cplex__time_to_gap_1pct,plain_cplex__time_to_gap_0_1pct,plain_cplex__primal_dual_integral,plain_cplex__controlling_set_switches,plain_cplex__time_spent_controlling,plain_cplex__time_spent_noncontrolling,plain_cplex__leaves_never_attempted,plain_cplex__accepted_checkpoint_bounds,plain_cplex__checkpoint_based_bound_fathomings,plain_cplex__solver_final_closures,plain_cplex__unresolved_leaves,tailored_legacy_scheduler_static__lower_bound,tailored_legacy_scheduler_static__upper_bound,tailored_legacy_scheduler_static__gap,tailored_legacy_scheduler_static__certificate,tailored_legacy_scheduler_static__actual_process_wall_seconds,tailored_legacy_scheduler_static__engineering_blocker,tailored_legacy_scheduler_static__time_to_first_valid_lb,tailored_legacy_scheduler_static__time_to_best_lb,tailored_legacy_scheduler_static__time_to_gap_5pct,tailored_legacy_scheduler_static__time_to_gap_1pct,tailored_legacy_scheduler_static__time_to_gap_0_1pct,tailored_legacy_scheduler_static__primal_dual_integral,tailored_legacy_scheduler_static__controlling_set_switches,tailored_legacy_scheduler_static__time_spent_controlling,tailored_legacy_scheduler_static__time_spent_noncontrolling,tailored_legacy_scheduler_static__leaves_never_attempted,tailored_legacy_scheduler_static__accepted_checkpoint_bounds,tailored_legacy_scheduler_static__checkpoint_based_bound_fathomings,tailored_legacy_scheduler_static__solver_final_closures,tailored_legacy_scheduler_static__unresolved_leaves,tailored_controlling_scheduler_static__lower_bound,tailored_controlling_scheduler_static__upper_bound,tailored_controlling_scheduler_static__gap,tailored_controlling_scheduler_static__certificate,tailored_controlling_scheduler_static__actual_process_wall_seconds,tailored_controlling_scheduler_static__engineering_blocker,tailored_controlling_scheduler_static__time_to_first_valid_lb,tailored_controlling_scheduler_static__time_to_best_lb,tailored_controlling_scheduler_static__time_to_gap_5pct,tailored_controlling_scheduler_static__time_to_gap_1pct,tailored_controlling_scheduler_static__time_to_gap_0_1pct,tailored_controlling_scheduler_static__primal_dual_integral,tailored_controlling_scheduler_static__controlling_set_switches,tailored_controlling_scheduler_static__time_spent_controlling,tailored_controlling_scheduler_static__time_spent_noncontrolling,tailored_controlling_scheduler_static__leaves_never_attempted,tailored_controlling_scheduler_static__accepted_checkpoint_bounds,tailored_controlling_scheduler_static__checkpoint_based_bound_fathomings,tailored_controlling_scheduler_static__solver_final_closures,tailored_controlling_scheduler_static__unresolved_leaves,lowest_gap_arm
V12_M1,control,300,True,True,0.357200583208,0.357200583208,0,CPLEX reported optimality and the independent verifier recomputed the same feasible objective.,181.79931580019183,,181.7792902,181.7697288,,,,,0,0,0,0,0,0,0,0,0.357200583208,0.357200583208,0,sealed frontier certificate completed by automatic exact interval cutoff MIP infeasibility certificates,173.7408507000655,,151.7438071,151.7394415,,,,,0,0,0,0,0,0,0,0,0.357200583208,0.357200583208,0,sealed frontier certificate completed by automatic exact interval cutoff MIP infeasibility certificates,99.97144200000912,,26.9003263,26.8961763,57.8867,99.9349,99.9349,11.403178634809997,3,73.008605,0.0,0,0,0,3,0,plain_cplex
V12_M2,control,300,True,True,0.62363581357,0.72439493548,0.139094183263,CPLEX did not report optimality: time limit exceeded,300.14657200011425,,300.126786,300.1141555,,,,,0,0,0,0,0,0,0,0,0.718504070755,0.718504070755,0,sealed frontier certificate completed by automatic exact interval cutoff MIP infeasibility certificates,233.37642939994112,,150.0553239,150.0491373,,,,,0,0,0,0,0,0,0,0,0.691505,0.718504070755,0.0375767818916,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,294.2968297000043,,34.3985608,34.3934083,245.701,,,13.25929717354,2,259.808616,0.0,0,0,0,1,1,tailored_legacy_scheduler_static
tight_T_seed3101,control,300,True,True,0.015884858356,0.134692123785,0.882065425137,CPLEX did not report optimality: time limit exceeded,300.16040510009043,,300.1409509,300.1140614,,,,,0,0,0,0,0,0,0,0,0.107252734134,0.107252734134,0,gamma-frontier certificate: every relevant Gini interval was either closed with exact pricing or fathomed by a valid interval lower bound above the verified incumbent objective,76.2095492000226,,76.1766593,76.1699849,,,,,0,0,0,0,0,0,0,0,0.031106,0.107252734134,0.709974759607,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,294.1840833998285,,31.7918708,31.7875961,,,,165.2534588092,0,262.325,0.0,2,0,0,0,3,tailored_legacy_scheduler_static
high_imbalance_seed3202,control,300,True,True,1.066448157,2.84302481605,0.624889606668,CPLEX did not report optimality: time limit exceeded,300.16661190008745,,300.1477693,300.1212514,,,,,0,0,0,0,0,0,0,0,1.674685,1.74931345205,0.0426615664352,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,249.69154999987222,,161.0121441,161.0064335,,,,,0,0,0,0,0,0,0,0,1.682832,1.74931345205,0.0380043107613,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,294.3221645001322,,39.1847952,39.1795155,78.6109,,,18.273892107465,3,255.058732,0.0,0,0,0,2,1,tailored_controlling_scheduler_static
moderate_seed3301,hard,300,True,True,0.037866383531,0.0727327782328,0.479376638002,CPLEX did not report optimality: time limit exceeded,300.26201050006784,,300.242511,300.2221429,,,,,0,0,0,0,0,0,0,0,0.00614406908309,0.0491525526647,0.875,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,294.2701214000117,,155.6986744,155.6944345,,,,,0,0,0,0,0,0,0,0,0.045742,0.0491525526647,0.0693870914092,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,294.29251769999973,,49.785849,49.7807995,,,,44.700815120099996,4,244.42769900000002,0.0,0,0,0,2,2,tailored_controlling_scheduler_static
moderate_seed3302,hard,300,True,True,0.11450097091,0.213397988698,0.463439315391,CPLEX did not report optimality: time limit exceeded,300.1493770999368,,300.1304339,300.1064475,,,,,0,0,0,0,0,0,0,0,0,0.195636206549,1,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,294.3111919001676,,159.2884513,159.2842558,,,,,0,0,0,0,0,0,0,0,0.122681,0.195636206549,0.372912600566,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,294.2428367000539,,51.7442114,51.7389096,,,,88.6516872815,3,242.4258,0.0,1,0,0,0,4,tailored_controlling_scheduler_static
high_imbalance_seed3201,hard,300,True,True,1.9775993942,2.55478672027,0.225923879082,CPLEX did not report optimality: time limit exceeded,300.1453682000283,,300.1255164,300.1038408,,,,,0,0,0,0,0,0,0,0,2.294618,2.44340319194,0.0608926076686,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,294.31251299986616,,177.3085331,177.2953652,,,,,0,0,0,0,0,0,0,0,2.294618,2.44340319194,0.0608926076686,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,294.32100729993545,,49.8820047,49.8758616,,,,18.4648585825,3,244.36093499999998,0.0,0,0,0,1,2,tailored_legacy_scheduler_static
tight_T_seed3102,hard,300,True,True,0.4660589143,0.607204120346,0.232451001758,CPLEX did not report optimality: time limit exceeded,300.1620398000814,,300.1427868,300.1207866,,,,,0,0,0,0,0,0,0,0,0.512039,0.600704436685,0.147602433527,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,294.2323145000264,,165.5669793,165.562744,,,,,0,0,0,0,0,0,0,0,0.450528327514,0.600704436685,0.25,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,294.11986700003035,,67.5188007,67.5148825,,,,49.0754705235,2,220.65789999999998,0.0,1,0,0,0,4,tailored_legacy_scheduler_static
V12_M1,control,900,True,True,0.357200583208,0.357200583208,0,CPLEX reported optimality and the independent verifier recomputed the same feasible objective.,183.07485620002262,,183.0489957,183.0396039,,,,,0,0,0,0,0,0,0,0,0.357200583208,0.357200583208,0,sealed frontier certificate completed by automatic exact interval cutoff MIP infeasibility certificates,493.29619179992005,,450.5032283,450.486816,,,,,0,0,0,0,0,0,0,0,0.357200583208,0.357200583208,0,sealed frontier certificate completed by automatic exact interval cutoff MIP infeasibility certificates,101.1558265001513,,27.8463409,27.8421625,58.7428,101.114,101.114,11.38092764944,3,73.24195900000001,0.0,0,0,0,3,0,plain_cplex
V12_M2,control,900,True,True,0.64543395179,0.718504070755,0.1016975713,CPLEX did not report optimality: time limit exceeded,900.1956207000185,,900.1696672,900.1566858,,,,,0,0,0,0,0,0,0,0,0.718504070755,0.718504070755,0,gamma-frontier certificate: every relevant Gini interval was either closed with exact pricing or fathomed by a valid interval lower bound above the verified incumbent objective,290.5714823999442,,290.5379757,290.5294002,,,,,0,0,0,0,0,0,0,0,0.718504070755,0.718504070755,0,sealed frontier certificate completed by automatic exact interval cutoff MIP infeasibility certificates,476.8021013997495,,34.2914336,34.287261,246.06,476.768,476.768,15.757178536839998,2,442.42770800000005,0.0,0,0,0,2,0,tailored_legacy_scheduler_static
