run_id,instance,instance_class,budget_seconds,arm,fresh_round18,status,objective,lower_bound,upper_bound,gap,certificate,certified_original_problem,benchmark_only,paper_certificate_contamination,actual_process_wall_seconds,wall_tolerance_seconds,comparable,engineering_blocker,scheduler_mode,scheduler_invariants_passed,budget_policy_requested,budget_policy_parsed,budget_policy_effective,budget_policy_serialized,option_audit_consistent,cplex_threads,compact_threads,callback_calls_total,native_time_limit_param_id,native_time_limit_set_rc,time_to_first_valid_lb,time_to_best_lb,controlling_set_switches,time_spent_controlling,time_spent_noncontrolling,leaves_never_attempted,accepted_checkpoint_bounds,checkpoint_based_bound_fathomings,solver_final_closures,unresolved_leaves,primal_dual_integral,time_to_gap_5pct,time_to_gap_1pct,time_to_gap_0_1pct,json_path,command_path,executable_sha256
official__V12_M1__plain_cplex__300s,V12_M1,control,300,plain_cplex,True,optimal,0.357200583208,0.357200583208,0.357200583208,0,CPLEX reported optimality and the independent verifier recomputed the same feasible objective.,True,True,False,181.79931580019183,3.0,True,,legacy,True,omitted,per-leaf,per-leaf,per-leaf,True,1,0,0,0,0,181.7792902,181.7697288,0,0,0,0,0,0,0,0,,,,,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__V12_M1__plain_cplex__300s.json,results/gf_tailored_bc_controlling_leaf_scheduler_round/commands/official__V12_M1__plain_cplex__300s.json,18078169fdfd83d6333af33f4e8e81e5dacf7a7e7d1b0a32cbc199461291e246
official__V12_M1__tailored_legacy_scheduler_static__300s,V12_M1,control,300,tailored_legacy_scheduler_static,True,optimal,0.357200583208,0.357200583208,0.357200583208,0,sealed frontier certificate completed by automatic exact interval cutoff MIP infeasibility certificates,True,False,False,173.7408507000655,3.0,True,,legacy,True,total,total,total,total,True,1,1,0,1039,0,151.7438071,151.7394415,0,0,0,0,0,0,0,0,,,,,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__V12_M1__tailored_legacy_scheduler_static__300s.json,results/gf_tailored_bc_controlling_leaf_scheduler_round/commands/official__V12_M1__tailored_legacy_scheduler_static__300s.json,18078169fdfd83d6333af33f4e8e81e5dacf7a7e7d1b0a32cbc199461291e246
official__V12_M1__tailored_controlling_scheduler_static__300s,V12_M1,control,300,tailored_controlling_scheduler_static,True,optimal,0.357200583208,0.357200583208,0.357200583208,0,sealed frontier certificate completed by automatic exact interval cutoff MIP infeasibility certificates,True,False,False,99.97144200000912,3.0,True,,controlling-leaf,True,total,total,total,total,True,1,1,0,1039,0,26.9003263,26.8961763,3,73.008605,0.0,0,0,0,3,0,11.403178634809997,57.8867,99.9349,99.9349,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__V12_M1__tailored_controlling_scheduler_static__300s.json,results/gf_tailored_bc_controlling_leaf_scheduler_round/commands/official__V12_M1__tailored_controlling_scheduler_static__300s.json,18078169fdfd83d6333af33f4e8e81e5dacf7a7e7d1b0a32cbc199461291e246
official__V12_M2__plain_cplex__300s,V12_M2,control,300,plain_cplex,True,not_certified,0.72439493548,0.62363581357,0.72439493548,0.139094183263,CPLEX did not report optimality: time limit exceeded,False,True,False,300.14657200011425,3.0,True,,legacy,True,omitted,per-leaf,per-leaf,per-leaf,True,1,0,0,0,0,300.126786,300.1141555,0,0,0,0,0,0,0,0,,,,,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__V12_M2__plain_cplex__300s.json,results/gf_tailored_bc_controlling_leaf_scheduler_round/commands/official__V12_M2__plain_cplex__300s.json,18078169fdfd83d6333af33f4e8e81e5dacf7a7e7d1b0a32cbc199461291e246
official__V12_M2__tailored_legacy_scheduler_static__300s,V12_M2,control,300,tailored_legacy_scheduler_static,True,optimal,0.718504070755,0.718504070755,0.718504070755,0,sealed frontier certificate completed by automatic exact interval cutoff MIP infeasibility certificates,True,False,False,233.37642939994112,3.0,True,,legacy,True,total,total,total,total,True,1,1,0,1039,0,150.0553239,150.0491373,0,0,0,0,0,0,0,0,,,,,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__V12_M2__tailored_legacy_scheduler_static__300s.json,results/gf_tailored_bc_controlling_leaf_scheduler_round/commands/official__V12_M2__tailored_legacy_scheduler_static__300s.json,18078169fdfd83d6333af33f4e8e81e5dacf7a7e7d1b0a32cbc199461291e246
official__V12_M2__tailored_controlling_scheduler_static__300s,V12_M2,control,300,tailored_controlling_scheduler_static,True,gcap_frontier_not_closed,0.718504070755,0.691505,0.718504070755,0.0375767818916,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,False,False,False,294.2968297000043,3.0,True,,controlling-leaf,True,total,total,total,total,True,1,1,0,1039,0,34.3985608,34.3934083,2,259.808616,0.0,0,0,0,1,1,13.25929717354,245.701,,,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__V12_M2__tailored_controlling_scheduler_static__300s.json,results/gf_tailored_bc_controlling_leaf_scheduler_round/commands/official__V12_M2__tailored_controlling_scheduler_static__300s.json,18078169fdfd83d6333af33f4e8e81e5dacf7a7e7d1b0a32cbc199461291e246
official__tight_T_seed3101__plain_cplex__300s,tight_T_seed3101,control,300,plain_cplex,True,not_certified,0.134692123785,0.015884858356,0.134692123785,0.882065425137,CPLEX did not report optimality: time limit exceeded,False,True,False,300.16040510009043,3.0,True,,legacy,True,omitted,per-leaf,per-leaf,per-leaf,True,1,0,0,0,0,300.1409509,300.1140614,0,0,0,0,0,0,0,0,,,,,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__tight_T_seed3101__plain_cplex__300s.json,results/gf_tailored_bc_controlling_leaf_scheduler_round/commands/official__tight_T_seed3101__plain_cplex__300s.json,18078169fdfd83d6333af33f4e8e81e5dacf7a7e7d1b0a32cbc199461291e246
official__tight_T_seed3101__tailored_legacy_scheduler_static__300s,tight_T_seed3101,control,300,tailored_legacy_scheduler_static,True,optimal,0.107252734134,0.107252734134,0.107252734134,0,gamma-frontier certificate: every relevant Gini interval was either closed with exact pricing or fathomed by a valid interval lower bound above the verified incumbent objective,True,False,False,76.2095492000226,3.0,True,,legacy,True,total,total,total,total,True,1,1,0,0,0,76.1766593,76.1699849,0,0,0,0,0,0,0,0,,,,,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__tight_T_seed3101__tailored_legacy_scheduler_static__300s.json,results/gf_tailored_bc_controlling_leaf_scheduler_round/commands/official__tight_T_seed3101__tailored_legacy_scheduler_static__300s.json,18078169fdfd83d6333af33f4e8e81e5dacf7a7e7d1b0a32cbc199461291e246
official__tight_T_seed3101__tailored_controlling_scheduler_static__300s,tight_T_seed3101,control,300,tailored_controlling_scheduler_static,True,gcap_frontier_not_closed,0.107252734134,0.031106,0.107252734134,0.709974759607,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,False,False,False,294.1840833998285,3.0,True,,controlling-leaf,True,total,total,total,total,True,1,1,0,1039,0,31.7918708,31.7875961,0,262.325,0.0,2,0,0,0,3,165.2534588092,,,,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__tight_T_seed3101__tailored_controlling_scheduler_static__300s.json,results/gf_tailored_bc_controlling_leaf_scheduler_round/commands/official__tight_T_seed3101__tailored_controlling_scheduler_static__300s.json,18078169fdfd83d6333af33f4e8e81e5dacf7a7e7d1b0a32cbc199461291e246
official__high_imbalance_seed3202__plain_cplex__300s,high_imbalance_seed3202,control,300,plain_cplex,True,not_certified,2.84302481605,1.066448157,2.84302481605,0.624889606668,CPLEX did not report optimality: time limit exceeded,False,True,False,300.16661190008745,3.0,True,,legacy,True,omitted,per-leaf,per-leaf,per-leaf,True,1,0,0,0,0,300.1477693,300.1212514,0,0,0,0,0,0,0,0,,,,,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/official__high_imbalance_seed3202__plain_cplex__300s.json,results/gf_tailored_bc_controlling_leaf_scheduler_round/commands/official__high_imbalance_seed3202__plain_cplex__300s.json,18078169fdfd83d6333af33f4e8e81e5dacf7a7e7d1b0a32cbc199461291e246
