run_id,trajectory_rows,violations,tolerance,status,reason
official__V12_M1__tailored_controlling_scheduler_static__300s,4,0,1e-07,passed,monotone_or_no_scheduler_event
official__V12_M2__tailored_controlling_scheduler_static__300s,5,0,1e-07,passed,monotone_or_no_scheduler_event
official__tight_T_seed3101__tailored_controlling_scheduler_static__300s,4,0,1e-07,passed,monotone_or_no_scheduler_event
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__300s,6,0,1e-07,passed,monotone_or_no_scheduler_event
official__moderate_seed3301__tailored_controlling_scheduler_static__300s,7,0,1e-07,passed,monotone_or_no_scheduler_event
official__moderate_seed3302__tailored_controlling_scheduler_static__300s,5,0,1e-07,passed,monotone_or_no_scheduler_event
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__300s,6,0,1e-07,passed,monotone_or_no_scheduler_event
official__tight_T_seed3102__tailored_controlling_scheduler_static__300s,1088,0,1e-07,passed,monotone_or_no_scheduler_event
official__V12_M1__tailored_controlling_scheduler_static__900s,4,0,1e-07,passed,monotone_or_no_scheduler_event
official__V12_M2__tailored_controlling_scheduler_static__900s,5,0,1e-07,passed,monotone_or_no_scheduler_event
official__tight_T_seed3101__tailored_controlling_scheduler_static__900s,5,0,1e-07,passed,monotone_or_no_scheduler_event
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__900s,7,0,1e-07,passed,monotone_or_no_scheduler_event
official__moderate_seed3301__tailored_controlling_scheduler_static__900s,8,0,1e-07,passed,monotone_or_no_scheduler_event
official__moderate_seed3302__tailored_controlling_scheduler_static__900s,7,0,1e-07,passed,monotone_or_no_scheduler_event
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__900s,7,0,1e-07,passed,monotone_or_no_scheduler_event
official__tight_T_seed3102__tailored_controlling_scheduler_static__900s,4926,0,1e-07,passed,monotone_or_no_scheduler_event
official__V12_M1__tailored_controlling_scheduler_static__1800s,4,0,1e-07,passed,monotone_or_no_scheduler_event
official__V12_M2__tailored_controlling_scheduler_static__1800s,5,0,1e-07,passed,monotone_or_no_scheduler_event
official__tight_T_seed3101__tailored_controlling_scheduler_static__1800s,6,0,1e-07,passed,monotone_or_no_scheduler_event
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__1800s,8,0,1e-07,passed,monotone_or_no_scheduler_event
official__moderate_seed3301__tailored_controlling_scheduler_static__1800s,9,0,1e-07,passed,monotone_or_no_scheduler_event
official__moderate_seed3302__tailored_controlling_scheduler_static__1800s,8,0,1e-07,passed,monotone_or_no_scheduler_event
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s,11,0,1e-07,passed,monotone_or_no_scheduler_event
official__tight_T_seed3102__tailored_controlling_scheduler_static__1800s,10631,0,1e-07,passed,monotone_or_no_scheduler_event
