run_id,leaf_id,gamma_L,gamma_U,parent_id,split_depth,child_index,parent_child_coverage_valid,parent_replaced,initial_bound,final_bound,lower_bound_sources,screening_time,exact_solver_time,time_while_controlling,time_while_noncontrolling,attempt_count,cumulative_allocated_time,first_attempt_time,last_attempt_time,final_status,closure_source,instance_hash,model_fingerprint,formulation_profile,latest_checkpoint_sequence,checkpoint_acceptance_status,checkpoint_rejection_reason
official__V12_M1__tailored_controlling_scheduler_static__300s,1,0.0893001,0.1786,root,0,-1,true,false,0.0937385,0.357201,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,0.297117,0.297117,0,1,30,0.0049559,0.307288,fathomed,solver_final_exact_closure,a154aff570ee4405,a195c7d4133cc3d1,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__V12_M1__tailored_controlling_scheduler_static__300s,2,0.1786,0.2679,root,0,-1,true,false,0.183039,0.357201,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,72.217,72.217,0,2,90,0.307306,73.0346,fathomed,solver_final_exact_closure,a154aff570ee4405,a7700d99fe0dc484,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__V12_M1__tailored_controlling_scheduler_static__300s,3,0.2679,0.357201,root,0,-1,true,false,0.272339,0.357201,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,0.494488,0.494488,0,1,30,30.4867,30.9864,fathomed,solver_final_exact_closure,a154aff570ee4405,40103e98e78ed251,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__V12_M2__tailored_controlling_scheduler_static__300s,2,0.359252,0.538878,root,0,-1,true,false,0.390323,0.691505,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,259.248,259.248,0,4,258.299,0.0038476,259.861,open,,52a1bbf5593d7d3f,831681fce70b0aa5,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__V12_M2__tailored_controlling_scheduler_static__300s,3,0.538878,0.718504,root,0,-1,true,false,0.569949,0.718504,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,0.560616,0.560616,0,1,30,30.3443,30.9129,fathomed,solver_final_exact_closure,52a1bbf5593d7d3f,71379639ca35c8c6,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__tight_T_seed3101__tailored_controlling_scheduler_static__300s,1,0.0268132,0.0536264,root,0,-1,true,false,0.0268132,0.0311065,gamma_floor|solver_final_fixed_interval_bound,0,262.325,262.325,0,4,261.684,0.005729,262.359,open,,ec532e94d68e194a,5315149b148157a5,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__tight_T_seed3101__tailored_controlling_scheduler_static__300s,2,0.0536264,0.0804396,root,0,-1,true,false,0.0536264,0.0536264,gamma_floor,0,0,0,0,0,0,-1,-1,open,,ec532e94d68e194a,pending_fixed_interval_export,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__tight_T_seed3101__tailored_controlling_scheduler_static__300s,3,0.0804396,0.107253,root,0,-1,true,false,0.0804396,0.0804396,gamma_floor,0,0,0,0,0,0,-1,-1,open,,ec532e94d68e194a,pending_fixed_interval_export,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__300s,1,0.2375,0.475,root,0,-1,true,false,0.826715,1.74931,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,8.68179,8.68179,0,1,30,0.0047185,8.69226,fathomed,solver_final_exact_closure,979308f70f2d4f3c,22cea6dcf4b3af97,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__300s,2,0.475,0.7125,root,0,-1,true,false,1.06421,1.68283,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,245.886,245.886,0,4,244.97,8.69228,255.101,open,,979308f70f2d4f3c,3adaef2386c41c09,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__300s,3,0.7125,0.95,root,0,-1,true,false,1.30171,1.74931,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,0.490942,0.490942,0,1,30,38.9256,39.4261,fathomed,solver_final_exact_closure,979308f70f2d4f3c,3ddfedf15234d9d1,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__moderate_seed3301__tailored_controlling_scheduler_static__300s,0,0,0.0122881,root,0,-1,true,false,0,0.0491526,gamma_floor|solver_final_fixed_interval_bound,0,1.93218,1.93218,0,1,30,0.0044306,1.94171,fathomed,solver_final_exact_closure,d5bf31d0bb885c86,6f76345b2512aea7,round17_static_no_callback_paper_safe,0,not_seen,not_seen
