run_id,final_leaf_count,ledger_min_bound,trace_final_bound,status,reason
official__V12_M1__tailored_controlling_scheduler_static__300s,3,0.357201,0.357201,passed,audited_minimum_matches_trace_or_no_exact_event
official__V12_M2__tailored_controlling_scheduler_static__300s,2,0.691505,0.691505,passed,audited_minimum_matches_trace_or_no_exact_event
official__tight_T_seed3101__tailored_controlling_scheduler_static__300s,3,0.0311065,0.0311065,passed,audited_minimum_matches_trace_or_no_exact_event
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__300s,3,1.68283,1.68283,passed,audited_minimum_matches_trace_or_no_exact_event
official__moderate_seed3301__tailored_controlling_scheduler_static__300s,4,0.045742,0.045742,passed,audited_minimum_matches_trace_or_no_exact_event
official__moderate_seed3302__tailored_controlling_scheduler_static__300s,4,0.122681,0.122681,passed,audited_minimum_matches_trace_or_no_exact_event
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__300s,3,2.29462,2.29462,passed,audited_minimum_matches_trace_or_no_exact_event
official__tight_T_seed3102__tailored_controlling_scheduler_static__300s,4,0.450528,0.450528,passed,audited_minimum_matches_trace_or_no_exact_event
official__V12_M1__tailored_controlling_scheduler_static__900s,3,0.357201,0.357201,passed,audited_minimum_matches_trace_or_no_exact_event
official__V12_M2__tailored_controlling_scheduler_static__900s,2,0.718504,0.718504,passed,audited_minimum_matches_trace_or_no_exact_event
official__tight_T_seed3101__tailored_controlling_scheduler_static__900s,3,0.0313908,0.0313908,passed,audited_minimum_matches_trace_or_no_exact_event
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__900s,3,1.69702,1.69702,passed,audited_minimum_matches_trace_or_no_exact_event
official__moderate_seed3301__tailored_controlling_scheduler_static__900s,4,0.0476683,0.0476683,passed,audited_minimum_matches_trace_or_no_exact_event
official__moderate_seed3302__tailored_controlling_scheduler_static__900s,4,0.125769,0.125769,passed,audited_minimum_matches_trace_or_no_exact_event
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__900s,3,2.29994,2.29994,passed,audited_minimum_matches_trace_or_no_exact_event
official__tight_T_seed3102__tailored_controlling_scheduler_static__900s,4,0.450528,0.450528,passed,audited_minimum_matches_trace_or_no_exact_event
official__V12_M1__tailored_controlling_scheduler_static__1800s,3,0.357201,0.357201,passed,audited_minimum_matches_trace_or_no_exact_event
official__V12_M2__tailored_controlling_scheduler_static__1800s,2,0.718504,0.718504,passed,audited_minimum_matches_trace_or_no_exact_event
official__tight_T_seed3101__tailored_controlling_scheduler_static__1800s,3,0.0330053,0.0330053,passed,audited_minimum_matches_trace_or_no_exact_event
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__1800s,3,1.72968,1.72968,passed,audited_minimum_matches_trace_or_no_exact_event
official__moderate_seed3301__tailored_controlling_scheduler_static__1800s,4,0.0482943,0.0482943,passed,audited_minimum_matches_trace_or_no_exact_event
official__moderate_seed3302__tailored_controlling_scheduler_static__1800s,4,0.126798,0.126798,passed,audited_minimum_matches_trace_or_no_exact_event
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s,3,2.3134,2.3134,passed,audited_minimum_matches_trace_or_no_exact_event
official__tight_T_seed3102__tailored_controlling_scheduler_static__1800s,4,0.450528,0.450528,passed,audited_minimum_matches_trace_or_no_exact_event
