solver_role,threads,time_limit_source,mip_gap,parameter_policy
plain_cplex,1,nominal_run_budget,CPLEX_default,frozen_official_plain
tailored_compact_bc,1,native_leaf_quantum_param_1039,CPLEX_default,frozen_round17_static_no_callback
