sequence,timestamp,instance,arm,budget_seconds,run_id,skipped_existing,return_code,wall_seconds,engineering_blocker,run_order,diagnostic_only
1,2026-07-13T22:16:00+08:00,V12_M1,plain_cplex,300,official__V12_M1__plain_cplex__300s,False,0,181.79931580019183,,1,
2,2026-07-13T22:26:18+08:00,V12_M2,plain_cplex,300,official__V12_M2__plain_cplex__300s,False,0,300.14657200011425,,2,
3,2026-07-13T22:39:35+08:00,tight_T_seed3101,plain_cplex,300,official__tight_T_seed3101__plain_cplex__300s,False,0,300.16040510009043,,3,
4,2026-07-13T22:50:47+08:00,high_imbalance_seed3202,plain_cplex,300,official__high_imbalance_seed3202__plain_cplex__300s,False,0,300.16661190008745,,4,
5,2026-07-13T23:05:37+08:00,moderate_seed3301,plain_cplex,300,official__moderate_seed3301__plain_cplex__300s,False,0,300.26201050006784,,5,
6,2026-07-13T23:20:27+08:00,moderate_seed3302,plain_cplex,300,official__moderate_seed3302__plain_cplex__300s,False,0,300.1493770999368,,6,
7,2026-07-13T23:35:17+08:00,high_imbalance_seed3201,plain_cplex,300,official__high_imbalance_seed3201__plain_cplex__300s,False,0,300.1453682000283,,7,
8,2026-07-13T23:50:07+08:00,tight_T_seed3102,plain_cplex,300,official__tight_T_seed3102__plain_cplex__300s,False,0,300.1620398000814,,8,
9,2026-07-14T00:07:22+08:00,V12_M1,plain_cplex,900,official__V12_M1__plain_cplex__900s,False,0,183.07485620002262,,9,
10,2026-07-14T00:35:00+08:00,V12_M2,plain_cplex,900,official__V12_M2__plain_cplex__900s,False,0,900.1956207000185,,10,
11,2026-07-14T01:02:48+08:00,tight_T_seed3101,plain_cplex,900,official__tight_T_seed3101__plain_cplex__900s,False,0,900.161751100095,,11,
12,2026-07-14T01:33:48+08:00,high_imbalance_seed3202,plain_cplex,900,official__high_imbalance_seed3202__plain_cplex__900s,False,0,900.1513706999831,,12,
13,2026-07-14T02:08:25+08:00,moderate_seed3301,plain_cplex,900,official__moderate_seed3301__plain_cplex__900s,False,0,902.2649296999443,,13,
14,2026-07-14T02:55:09+08:00,moderate_seed3302,plain_cplex,900,official__moderate_seed3302__plain_cplex__900s,False,0,900.8491565999575,,14,
15,2026-07-14T03:34:31+08:00,V12_M1,tailored_legacy_scheduler_static,300,official__V12_M1__tailored_legacy_scheduler_static__300s,False,0,173.7408507000655,,15,
16,2026-07-14T03:36:12+08:00,V12_M1,tailored_controlling_scheduler_static,300,official__V12_M1__tailored_controlling_scheduler_static__300s,False,0,99.97144200000912,,16,
17,2026-07-14T03:40:06+08:00,V12_M2,tailored_legacy_scheduler_static,300,official__V12_M2__tailored_legacy_scheduler_static__300s,False,0,233.37642939994112,,17,
18,2026-07-14T03:45:01+08:00,V12_M2,tailored_controlling_scheduler_static,300,official__V12_M2__tailored_controlling_scheduler_static__300s,False,0,294.2968297000043,,18,
19,2026-07-14T03:46:17+08:00,tight_T_seed3101,tailored_legacy_scheduler_static,300,official__tight_T_seed3101__tailored_legacy_scheduler_static__300s,False,0,76.2095492000226,,19,
20,2026-07-14T03:51:12+08:00,tight_T_seed3101,tailored_controlling_scheduler_static,300,official__tight_T_seed3101__tailored_controlling_scheduler_static__300s,False,0,294.1840833998285,,20,
21,2026-07-14T03:55:23+08:00,high_imbalance_seed3202,tailored_legacy_scheduler_static,300,official__high_imbalance_seed3202__tailored_legacy_scheduler_static__300s,False,0,249.69154999987222,,21,
22,2026-07-14T04:00:17+08:00,high_imbalance_seed3202,tailored_controlling_scheduler_static,300,official__high_imbalance_seed3202__tailored_controlling_scheduler_static__300s,False,0,294.3221645001322,,22,
23,2026-07-14T04:05:12+08:00,moderate_seed3301,tailored_legacy_scheduler_static,300,official__moderate_seed3301__tailored_legacy_scheduler_static__300s,False,0,294.2701214000117,,23,
24,2026-07-14T04:10:07+08:00,moderate_seed3301,tailored_controlling_scheduler_static,300,official__moderate_seed3301__tailored_controlling_scheduler_static__300s,False,0,294.29251769999973,,24,
25,2026-07-14T04:15:02+08:00,moderate_seed3302,tailored_legacy_scheduler_static,300,official__moderate_seed3302__tailored_legacy_scheduler_static__300s,False,0,294.3111919001676,,25,
26,2026-07-14T04:19:57+08:00,moderate_seed3302,tailored_controlling_scheduler_static,300,official__moderate_seed3302__tailored_controlling_scheduler_static__300s,False,0,294.2428367000539,,26,
27,2026-07-14T04:24:52+08:00,high_imbalance_seed3201,tailored_legacy_scheduler_static,300,official__high_imbalance_seed3201__tailored_legacy_scheduler_static__300s,False,0,294.31251299986616,,27,
