check,run_id,passed,reason
hardware_metadata_present,,True,rows=1
hardware_metadata_complete,,True,none
parameter_manifest_present,,True,rows=2
plain_and_tailored_parameter_roles,,True,roles=plain_cplex;tailored_compact_bc
parameter_snapshot:cplex_params_plain.json,,True,valid_json
parameter_snapshot:cplex_params_tailored.json,,True,valid_json
run_isolation_manifest_present,,True,rows=78
unique_run_id,official__V12_M1__plain_cplex__300s,True,unique
one_thread_cplex,official__V12_M1__plain_cplex__300s,True,cplex_threads=1
single_solver_process,official__V12_M1__plain_cplex__300s,True,max_concurrent=0;background=False
incumbent_source_policy_present,official__V12_M1__plain_cplex__300s,True,benchmark_same_process
run_timestamps_valid,official__V12_M1__plain_cplex__300s,True,start=2026-07-13T22:12:58+08:00;end=2026-07-13T22:16:00+08:00
resource_stop_not_used,official__V12_M1__plain_cplex__300s,True,resource_stopped=False;bound_used=True;certified=True
unique_run_id,official__V12_M2__plain_cplex__300s,True,unique
one_thread_cplex,official__V12_M2__plain_cplex__300s,True,cplex_threads=1
single_solver_process,official__V12_M2__plain_cplex__300s,True,max_concurrent=0;background=False
incumbent_source_policy_present,official__V12_M2__plain_cplex__300s,True,benchmark_same_process
run_timestamps_valid,official__V12_M2__plain_cplex__300s,True,start=2026-07-13T22:21:18+08:00;end=2026-07-13T22:26:18+08:00
resource_stop_not_used,official__V12_M2__plain_cplex__300s,True,resource_stopped=False;bound_used=True;certified=False
unique_run_id,official__tight_T_seed3101__plain_cplex__300s,True,unique
one_thread_cplex,official__tight_T_seed3101__plain_cplex__300s,True,cplex_threads=1
single_solver_process,official__tight_T_seed3101__plain_cplex__300s,True,max_concurrent=0;background=False
incumbent_source_policy_present,official__tight_T_seed3101__plain_cplex__300s,True,benchmark_same_process
run_timestamps_valid,official__tight_T_seed3101__plain_cplex__300s,True,start=2026-07-13T22:34:35+08:00;end=2026-07-13T22:39:35+08:00
resource_stop_not_used,official__tight_T_seed3101__plain_cplex__300s,True,resource_stopped=False;bound_used=True;certified=False
unique_run_id,official__high_imbalance_seed3202__plain_cplex__300s,True,unique
one_thread_cplex,official__high_imbalance_seed3202__plain_cplex__300s,True,cplex_threads=1
single_solver_process,official__high_imbalance_seed3202__plain_cplex__300s,True,max_concurrent=0;background=False
incumbent_source_policy_present,official__high_imbalance_seed3202__plain_cplex__300s,True,benchmark_same_process
run_timestamps_valid,official__high_imbalance_seed3202__plain_cplex__300s,True,start=2026-07-13T22:45:47+08:00;end=2026-07-13T22:50:47+08:00
resource_stop_not_used,official__high_imbalance_seed3202__plain_cplex__300s,True,resource_stopped=False;bound_used=True;certified=False
unique_run_id,official__moderate_seed3301__plain_cplex__300s,True,unique
